,LPPR5 (163404)
ACH-000004,-0.156364977181
ACH-000007,-0.245136512021
ACH-000009,-0.039385049082199995
ACH-000011,-0.149952487572
ACH-000012,-0.0961447639013
ACH-000013,-0.272652918046
ACH-000014,0.204572892343
ACH-000015,-0.27263801690699996
ACH-000017,-0.0952217432074
ACH-000018,-0.255927850788
ACH-000019,0.287293271361
ACH-000021,-0.09385711017489999
ACH-000022,-0.09132128626489999
ACH-000025,-0.372903706402
ACH-000028,-0.18433365520199999
ACH-000030,-0.0877539923628
ACH-000035,-0.368665488285
ACH-000036,-0.023528204429900005
ACH-000037,0.279675026646
ACH-000039,-0.0755675672239
ACH-000040,-0.477566670277
ACH-000041,-0.36225076253399996
ACH-000042,-0.287782644205
ACH-000045,-0.0947136069812
ACH-000047,-0.316295439217
ACH-000052,-0.006918692049359999
ACH-000053,-0.123706597577
ACH-000054,-0.24518194636500001
ACH-000055,-0.31799747864100003
ACH-000060,-0.269551771559
ACH-000067,-0.435606624061
ACH-000070,-0.140367845098
ACH-000075,-0.593977565134
ACH-000078,-0.14344416360200002
ACH-000082,0.0202355038647
ACH-000085,-0.321962048027
ACH-000086,0.022548471532200003
ACH-000087,-0.321883846542
ACH-000092,-0.267700282723
ACH-000095,-0.241542445471
ACH-000097,-0.23004177661400002
ACH-000098,-0.31172461901799997
ACH-000099,-0.196449464307
ACH-000108,0.00381429692798
ACH-000113,-0.224052104719
ACH-000115,-0.18653400222199998
ACH-000116,-0.252737824267
ACH-000118,-0.114033190054
ACH-000120,-0.30837984854600003
ACH-000123,-0.305102280133
ACH-000127,-0.26818934057300003
ACH-000128,-0.181326574177
ACH-000132,-0.137668609552
ACH-000133,-0.013367062845000001
ACH-000137,-0.464261542591
ACH-000138,-0.0704437230544
ACH-000142,-0.194550418017
ACH-000143,-0.312963927483
ACH-000146,-0.0524883694761
ACH-000148,-0.1613913825
ACH-000150,-0.190851954714
ACH-000152,-0.229644865183
ACH-000153,-0.30991427674000005
ACH-000159,-0.274327481304
ACH-000160,-0.266268186902
ACH-000163,-0.190410709313
ACH-000167,-0.047755554907599994
ACH-000168,0.0402901006136
ACH-000169,-0.09276502460580001
ACH-000178,-0.272455888632
ACH-000182,-0.16927360183499998
ACH-000183,-0.10081854668700001
ACH-000188,-0.320287215685
