,LRRD1 (401387)
ACH-000004,0.137807770947
ACH-000007,0.250308506151
ACH-000009,0.114205910758
ACH-000011,0.299380721253
ACH-000012,0.105380373845
ACH-000013,0.158681481522
ACH-000014,0.103912522823
ACH-000015,0.17072325435400001
ACH-000017,0.140759769515
ACH-000018,0.298848758227
ACH-000019,-0.11437975331700001
ACH-000021,-0.17133409173500003
ACH-000022,-0.07194955496460001
ACH-000025,0.0523616349758
ACH-000028,0.147601172627
ACH-000030,0.203602392053
ACH-000035,0.020383553430700002
ACH-000036,0.130203172542
ACH-000037,0.311112014223
ACH-000039,-0.155420141837
ACH-000040,0.2588574021
ACH-000041,0.11544808867300001
ACH-000042,0.141795876623
ACH-000045,-0.0008452529942280001
ACH-000047,0.0977688488449
ACH-000052,0.0410298535847
ACH-000053,0.047045774597399996
ACH-000054,0.323574726265
ACH-000055,0.147155111679
ACH-000060,0.16630813952
ACH-000067,0.173770545994
ACH-000070,0.167519730468
ACH-000075,0.236869928521
ACH-000078,-0.013211569615200001
ACH-000082,0.18659722087699998
ACH-000085,0.189288684659
ACH-000086,-0.0118409870548
ACH-000087,0.027720605339900003
ACH-000092,0.141126896857
ACH-000095,0.19546874006499998
ACH-000097,0.18886008960700001
ACH-000098,0.084290827267
ACH-000099,0.0878642855791
ACH-000108,-0.0230252569284
ACH-000113,0.16341908742
ACH-000115,0.051653401282
ACH-000116,0.28495651213100004
ACH-000118,0.11640025395600001
ACH-000120,0.0823015401864
ACH-000123,-0.07943412521000001
ACH-000127,0.16327871924100001
ACH-000128,0.043931920443799996
ACH-000132,0.116378960029
ACH-000133,0.153349762197
ACH-000137,-0.022349211255900003
ACH-000138,0.133949930714
ACH-000142,0.296680637915
ACH-000143,0.256806356936
ACH-000146,0.110082379009
ACH-000148,0.0916420408694
ACH-000150,0.24141004852200001
ACH-000152,0.0971240843177
ACH-000153,0.250695588014
ACH-000159,0.046601838777800005
ACH-000160,-0.286001824438
ACH-000163,0.08726454006110002
ACH-000167,0.053179226727800004
ACH-000168,0.0631937919357
ACH-000169,0.138205552422
ACH-000178,0.15336485425899998
ACH-000182,0.238381103767
ACH-000183,0.214474403515
ACH-000188,0.228748772581
ACH-000189,-0.33820553563199995
ACH-000190,0.050534367475199994
ACH-000198,-0.018962729188299998
ACH-000204,-0.042228891980300005
ACH-000206,0.170878340742
ACH-000207,0.063911940931
ACH-000211,0.165366377766
ACH-000215,0.199368116052
ACH-000221,-0.14301443449100001
ACH-000222,0.0288901957606
ACH-000223,0.00735016614045
ACH-000226,0.38183912469000003
ACH-000227,0.131912292751
ACH-000228,0.105909844484
ACH-000231,0.14194848569399998
ACH-000232,3.41981479699e-05
ACH-000233,0.146933394805
ACH-000234,0.32500977890599997
ACH-000235,0.0662400753825
ACH-000237,0.08442537551570001
ACH-000238,-0.0634467947201
ACH-000243,0.11697512247300001
ACH-000244,0.123897678377
ACH-000246,0.0285267648671
ACH-000248,0.0777162379819
ACH-000250,-0.0181817222827
ACH-000251,0.30019352163199997
ACH-000253,0.0791304680842
ACH-000255,0.241343742874
ACH-000256,0.19513336253400002
ACH-000257,-0.118683266437
ACH-000258,0.263488767715
ACH-000259,0.0959346636525
ACH-000260,0.0988901091452
ACH-000261,0.00520553021575
ACH-000262,-0.0106869077184
ACH-000263,0.127039471412
ACH-000264,0.0555312015936
ACH-000265,0.15173181094799998
ACH-000266,0.0838305518807
ACH-000272,0.185028341816
ACH-000273,0.240250189651
ACH-000274,0.007188221454669999
ACH-000277,0.17980521339400002
ACH-000278,0.145699974591
ACH-000279,0.0858226477765
ACH-000280,0.127680081239
ACH-000281,0.214170739144
ACH-000288,0.153896991566
ACH-000291,0.09285434187739999
ACH-000293,0.12377093936599999
ACH-000294,0.0999969411069
ACH-000295,-0.213493822296
ACH-000296,0.09899527433329999
ACH-000302,0.15119167688899998
ACH-000304,-0.241535326721
ACH-000307,0.123535985004
ACH-000308,0.0818253289145
ACH-000310,0.312085725227
ACH-000311,-0.13619452360099998
ACH-000312,-0.0512057507109
ACH-000315,0.0859040986063
ACH-000316,0.128321986642
ACH-000317,-0.113634425131
ACH-000318,-0.20285549426399999
ACH-000319,0.287799407372
ACH-000320,-0.080717430477
ACH-000322,0.205220579206
ACH-000323,0.113904977053
ACH-000324,0.0665498097568
ACH-000329,0.305547895492
ACH-000330,-0.135471768266
ACH-000331,0.166607708053
ACH-000332,0.07893607215580001
ACH-000334,-0.318706050971
ACH-000335,0.391481345269
ACH-000336,0.035243352001
ACH-000337,0.0208565789476
ACH-000339,0.122637266789
ACH-000341,-0.256184778695
ACH-000348,0.15483323734999999
ACH-000350,0.360248614092
ACH-000352,0.296497697482
ACH-000356,0.124688504681
ACH-000361,0.05523302881659999
ACH-000362,0.09633683823830001
ACH-000363,-0.0136815059676
ACH-000364,-0.108514480496
ACH-000365,-0.192743786107
ACH-000366,0.153595181228
ACH-000368,0.19625349692000002
ACH-000374,0.0993960456106
ACH-000375,0.0133824669943
ACH-000376,0.22940868966400002
ACH-000381,0.260013577598
ACH-000383,-0.163772917971
ACH-000387,0.0169970176426
ACH-000389,0.0320404513748
ACH-000390,0.175603137956
ACH-000393,0.10461692393
ACH-000395,0.161799352339
ACH-000397,0.17260454258400001
ACH-000401,0.158758843117
ACH-000402,-0.0784632259111
ACH-000403,0.135652940789
ACH-000404,0.10921322605599999
ACH-000406,-0.0333780794604
ACH-000407,0.21034514472100002
ACH-000408,-0.27228838089699997
ACH-000410,0.133220246762
ACH-000411,0.15142875225400002
ACH-000414,-0.0966922359574
ACH-000415,-0.0821349053555
ACH-000416,0.12100965899499999
ACH-000420,0.304496938939
ACH-000421,0.103660611973
ACH-000424,-0.0632816087932
ACH-000425,0.11666702189400001
ACH-000426,0.0922061676902
ACH-000427,0.30042294969
ACH-000433,0.208661021517
ACH-000436,0.07295170151489999
ACH-000444,0.14961406987
ACH-000445,0.15051932103000001
ACH-000448,-0.014462085373899999
ACH-000450,0.221138118697
ACH-000452,0.246172986883
ACH-000454,0.299931567633
ACH-000458,0.25044708894699996
ACH-000459,0.11566238884199999
ACH-000460,0.09892087695389999
ACH-000461,-0.0033359353377399995
ACH-000463,0.131711547111
ACH-000464,0.19067705278900002
ACH-000466,-0.0038065484437600004
ACH-000467,0.125284374582
ACH-000468,0.00358803366102
ACH-000469,0.072238726934
ACH-000470,0.081497269395
ACH-000471,0.168302591481
ACH-000472,0.0224005404505
ACH-000473,0.212684399012
ACH-000475,0.11926956780999999
ACH-000476,0.0609670801722
ACH-000477,0.120241343655
ACH-000480,0.059266426156599994
ACH-000481,0.175763988879
ACH-000483,0.28727485631099997
ACH-000484,0.298079014696
ACH-000485,0.022270553731299998
ACH-000486,0.15256855753100002
ACH-000487,0.201761035262
ACH-000488,0.139228159172
ACH-000490,0.20009011167500002
ACH-000491,0.283341845029
