,LZTR1 (8216)
ACH-000004,-0.206235389454
ACH-000007,-0.17452849232099998
ACH-000009,0.39541941530100005
ACH-000011,0.05337935111909999
ACH-000012,0.165882627544
ACH-000013,-0.174687067379
ACH-000014,-0.24931255615800002
ACH-000015,0.237232129314
ACH-000017,0.143301869119
ACH-000018,0.22692487995900001
ACH-000019,-0.250465599644
ACH-000021,0.15170558862199998
ACH-000022,0.06766904111330001
ACH-000025,-0.044097418573
ACH-000028,-0.106635939138
ACH-000030,-0.206027303739
ACH-000035,-0.19193416824499998
ACH-000036,0.808363245747
ACH-000037,-0.0453767066989
ACH-000039,0.388398906791
ACH-000040,0.158836098833
ACH-000041,0.293134037999
ACH-000042,-0.5851594716749999
ACH-000045,-0.169356595907
ACH-000047,0.152748948726
ACH-000052,-0.015982183770099998
ACH-000053,-0.315548425571
ACH-000054,0.12350668468800001
ACH-000055,0.636614842442
ACH-000060,-0.023733473402900003
ACH-000067,0.131752473402
ACH-000070,-0.102645710407
ACH-000075,-0.10894905986400001
ACH-000078,0.235247971916
ACH-000082,0.19480927346500002
ACH-000085,-0.23928647506499998
ACH-000086,0.282961938049
ACH-000087,0.349193726524
ACH-000092,-0.050260911942400004
ACH-000095,-0.00196354274016
ACH-000097,0.022062013241900002
ACH-000098,0.32004227512899996
ACH-000099,0.587710785554
ACH-000108,-0.161803797354
ACH-000113,-0.124863444672
ACH-000115,-0.060354310625
ACH-000116,0.207151991321
ACH-000118,0.0781432057081
ACH-000120,-0.0711512391941
ACH-000123,-0.02625573758
ACH-000127,0.181252373607
ACH-000128,0.335692585908
ACH-000132,0.0117392795355
ACH-000133,0.0197683047608
ACH-000137,-0.100417034175
ACH-000138,0.18392579084000002
ACH-000142,0.379799889218
ACH-000143,0.111017181458
ACH-000146,-0.044550309167499996
ACH-000148,0.301906256968
ACH-000150,-0.23714315082600002
ACH-000152,0.20448636060199998
ACH-000153,0.333164975821
ACH-000159,0.407580848432
ACH-000160,-0.0663485322322
ACH-000163,0.8308623103120001
ACH-000167,0.218380073278
ACH-000168,-0.020430843993
ACH-000169,-0.12333876600199999
ACH-000178,0.09531449092460001
ACH-000182,0.260000244078
ACH-000183,0.033533802514
ACH-000188,0.124915001975
ACH-000189,0.299191262649
ACH-000190,0.011918150978399999
ACH-000198,1.2370668600499999
ACH-000204,0.730937389902
ACH-000206,-0.018269234932400003
ACH-000207,0.0385214101145
ACH-000211,0.233482247746
ACH-000215,0.0364910458451
ACH-000221,-0.206247498254
ACH-000222,0.0193085203703
ACH-000223,0.0492765415121
ACH-000226,-0.057231411573
ACH-000227,0.245003952629
ACH-000228,0.042701824143699996
ACH-000231,-0.275008935068
ACH-000232,0.121153625988
ACH-000233,-0.28977130556999997
ACH-000234,0.33166447343899996
ACH-000235,0.06512937772749999
ACH-000237,0.20925692386
ACH-000238,0.0606520134897
ACH-000243,-0.0543958641426
ACH-000244,0.513184522757
ACH-000246,0.14891038839600002
ACH-000248,0.0260533339194
ACH-000250,0.318875931941
ACH-000251,0.046182466832999994
ACH-000253,0.147978109652
ACH-000255,-0.052025158240199994
ACH-000256,-0.159707620118
ACH-000257,0.512405818787
ACH-000258,0.147145117898
ACH-000259,0.295268276755
ACH-000260,0.0381099284179
ACH-000261,0.174069843026
ACH-000262,0.408534384538
ACH-000263,0.139724817352
ACH-000264,-0.032429291321
ACH-000265,-0.0986703572228
ACH-000266,0.055942833087599994
ACH-000272,-0.057942173353000004
ACH-000273,0.151284933235
ACH-000274,0.136417047997
ACH-000277,0.19737331451200002
ACH-000278,-0.025385208998699997
ACH-000279,-0.0215749748458
ACH-000280,0.248614827542
ACH-000281,-0.0650151270419
ACH-000288,0.153096100331
ACH-000291,-0.00569603052067
ACH-000293,0.026601713009099998
ACH-000294,0.264612424941
ACH-000295,0.039517946375500004
ACH-000296,0.00799501221038
ACH-000302,0.131464469055
ACH-000304,-0.138697754734
ACH-000307,0.0889657354162
ACH-000308,-0.172959710166
ACH-000310,-0.0595167035248
ACH-000311,0.0748316565861
ACH-000312,0.462494373603
ACH-000315,-0.378855628512
ACH-000316,0.365348115516
ACH-000317,0.358789467847
ACH-000318,0.300727089265
ACH-000319,-0.0847812613225
ACH-000320,-0.261941769508
ACH-000322,-0.029601100585699997
ACH-000323,0.26611645495499997
ACH-000324,0.310467454971
ACH-000329,0.38092688902099997
ACH-000330,-0.317902526875
ACH-000331,0.330617169909
ACH-000332,0.058761511400300004
ACH-000334,0.312647979562
ACH-000335,0.07274749798960001
ACH-000336,0.0403776899586
ACH-000337,-0.31596427057300003
ACH-000339,0.127300602393
ACH-000341,-0.007926003730310001
ACH-000348,0.107532655607
ACH-000350,0.31634570625999997
ACH-000352,0.11954020636900001
ACH-000356,-0.0131830105723
ACH-000361,-0.0415248542958
ACH-000362,-0.18505583750500001
ACH-000363,0.541750713746
ACH-000364,0.393069118977
ACH-000365,0.202576331635
ACH-000366,0.43693454892300004
