,MADD (8567)
ACH-000004,-0.103938359572
ACH-000007,0.0070061100058500005
ACH-000009,-0.029073836279599998
ACH-000011,-0.0625646258672
ACH-000012,-0.142070666792
ACH-000013,-0.175370996063
ACH-000014,-0.08363635650689999
ACH-000015,0.00994144521169
ACH-000017,-0.156517738131
ACH-000018,-0.22058964320500002
ACH-000019,-0.412152065294
ACH-000021,-0.349751649018
ACH-000022,-0.109458567652
ACH-000025,-0.0364292937526
ACH-000028,-0.19121746648899998
ACH-000030,-0.248149499199
ACH-000035,-0.196121981745
ACH-000036,-0.00599359067169
ACH-000037,0.14699010277000002
ACH-000039,-0.0631043387819
ACH-000040,-0.0851326155707
ACH-000041,-0.0974539741017
ACH-000042,-0.290732816407
ACH-000045,-0.16024976039
ACH-000047,-0.00645478372519
ACH-000052,-0.303920549426
ACH-000053,0.04679122154619999
ACH-000054,-0.0834103831157
ACH-000055,-0.010253199926
ACH-000060,0.11774418336100001
ACH-000067,-0.00713740117756
ACH-000070,-0.0855901457419
ACH-000075,0.0590707431534
ACH-000078,-0.125800283817
ACH-000082,-0.130432496763
ACH-000085,0.11399265252900001
ACH-000086,-0.116922203859
ACH-000087,0.034918914601300005
ACH-000092,0.00746202430436
ACH-000095,-0.0645135603591
ACH-000097,-0.0646759335762
ACH-000098,0.0474521304518
ACH-000099,-0.024458189311299998
ACH-000108,-0.036314687572300004
ACH-000113,-0.106930774315
ACH-000115,0.135620081346
ACH-000116,-0.0446659175777
ACH-000118,-0.14198169788599999
ACH-000120,0.111275816196
ACH-000123,-0.011666906764400001
ACH-000127,-0.0678425698669
ACH-000128,0.020973401540599998
ACH-000132,-0.055850348732900006
ACH-000133,-0.126366757606
ACH-000137,-0.14352000846100002
ACH-000138,-0.296962870598
ACH-000142,-0.15794763709100001
ACH-000143,-0.09087121387010001
ACH-000146,-0.112033397617
ACH-000148,-0.179078793646
ACH-000150,-0.101938294849
ACH-000152,-0.0476561936258
ACH-000153,0.0373956079666
ACH-000159,0.0735334484636
ACH-000160,-0.0531955139619
ACH-000163,0.0925927719395
ACH-000167,-0.14216552826099998
ACH-000168,-0.320708522869
ACH-000169,-0.196957262497
ACH-000178,0.046432372226599995
ACH-000182,-0.0456787098386
ACH-000183,-0.138858641808
ACH-000188,-0.12244127196900001
ACH-000189,0.0352870497823
ACH-000190,-0.22279929217099997
ACH-000198,-0.325221547396
ACH-000204,-0.127719404109
ACH-000206,-0.217247107304
ACH-000207,-0.711731193573
ACH-000211,-0.0317829407209
ACH-000215,-0.135803775011
ACH-000221,-0.282850747935
ACH-000222,0.00100408808581
ACH-000223,0.00349622089223
ACH-000226,-0.07510969828649999
ACH-000227,-0.275296182515
ACH-000228,0.1616449963
ACH-000231,-0.155721978817
ACH-000232,-0.124488223836
ACH-000233,-0.0480929057795
ACH-000234,0.004322109945979999
ACH-000235,-0.126229613175
ACH-000237,-0.208938117005
ACH-000238,-0.196805456664
ACH-000243,-0.0887399239691
ACH-000244,0.150532882066
ACH-000246,0.007973363202179999
ACH-000248,-0.340980168614
ACH-000250,0.00962609924308
ACH-000251,-0.254469703578
ACH-000253,0.11245244427000001
ACH-000255,-0.061316751605900006
ACH-000256,-0.171020532375
ACH-000257,0.08149006307
ACH-000258,0.217195029203
ACH-000259,-0.07317501143960001
ACH-000260,-0.097965485036
ACH-000261,-0.141736999048
ACH-000262,-0.0228680722812
ACH-000263,-0.228664973813
ACH-000264,-0.164081447667
ACH-000265,-0.253956335038
ACH-000266,-0.143454161394
ACH-000272,-0.0671989939114
ACH-000273,-0.10288172072799999
ACH-000274,-0.0826539153457
ACH-000277,0.069474627501
ACH-000278,-0.20738939839
ACH-000279,0.005771950249600001
ACH-000280,0.00934702485926
ACH-000281,-0.239927139348
ACH-000288,-0.143650209453
ACH-000291,-0.19946988341
ACH-000293,-0.140179877369
ACH-000294,0.0919728505281
ACH-000295,-0.0727798628024
ACH-000296,-0.238525758703
ACH-000302,0.0015972799763100001
ACH-000304,-0.0168967401208
ACH-000307,-0.14217476165999998
ACH-000308,-0.170716731452
ACH-000310,-0.0471630749761
ACH-000311,-0.10283870592700001
ACH-000312,-0.129836508369
ACH-000315,-0.23740781718899998
ACH-000316,0.06667660478450001
ACH-000317,-0.10340618450099999
ACH-000318,-0.100477968534
ACH-000319,-0.269816381133
ACH-000320,-0.155678352173
ACH-000322,0.24418043922899998
ACH-000323,-0.274301906938
ACH-000324,-0.0772039835817
ACH-000329,-0.119583284789
ACH-000330,-0.146907047659
ACH-000331,-0.0513278613489
ACH-000332,0.00415772163879
ACH-000334,0.07576187658269999
ACH-000335,0.11313964554400001
ACH-000336,-0.19944031450999997
ACH-000337,-0.35085724218099995
ACH-000339,-0.0689330355464
ACH-000341,0.111541378156
ACH-000348,-0.08383871447110001
ACH-000350,-0.09750880570460001
ACH-000352,0.111983368007
ACH-000356,-0.25737416562800003
ACH-000361,-0.000414751226046
ACH-000362,-0.180242307375
ACH-000363,-0.0285171122357
ACH-000364,-0.08993340966959999
ACH-000365,-0.279450069997
ACH-000366,-0.0954869956405
ACH-000368,-0.14352256256100002
ACH-000374,-0.22729449568500001
ACH-000375,-0.07409795650010001
ACH-000376,-0.0819256717007
ACH-000381,-0.0691894445335
ACH-000383,-0.009143491314250001
ACH-000387,-0.134326663687
ACH-000389,-0.116248500828
ACH-000390,-0.17645430055599998
ACH-000393,-0.116117283495
ACH-000395,0.10680575504499999
ACH-000397,-0.0709434722936
ACH-000401,0.210604285314
ACH-000402,-0.0356787991015
ACH-000403,0.007052452025020001
ACH-000404,0.0322628748572
ACH-000406,-0.0373056683506
ACH-000407,-0.0920422173445
ACH-000408,-0.12516876765999999
ACH-000410,-0.09474648153489999
ACH-000411,-0.0376459975415
ACH-000414,-0.15254409439400002
ACH-000415,-0.379495091687
ACH-000416,-0.0630784670967
ACH-000420,0.00686216553095
ACH-000421,-0.137293598348
ACH-000424,-0.14003037485
ACH-000425,-0.133223799825
ACH-000426,-0.17297117435800002
ACH-000427,0.0380609403184
ACH-000433,-0.383890510269
ACH-000436,-0.107883196114
ACH-000444,0.0211816443382
ACH-000445,-0.161826687355
ACH-000448,-0.0120092901239
ACH-000450,0.031167111932900005
ACH-000452,-0.012915655405999999
ACH-000454,-0.223075048282
ACH-000458,0.004757493758939999
ACH-000459,0.255244563317
ACH-000460,-0.102461129769
ACH-000461,-0.021335823211
ACH-000463,0.021234712711
ACH-000464,0.000816486245773
ACH-000466,0.0785800495496
ACH-000467,0.0052616989634600006
ACH-000468,-0.263474843321
ACH-000469,-0.214666761155
ACH-000470,0.0569500412832
ACH-000471,0.0156803244433
ACH-000472,-0.16717539606100001
ACH-000473,-0.157775787589
ACH-000475,-0.144313416955
ACH-000476,-0.116681200749
ACH-000477,0.155248543395
ACH-000480,-0.15493720863
ACH-000481,-0.0537473037005
ACH-000483,-0.0775487676407
ACH-000484,-0.185444548275
ACH-000485,-0.09148061732830001
ACH-000486,-0.228013159736
ACH-000487,-0.164108023466
ACH-000488,-0.104846142118
ACH-000490,-0.280037545454
ACH-000491,0.07975265008480001
ACH-000495,-0.326454686454
ACH-000496,-0.0399305580874
ACH-000499,-0.22371099048
ACH-000500,-0.036970574230400004
ACH-000502,-0.047270346691800004
ACH-000503,-0.353719793728
ACH-000505,0.0176189434562
ACH-000507,0.00417755885751
ACH-000510,-0.223251108247
ACH-000511,-0.15086557633300002
ACH-000512,-0.111371275397
ACH-000516,-0.147345676295
ACH-000517,-0.140822774276
ACH-000518,-0.19574328518599998
ACH-000520,-0.018638300071
ACH-000521,0.0013891686574500001
ACH-000522,-0.159508473409
ACH-000524,-0.08353805904560001
ACH-000527,-0.138894375921
ACH-000528,-0.145517346142
ACH-000537,-0.0124719122046
ACH-000541,-0.36618654205
ACH-000542,-0.18520357344000002
ACH-000544,-0.135126839101
ACH-000545,-0.203885442911
ACH-000547,-0.07206982430089999
ACH-000548,0.0673513642578
ACH-000549,-0.24456983592599998
ACH-000550,-0.047228228892
ACH-000552,-0.0933010431978
ACH-000556,-0.10863564370300001
ACH-000557,-0.0940008659447
ACH-000570,-0.220303306276
ACH-000571,-0.0578554218762
ACH-000573,-0.035024478350400005
ACH-000576,-0.117522377792
ACH-000580,-0.11858922755000001
ACH-000584,-0.141137554291
ACH-000585,-0.14116575569
ACH-000588,-0.24023808888300002
ACH-000589,-0.193746610222
ACH-000591,-0.23494144867400002
ACH-000593,-0.25820418999
ACH-000600,-0.232682663972
ACH-000601,-0.13676756196599998
ACH-000604,0.010899281845499998
ACH-000605,0.048187917526400004
ACH-000606,-0.187837974868
ACH-000608,-0.27338507962499997
ACH-000614,-0.13278035155999998
ACH-000616,-0.019383239957
ACH-000618,-0.18856974063999998
ACH-000619,-0.221565506822
ACH-000620,-0.00191315545947
ACH-000621,-0.036479769591300004
ACH-000622,-0.112723136798
ACH-000623,-0.20760019400600002
ACH-000624,-0.0640253392788
ACH-000627,-0.140582398131
ACH-000630,0.0691518563529
ACH-000632,0.00992544463682
ACH-000633,-0.0388481135338
ACH-000637,-0.0479743838106
ACH-000638,-0.0359682978312
ACH-000646,0.054141104271900005
ACH-000647,-0.10644552788100001
ACH-000648,-0.00488409162873
ACH-000649,-0.0377343270197
ACH-000651,-0.12991178203
ACH-000652,0.0587935732228
ACH-000653,-0.051931254095599996
ACH-000657,-0.0904263227993
ACH-000658,-0.137238306069
ACH-000661,0.0695649305429
ACH-000662,-0.10765143860300001
ACH-000663,-0.127394396447
ACH-000665,-0.267583784523
ACH-000671,-0.08497563557910001
ACH-000673,-0.113816550174
ACH-000676,0.103529644463
ACH-000677,-0.07983309558469999
ACH-000681,-0.102234044759
ACH-000682,-0.0850355366883
ACH-000683,-0.185252883843
ACH-000684,-0.253441532119
ACH-000688,-0.148413963755
ACH-000693,-0.229285153081
ACH-000694,-0.210829347113
ACH-000695,-0.0728688569993
ACH-000696,-0.0432111468943
ACH-000697,0.00733698414134
ACH-000699,-0.036256512249
ACH-000701,0.267540030982
ACH-000706,0.0648284233937
ACH-000711,-0.186984909804
ACH-000713,-0.283853177038
ACH-000714,0.0955567347992
ACH-000718,-0.235880465981
ACH-000720,-0.205055785321
ACH-000721,-0.0320677631725
ACH-000724,-0.255033475301
ACH-000725,-0.110394293358
ACH-000732,-0.0823143525385
ACH-000734,-0.15032906422599998
ACH-000735,-0.134316235808
ACH-000736,0.00510725130228
ACH-000738,-0.0878368838449
ACH-000746,-0.101733866142
ACH-000747,-0.257878536564
ACH-000748,-0.156296869471
ACH-000753,-0.18653005759799998
ACH-000756,0.0339583404428
ACH-000757,-0.320297735603
ACH-000758,-0.101056321488
ACH-000760,-0.0648530113645
ACH-000763,-0.0905379157295
ACH-000764,0.109411009261
ACH-000765,-0.106475552697
ACH-000766,0.07867386858889999
ACH-000767,-0.21564543917100001
ACH-000768,-0.029596314318400003
ACH-000769,-0.142475112201
ACH-000770,-0.0417085063213
ACH-000771,-0.09626866843739999
ACH-000773,-0.14541660275999999
ACH-000776,0.10020141779
ACH-000777,-0.108932660495
ACH-000778,-0.11344101233699999
ACH-000781,-0.198490111568
ACH-000782,-0.049251163464699994
ACH-000783,0.014531215521200002
ACH-000784,-0.180098149028
ACH-000785,-0.0667966503609
ACH-000787,-0.11605522694
ACH-000788,-0.0584346963296
ACH-000791,-0.248676437117
ACH-000792,-0.09413823857680001
ACH-000794,0.0364916524545
ACH-000796,-0.0693241565504
ACH-000799,-0.0591034010975
ACH-000800,-0.11032532623400002
ACH-000802,-0.00220146602817
ACH-000804,-0.049139537813800004
ACH-000805,-0.168604444014
ACH-000809,-0.162275734659
ACH-000810,-0.18184028902600002
ACH-000811,-0.00119475453569
ACH-000817,-0.29227975589
ACH-000819,-0.0818989281165
ACH-000820,0.0467847058198
ACH-000821,-0.123077561536
ACH-000822,0.0128751570415
ACH-000823,-0.0679994560875
ACH-000824,-0.196150812348
ACH-000827,-0.0391190033683
ACH-000829,0.11648104975299998
ACH-000831,-0.20365651736200002
ACH-000832,-0.196084869131
ACH-000833,-0.130513634836
ACH-000834,-0.032427431501000005
ACH-000835,-0.044213145171900003
ACH-000836,-0.196570035268
ACH-000837,-0.07711281661189999
ACH-000838,-0.000206104912477
ACH-000839,-0.126342261685
ACH-000840,-0.25080425688999997
ACH-000841,-0.22846614651
ACH-000843,-0.22295447069899998
ACH-000846,-0.0211693739385
ACH-000847,-0.222329132988
ACH-000848,-0.0402683429903
ACH-000849,-0.07824231220260001
ACH-000851,-0.169003785686
ACH-000855,-0.21431441573100002
ACH-000856,0.0363035659834
ACH-000858,-0.23746804079599998
ACH-000859,-0.16995957743
ACH-000861,-0.146169551953
ACH-000862,0.039609992183500004
ACH-000865,-0.0205153997686
ACH-000866,-0.0960216903475
ACH-000867,-0.0561200424225
ACH-000869,-0.0800814662962
ACH-000872,-0.15551401009500002
ACH-000873,-0.24029723932100003
ACH-000876,0.155409781296
ACH-000878,0.139732095431
ACH-000880,-0.103704292825
ACH-000881,0.14285725917199998
ACH-000882,-0.0736167938537
ACH-000884,-0.090699317446
ACH-000885,0.011269763143
ACH-000887,-0.0136002634896
ACH-000888,-0.18342415740899998
ACH-000889,0.056440887899
ACH-000890,0.0142835222004
ACH-000896,-0.145112238387
ACH-000898,-0.142719876
ACH-000900,-0.23865127376200002
ACH-000901,0.069053015525
ACH-000905,-0.0203890597696
ACH-000906,-0.031014254769
ACH-000907,0.049001398278
ACH-000910,0.00633647703525
ACH-000911,0.0257453465662
ACH-000912,-0.0358014304571
ACH-000913,-0.10232618630000001
ACH-000915,-0.30822990377500004
ACH-000916,-0.397712599705
ACH-000917,-0.330713793285
ACH-000921,-0.0682977066844
ACH-000924,0.0717906554485
ACH-000926,0.045989186103099995
ACH-000928,0.0291775578547
ACH-000929,0.0468083981156
ACH-000932,0.0325821682605
ACH-000935,-0.105240054827
ACH-000936,0.0643711031607
ACH-000937,-0.0449114781831
ACH-000938,0.018565147293700002
ACH-000939,-0.227920604148
ACH-000941,-0.27717233380600004
ACH-000943,-0.0909318851577
ACH-000946,-0.125492553483
ACH-000947,-0.130550722767
ACH-000948,-0.0435034420701
ACH-000950,-0.11263695015799999
ACH-000953,0.0175818079885
ACH-000957,-0.19041859592
ACH-000958,-0.10531600073200001
ACH-000960,0.00397445375245
ACH-000963,0.035720228258300006
ACH-000968,0.149603652606
ACH-000969,0.16305739612
ACH-000973,-0.0197627328895
ACH-000974,0.0102094204844
ACH-000975,-0.0308347711234
ACH-000976,0.0178041509608
ACH-000978,-0.275304304462
ACH-000980,-0.0442052604061
ACH-000984,-0.0006298140318659999
ACH-000986,-0.26665994848499996
ACH-000988,-0.06276559114000001
ACH-000993,-0.09698466734380001
ACH-000994,0.023796653681900003
ACH-000996,-0.0758991462759
ACH-001001,-0.053024612898699995
ACH-001020,-0.028717224005400003
ACH-001028,-0.0444381386878
ACH-001031,-0.160881211216
ACH-001038,-0.0838605159795
ACH-001048,-0.044981157882500004
ACH-001050,0.0396499071355
ACH-001053,0.0041102490949299995
ACH-001054,-0.08550282596719999
ACH-001061,-0.0977365146348
ACH-001067,-0.0276571878773
ACH-001075,-0.113186362404
ACH-001096,-0.170151847856
ACH-001128,-0.0597253499209
ACH-001134,-0.29286772156700003
ACH-001151,-0.0650568375053
ACH-001163,-0.019054393654700002
ACH-001164,-0.07115761450889999
ACH-001173,-0.150525647223
ACH-001183,0.00635343420387
ACH-001184,0.0490852552446
ACH-001190,-0.00325908525548
ACH-001192,-0.16688194880899998
ACH-001193,-0.311352657267
ACH-001196,-0.17594579085
ACH-001197,-0.187561398426
ACH-001205,-0.033678836376099995
ACH-001211,-0.00839316134
ACH-001212,-0.037404530816
ACH-001228,0.0318785008281
ACH-001232,-0.185148187759
ACH-001239,-0.061955481103400004
ACH-001274,0.0014129974078199998
ACH-001275,-0.110991996121
ACH-001277,-0.129730443907
ACH-001278,-0.05627487076280001
ACH-001280,-0.059669525213
ACH-001283,-0.15102466576999998
ACH-001289,-0.06267898602319999
ACH-001295,-0.0821429224628
ACH-001300,-0.196722964134
ACH-001301,-0.024085210018099996
ACH-001302,0.025183271923700002
ACH-001303,0.251127487239
ACH-001306,-0.0313481977011
ACH-001318,-0.0780535097854
ACH-001322,-0.0820566766233
ACH-001328,-0.125623977783
ACH-001332,-0.0109470129846
