,DepMap_ID
871,ACH-000004
1169,ACH-000005
5825,ACH-000018
15898,ACH-000044
16337,ACH-000046
30070,ACH-000079
36195,ACH-000107
41196,ACH-000127
47177,ACH-000151
54663,ACH-000179
57518,ACH-000190
63166,ACH-000208
63471,ACH-000209
67894,ACH-000222
84676,ACH-000276
90269,ACH-000294
97082,ACH-000313
100544,ACH-000320
108762,ACH-000346
113480,ACH-000357
117943,ACH-000370
119135,ACH-000373
122228,ACH-000381
122229,ACH-000381
123041,ACH-000383
123370,ACH-000384
133888,ACH-000412
158701,ACH-000475
159874,ACH-000478
177127,ACH-000521
203588,ACH-000583
204563,ACH-000585
222257,ACH-000623
226213,ACH-000632
230792,ACH-000640
249924,ACH-000676
249925,ACH-000676
274373,ACH-000723
275388,ACH-000725
294906,ACH-000760
301154,ACH-000770
309930,ACH-000782
312292,ACH-000785
334252,ACH-000786
334253,ACH-000786
334254,ACH-000786
362294,ACH-000805
384299,ACH-000833
384300,ACH-000833
401383,ACH-000855
408829,ACH-000864
417481,ACH-000872
419980,ACH-000874
421198,ACH-000875
429080,ACH-000882
435317,ACH-000887
441297,ACH-000892
441298,ACH-000892
445400,ACH-000896
446447,ACH-000897
448891,ACH-000899
456638,ACH-000907
459739,ACH-000909
462543,ACH-000911
462544,ACH-000911
464328,ACH-000912
469647,ACH-000915
488956,ACH-000925
506678,ACH-000934
533731,ACH-000944
539225,ACH-000946
541845,ACH-000947
544705,ACH-000948
553022,ACH-000951
562398,ACH-000954
562399,ACH-000954
566621,ACH-000955
566622,ACH-000955
569813,ACH-000956
588868,ACH-000962
588869,ACH-000962
592724,ACH-000963
598785,ACH-000965
602572,ACH-000966
602573,ACH-000966
609978,ACH-000968
622190,ACH-000971
633432,ACH-000974
642230,ACH-000977
642231,ACH-000977
649189,ACH-000978
649190,ACH-000978
649191,ACH-000978
649192,ACH-000978
654687,ACH-000979
669055,ACH-000982
669056,ACH-000982
673987,ACH-000983
679061,ACH-000984
679062,ACH-000984
679063,ACH-000984
693203,ACH-000986
707966,ACH-000988
715078,ACH-000989
726242,ACH-000990
726243,ACH-000990
726244,ACH-000990
726245,ACH-000990
781740,ACH-000992
781741,ACH-000992
781742,ACH-000992
781743,ACH-000992
811170,ACH-000993
811171,ACH-000993
811172,ACH-000993
811173,ACH-000993
829807,ACH-000995
829808,ACH-000995
839220,ACH-000996
839221,ACH-000996
839222,ACH-000996
850305,ACH-000997
850306,ACH-000997
850307,ACH-000997
860648,ACH-000998
860649,ACH-000998
860650,ACH-000998
860651,ACH-000998
881253,ACH-000999
881254,ACH-000999
881255,ACH-000999
881256,ACH-000999
881257,ACH-000999
881258,ACH-000999
881259,ACH-000999
881260,ACH-000999
897023,ACH-001042
914016,ACH-001081
914017,ACH-001081
919225,ACH-001091
928326,ACH-001127
930910,ACH-001130
931508,ACH-001132
937004,ACH-001145
937005,ACH-001145
939002,ACH-001150
941311,ACH-001184
941814,ACH-001189
955706,ACH-001282
963596,ACH-001333
971994,ACH-001345
971995,ACH-001345
983923,ACH-001369
983924,ACH-001369
989927,ACH-001390
998608,ACH-001415
998609,ACH-001415
1014158,ACH-001517
1025809,ACH-001546
1036256,ACH-001558
1048789,ACH-001610
1048790,ACH-001610
1048791,ACH-001610
1058912,ACH-001650
1058913,ACH-001650
1063971,ACH-001680
1065670,ACH-001709
1067857,ACH-001735
1069584,ACH-001737
1073030,ACH-001751
1080482,ACH-002001
1081869,ACH-002003
1083758,ACH-002020
1085229,ACH-002043
1089931,ACH-002067
1096592,ACH-002101
1098901,ACH-002111
1099122,ACH-002112
1099977,ACH-002116
1099978,ACH-002116
1104513,ACH-002135
1109830,ACH-002152
1128202,ACH-002182
1133844,ACH-002198
1134964,ACH-002200
1135279,ACH-002201
1136423,ACH-002206
1139481,ACH-002215
1145448,ACH-002222
1145449,ACH-002222
1148522,ACH-002229
1155359,ACH-002238
1155360,ACH-002238
1157790,ACH-002242
1158806,ACH-002245
1167797,ACH-002256
1171328,ACH-002258
1178214,ACH-002272
1178215,ACH-002272
1180670,ACH-002275
1187557,ACH-002287
1204683,ACH-002317
1225334,ACH-002396
1225335,ACH-002396
