,MCM4 (4173)
ACH-000004,-1.05467561391
ACH-000007,-1.17007635971
ACH-000009,-1.0544002607
ACH-000011,-1.11244734612
ACH-000012,-1.10808667776
ACH-000013,-1.21566772112
ACH-000014,-1.45434195708
ACH-000015,-1.2531165290000001
ACH-000017,-1.46861331831
ACH-000018,-1.14276597589
ACH-000019,-1.16982694718
ACH-000021,-1.0681241417899998
ACH-000022,-1.13165958154
ACH-000025,-1.29703229045
ACH-000028,-1.02950842302
ACH-000030,-1.14159994797
ACH-000035,-1.16845780301
ACH-000036,-1.2338391402700002
ACH-000037,-0.496753383922
ACH-000039,-1.29768122032
ACH-000040,-1.04629101434
ACH-000041,-0.8852990591969999
ACH-000042,-1.26017090888
ACH-000045,-0.931994192053
ACH-000047,-1.09181057787
ACH-000052,-1.39120350473
ACH-000053,-1.26673656902
ACH-000054,-1.25744783331
ACH-000055,-1.3660707389700002
ACH-000060,-1.05488071628
ACH-000067,-1.5491410073899998
ACH-000070,-1.1598425544600002
ACH-000075,-1.0630541424
ACH-000078,-1.4457754061599999
ACH-000082,-1.1319718751899999
ACH-000085,-1.23467569193
ACH-000086,-0.910123824788
ACH-000087,-0.851635254377
ACH-000092,-1.37354115866
ACH-000095,-1.23071458573
ACH-000097,-1.11384665499
ACH-000098,-1.57250593674
ACH-000099,-1.52079682861
ACH-000108,-1.28606022112
ACH-000113,-1.19868291777
ACH-000115,-0.991512471992
ACH-000116,-0.867890972755
ACH-000118,-1.12552260156
ACH-000120,-1.07109622429
ACH-000123,-1.28035494973
ACH-000127,-1.17092769164
ACH-000128,-1.19274444941
ACH-000132,-1.60424356342
ACH-000133,-1.2514579721799999
ACH-000137,-1.12401545537
ACH-000138,-1.04583798499
ACH-000142,-1.2226498647
ACH-000143,-0.99651108546
ACH-000146,-1.18574759396
ACH-000148,-1.24571847099
ACH-000150,-1.16648532161
ACH-000152,-1.2439058815700001
ACH-000153,-1.19787066917
ACH-000159,-1.23510630006
ACH-000160,-1.5779237322100002
ACH-000163,-1.2249531502
ACH-000167,-1.4798342157700002
ACH-000168,-1.29126106832
ACH-000169,-1.2185594040899999
ACH-000178,-1.30611043707
ACH-000182,-1.3682315830399998
ACH-000183,-0.9697738533220001
ACH-000188,-0.9016110029279999
ACH-000189,-1.34517714463
ACH-000190,-1.3811779574899998
ACH-000198,-1.0848064446799999
ACH-000204,-0.979346209748
ACH-000206,-1.4086316402
ACH-000207,-1.04977134417
ACH-000211,-1.17930636003
ACH-000215,-1.3038990408600002
ACH-000221,-1.3427524707
ACH-000222,-1.03175078155
ACH-000223,-1.26661169308
ACH-000226,-1.0682369253200001
ACH-000227,-1.6920377108000002
ACH-000228,-1.21368337751
ACH-000231,-1.44015426161
ACH-000232,-1.2295939605700001
ACH-000233,-1.35472548065
ACH-000234,-1.2975306480700002
ACH-000235,-1.1882854275399999
ACH-000237,-1.10306418649
ACH-000238,-0.768391848006
ACH-000243,-1.2312485839700003
ACH-000244,-1.1077303778399998
ACH-000246,-1.27333514424
ACH-000248,-1.3756070209600002
ACH-000250,-1.35522983974
ACH-000251,-1.11562535521
ACH-000253,-1.1521549254
ACH-000255,-1.10755057332
ACH-000256,-1.17718049801
ACH-000257,-1.27715397022
ACH-000258,-1.88672939965
ACH-000259,-1.0283936961
ACH-000260,-1.14948274883
ACH-000261,-1.3375910104100002
ACH-000262,-1.15678500427
ACH-000263,-1.37539482419
ACH-000264,-1.25350712494
ACH-000265,-1.14410334468
ACH-000266,-1.51673286294
ACH-000272,-1.19630422264
ACH-000273,-1.18301660641
ACH-000274,-1.35356557969
ACH-000277,-1.1495918537899998
ACH-000278,-0.9306276344299999
ACH-000279,-1.0663581365500001
ACH-000280,-1.2348717788299999
ACH-000281,-1.0976295075700002
ACH-000288,-1.1820035900399999
ACH-000291,-1.29240883686
ACH-000293,-1.52457187248
ACH-000294,-0.857235277988
ACH-000295,-1.2607594067899999
ACH-000296,-1.28679813041
ACH-000302,-1.41501685239
ACH-000304,-1.6588049494200001
ACH-000307,-1.20860246909
ACH-000308,-1.4192011265399997
ACH-000310,-1.63788468431
ACH-000311,-1.37811336598
ACH-000312,-1.35601821979
ACH-000315,-0.999830469225
ACH-000316,-1.17283744157
ACH-000317,-1.16910544551
ACH-000318,-1.23835989864
ACH-000319,-1.09224380113
ACH-000320,-1.2822755646600001
ACH-000322,-1.5631548852300001
ACH-000323,-1.08012381366
ACH-000324,-1.13598969501
ACH-000329,-1.5033373369299998
ACH-000330,-1.4859141582100002
ACH-000331,-1.26133478915
ACH-000332,-1.0195461252299998
ACH-000334,-1.8597716074700001
ACH-000335,-1.1290533701799998
ACH-000336,-1.30185109313
ACH-000337,-0.962953735212
ACH-000339,-1.45716569929
ACH-000341,-1.23381986136
