,MEX3C (51320)
ACH-000004,-0.076337272886
ACH-000007,0.047740233234800006
ACH-000009,-0.06893820010769999
ACH-000011,-0.386153593922
ACH-000012,-0.149900890933
ACH-000013,-0.119293645764
ACH-000014,0.09073789866080001
ACH-000015,0.131311388571
ACH-000017,-0.011078591522299999
ACH-000018,0.145798272344
ACH-000019,-0.29883174602400003
ACH-000021,-0.0138254831125
ACH-000022,0.0565267988193
ACH-000025,-0.240604532814
ACH-000028,-0.0391012625506
ACH-000030,-0.163728398942
ACH-000035,0.060596995528600005
ACH-000036,-0.198637481237
ACH-000037,-0.190692610296
ACH-000039,-0.117309333014
ACH-000040,-0.165802144271
ACH-000041,-0.296791200914
ACH-000042,-0.061789082587099996
ACH-000045,0.022279532930400005
ACH-000047,-0.0635757779041
ACH-000052,0.055681469833699995
ACH-000053,-0.035590157665
ACH-000054,-0.0938018391728
ACH-000055,-0.209281228413
ACH-000060,-0.311215767831
ACH-000067,-0.162501371749
ACH-000070,-0.204847424881
ACH-000075,-0.111616554155
ACH-000078,-0.042358101423800004
ACH-000082,-0.0650550325488
ACH-000085,-0.176092780752
ACH-000086,0.194056366299
ACH-000087,-0.0635763174017
ACH-000092,-0.060469089063999996
ACH-000095,-0.216284163433
ACH-000097,-0.165757198716
ACH-000098,0.0164000609957
ACH-000099,-0.119578536469
ACH-000108,0.11664785420499998
ACH-000113,-0.34166853226300004
ACH-000115,-0.0876229423893
ACH-000116,-0.137263140162
ACH-000118,0.021092373206000003
ACH-000120,-0.0864528088992
ACH-000123,-0.0206552899922
ACH-000127,-0.0159898703294
ACH-000128,-0.359437552619
ACH-000132,-0.34109920891400003
ACH-000133,0.011630515681399998
ACH-000137,0.15153768025800002
ACH-000138,-0.0597690452466
ACH-000142,0.007948064565430001
ACH-000143,-0.042581676551900004
ACH-000146,0.0037189468600500003
ACH-000148,0.0166413667532
ACH-000150,-0.07046065240610001
ACH-000152,-0.0406966848913
ACH-000153,0.17661095370000002
ACH-000159,-0.012873107619
ACH-000160,-0.0499590129014
ACH-000163,-0.0406653225859
ACH-000167,-0.27210079274599996
ACH-000168,-0.141657989267
ACH-000169,-0.21749989994399999
ACH-000178,-0.23898269784099999
ACH-000182,-0.153282563355
ACH-000183,-0.161707331065
ACH-000188,-0.0438217341201
ACH-000189,-0.0406606988361
ACH-000190,-0.0366177068717
ACH-000198,0.0204899704559
ACH-000204,-0.131668343254
ACH-000206,-0.184593734963
ACH-000207,-0.134365136419
ACH-000211,-0.0753339816172
ACH-000215,-0.06340937614440001
ACH-000221,-0.175759483081
ACH-000222,-0.19563512466
ACH-000223,-0.21256873313000002
ACH-000226,-0.170622308699
ACH-000227,-0.103471285931
ACH-000228,-0.330719884422
ACH-000231,-0.167729504017
ACH-000232,-0.17930882426800002
ACH-000233,-0.187995573655
ACH-000234,-0.0334559060146
ACH-000235,0.0204564506427
ACH-000237,-0.143109434204
ACH-000238,-0.203178972811
ACH-000243,-0.0926227409087
ACH-000244,-0.211543335114
ACH-000246,-0.263265987401
ACH-000248,0.09526346966669999
ACH-000250,-0.265512603167
ACH-000251,-0.0544134090657
ACH-000253,-0.0712038819075
ACH-000255,0.04901534873930001
ACH-000256,-0.440765919681
ACH-000257,0.048410656799300004
ACH-000258,-0.22850145928000004
ACH-000259,-0.0315211348203
ACH-000260,-0.07793859339819999
ACH-000261,-0.198203370332
ACH-000262,-0.241556284959
ACH-000263,-0.526663849404
ACH-000264,-0.219919146214
ACH-000265,0.0823761769412
ACH-000266,-0.0449483857528
ACH-000272,-0.06476944555700001
ACH-000273,-0.262107946726
ACH-000274,-0.281562388124
ACH-000277,-0.136366092524
ACH-000278,-0.38956811184900003
ACH-000279,-0.0564074820445
ACH-000280,0.17847094034000002
ACH-000281,-0.226477581279
ACH-000288,0.109646024529
ACH-000291,-0.11125355702600001
ACH-000293,-0.17925585627
ACH-000294,-0.037302937325499996
ACH-000295,0.118144711187
ACH-000296,-0.226866804508
ACH-000302,-0.0417004173261
ACH-000304,0.014509459685799999
ACH-000307,0.042368079108699996
ACH-000308,-0.0809709168012
ACH-000310,-0.14259361112299998
ACH-000311,0.0868806438509
ACH-000312,-0.0789769915995
ACH-000315,0.129058492857
ACH-000316,-0.0447455441285
ACH-000317,0.00197325035261
ACH-000318,-0.0132763754822
ACH-000319,-0.0724296452261
ACH-000320,-0.266183005184
