,MIP (4284)
ACH-000004,-0.0333098836594
ACH-000007,0.0422940246309
ACH-000009,-0.08088391016310001
ACH-000011,-0.09440635018310001
ACH-000012,-0.11355468532600001
ACH-000013,-0.0878871305179
ACH-000014,-0.0221173899958
ACH-000015,-0.140108506529
ACH-000017,-0.042068931176199996
ACH-000018,-0.14860738787900002
ACH-000019,0.061322379673
ACH-000021,0.00204202113368
ACH-000022,-0.0978904278686
ACH-000025,-0.0720381254589
ACH-000028,-0.0234379948643
ACH-000030,-0.133828576685
ACH-000035,-0.301075327796
ACH-000036,-0.04304840578369999
ACH-000037,-0.129889191254
ACH-000039,0.0767731483707
ACH-000040,0.192859999452
ACH-000041,-0.105252332389
ACH-000042,-0.193007028708
ACH-000045,0.0374438896101
ACH-000047,-0.150222881205
ACH-000052,-0.21727160908399998
ACH-000053,-0.13520606391599999
ACH-000054,-0.041863340499
ACH-000055,0.024383512579200003
ACH-000060,-0.152036984254
ACH-000067,-0.0764239707245
ACH-000070,0.0819900741322
ACH-000075,0.0609132800944
ACH-000078,0.0553410484322
ACH-000082,-0.0601315184251
ACH-000085,-0.0927540384779
ACH-000086,-0.325219780974
ACH-000087,-0.309297762658
ACH-000092,-0.041333209646
ACH-000095,-0.00798714289876
ACH-000097,-0.129721001109
ACH-000098,0.0592226835391
ACH-000099,-0.00411993781861
ACH-000108,0.0322452774713
ACH-000113,-0.0269300016916
ACH-000115,-0.411379249854
ACH-000116,-0.022320550827799997
ACH-000118,-0.115648255466
ACH-000120,0.09198287769050001
ACH-000123,-0.151189373171
ACH-000127,-0.297657970872
ACH-000128,-0.11099550748400001
ACH-000132,0.141089333579
ACH-000133,-0.312171197577
ACH-000137,-0.185519285184
ACH-000138,-0.0914786066632
ACH-000142,-0.0784692746613
ACH-000143,-0.182998567991
ACH-000146,0.020532310463599997
ACH-000148,-0.145485597299
ACH-000150,-0.23547226466999996
ACH-000152,-0.305252679852
ACH-000153,-0.389802080423
ACH-000159,0.06580386902060001
ACH-000160,-0.128945439597
ACH-000163,-0.151769075145
ACH-000167,0.113482810719
ACH-000168,-0.191949883973
ACH-000169,-0.061989783788800004
ACH-000178,-0.117663862529
ACH-000182,-0.102865916897
ACH-000183,-0.2722387696
ACH-000188,0.00718383551372
ACH-000189,-0.641745213535
ACH-000190,-0.014962472298299999
ACH-000198,-0.10550293332
ACH-000204,0.0638147425754
ACH-000206,0.049433162919999996
ACH-000207,-0.137113305339
ACH-000211,0.0789519625641
ACH-000215,-0.14562013423
ACH-000221,-0.10964113923
ACH-000222,-0.0418975928449
ACH-000223,-0.0442189249564
ACH-000226,-0.205737703336
ACH-000227,-0.00557503100569
ACH-000228,-0.114991362836
ACH-000231,-0.0180287761559
ACH-000232,-0.111538719106
ACH-000233,-0.19929788097399997
ACH-000234,0.054915379836099995
ACH-000235,-0.150118479149
ACH-000237,-0.016634659634399997
ACH-000238,-0.0565594885288
ACH-000243,-0.0270073743555
ACH-000244,-0.0204336621575
ACH-000246,-0.130712027391
ACH-000248,-0.09413008936100001
ACH-000250,-0.00495472051316
ACH-000251,0.054388416079900005
ACH-000253,-0.11223879651799999
ACH-000255,-0.015457205573200001
ACH-000256,-0.07380802540310001
ACH-000257,0.131799778488
ACH-000258,0.123641740646
ACH-000259,-0.101496889562
ACH-000260,-0.0276536342431
ACH-000261,-0.112294756239
ACH-000262,0.133808649847
ACH-000263,0.061615963147400005
ACH-000264,-0.012625890300100001
ACH-000265,-0.010909416400600001
ACH-000266,-0.117284772785
ACH-000272,-0.00399224385273
ACH-000273,0.0168189632496
ACH-000274,-0.186435254149
ACH-000277,-0.149374287717
ACH-000278,-0.19448207142299997
ACH-000279,-0.237593233964
ACH-000280,-0.18303283374899998
ACH-000281,-0.327672903871
ACH-000288,-0.333988593602
ACH-000291,-0.112993875109
ACH-000293,-0.104753607764
ACH-000294,-0.0469092008886
ACH-000295,0.032020122393099995
ACH-000296,-0.06278559266559999
ACH-000302,-0.06055253652440001
ACH-000304,0.0790027675736
ACH-000307,-0.09674568354049999
ACH-000308,-0.131567529607
ACH-000310,0.053805202942500005
ACH-000311,0.0077629465535699995
ACH-000312,-0.07314906638600001
ACH-000315,-0.42094408319300003
ACH-000316,0.10569113411499999
ACH-000317,0.17770213203200003
ACH-000318,-0.280680264712
ACH-000319,-0.178056646259
ACH-000320,0.0647192264911
ACH-000322,-0.11117612677100001
ACH-000323,-0.107430331964
ACH-000324,-0.021690131759000003
ACH-000329,-0.07486557222569999
ACH-000330,-0.0570166497743
ACH-000331,-0.215920119088
ACH-000332,0.06773930580939999
ACH-000334,-0.214065232315
ACH-000335,-0.249507493588
ACH-000336,0.10169755693600001
ACH-000337,0.0123602615345
ACH-000339,-0.17097509868000002
ACH-000341,-0.0592661639604
ACH-000348,-0.179072460078
ACH-000350,-0.193582020787
ACH-000352,-0.257643626713
ACH-000356,-0.107667179157
ACH-000361,-0.165609585131
ACH-000362,-0.08132853259360001
ACH-000363,-0.0306026013907
ACH-000364,-0.0324124340396
ACH-000365,-0.164500796905
ACH-000366,0.10877740191600001
ACH-000368,-0.193802359672
ACH-000374,-0.35907703819200004
ACH-000375,-0.34576490253799996
