,DepMap_ID
2374,ACH-000008
4581,ACH-000014
43235,ACH-000135
68325,ACH-000223
90042,ACH-000293
95960,ACH-000309
104515,ACH-000333
104516,ACH-000333
111067,ACH-000351
146693,ACH-000444
199433,ACH-000573
219934,ACH-000618
234148,ACH-000647
258217,ACH-000693
270301,ACH-000715
356405,ACH-000797
367459,ACH-000811
372318,ACH-000817
388041,ACH-000839
409152,ACH-000864
411306,ACH-000866
421570,ACH-000875
442786,ACH-000893
453147,ACH-000903
458755,ACH-000908
475246,ACH-000918
480846,ACH-000920
497332,ACH-000929
505484,ACH-000933
558975,ACH-000953
558976,ACH-000953
563867,ACH-000954
570630,ACH-000956
589863,ACH-000962
623411,ACH-000971
623412,ACH-000971
656047,ACH-000979
656048,ACH-000979
659096,ACH-000980
674840,ACH-000983
674841,ACH-000983
674842,ACH-000983
674843,ACH-000983
674844,ACH-000983
688220,ACH-000985
717299,ACH-000989
717300,ACH-000989
730149,ACH-000990
730150,ACH-000990
739526,ACH-000991
823497,ACH-000994
823498,ACH-000994
831830,ACH-000995
831831,ACH-000995
863886,ACH-000998
863887,ACH-000998
937992,ACH-001145
937993,ACH-001145
956624,ACH-001300
959470,ACH-001318
984747,ACH-001369
1015738,ACH-001517
1041040,ACH-001568
1052382,ACH-001626
1062068,ACH-001656
1062069,ACH-001656
1091899,ACH-002092
1119487,ACH-002166
1139761,ACH-002215
1150922,ACH-002232
1169920,ACH-002256
1169921,ACH-002256
1181858,ACH-002277
1207254,ACH-002340
1209666,ACH-002341
1209667,ACH-002341
