,MRPL53 (116540)
ACH-000004,-0.44412129432999997
ACH-000007,-1.2164682373
ACH-000009,-0.698333866596
ACH-000011,-0.636304136432
ACH-000012,-0.958222966867
ACH-000013,-0.930854860211
ACH-000014,-0.898315023515
ACH-000015,-0.857706908833
ACH-000017,-0.621624193032
ACH-000018,-0.9692120826970001
ACH-000019,-1.2039908173799998
ACH-000021,-0.8403758527349999
ACH-000022,-1.1802417034700001
ACH-000025,-1.07432415669
ACH-000028,-1.1119944256299998
ACH-000030,-0.763697506725
ACH-000035,-1.02051867156
ACH-000036,-0.533516312238
ACH-000037,-0.9512369180700001
ACH-000039,-0.82955407879
ACH-000040,-0.788446449228
ACH-000041,-0.6460436593419999
ACH-000042,-0.6216291219110001
ACH-000045,-1.0504466281
ACH-000047,-0.896091281395
ACH-000052,-0.821899088767
ACH-000053,-0.866710680249
ACH-000054,-0.848066493715
ACH-000055,-0.5289809246930001
ACH-000060,-0.9059546034479999
ACH-000067,-0.94795590425
ACH-000070,-1.0526681372799997
ACH-000075,-0.693972901042
ACH-000078,-0.68915051064
ACH-000082,-0.8565049617739999
ACH-000085,-0.9293345514069999
ACH-000086,-1.1352569648200002
ACH-000087,-0.9547291427069999
ACH-000092,-0.955051957136
ACH-000095,-0.635848430394
ACH-000097,-0.8314454890899999
ACH-000098,-0.818296823716
ACH-000099,-0.838593935269
ACH-000108,-0.700403506682
ACH-000113,-0.827585406744
ACH-000115,-0.642373500676
ACH-000116,-0.9393416175120001
ACH-000118,-1.15282646487
ACH-000120,-0.747860875692
ACH-000123,-0.93486930046
ACH-000127,-0.971134713511
ACH-000128,-0.740273850728
ACH-000132,-0.955542067206
ACH-000133,-0.976886790029
ACH-000137,-0.730278280069
ACH-000138,-0.815973246819
ACH-000142,-0.671527287792
ACH-000143,-1.03031358344
ACH-000146,-0.687600211109
ACH-000148,-0.8380431762549999
ACH-000150,-1.4043385768
ACH-000152,-0.991849922006
ACH-000153,-0.667184847454
ACH-000159,-0.8831172768700001
ACH-000160,-1.28222215139
ACH-000163,-0.77013164505
ACH-000167,-0.6731073414640001
ACH-000168,-0.5895414813600001
ACH-000169,-0.8794395790080001
ACH-000178,-0.897148216283
ACH-000182,-1.38506882059
ACH-000183,-0.829443749851
ACH-000188,-0.9403722092739999
ACH-000189,-0.9051434255580001
ACH-000190,-1.0545254238600001
ACH-000198,-0.811485943663
ACH-000204,-0.819572733337
ACH-000206,-1.12857047065
ACH-000207,-1.06775240846
ACH-000211,-0.892745454207
ACH-000215,-0.796192606078
ACH-000221,-0.987038416429
ACH-000222,-0.7686149379870001
ACH-000223,-0.917142607421
ACH-000226,-0.8051011154600001
ACH-000227,-0.86291251067
ACH-000228,-0.742782222919
ACH-000231,-1.0189750849099999
ACH-000232,-0.941533658669
ACH-000233,-0.857298098131
ACH-000234,-0.6615796664320001
ACH-000235,-0.72203149122
ACH-000237,-0.582920338962
ACH-000238,-0.9073848457879999
ACH-000243,-1.0096688521600001
ACH-000244,-0.859153330263
ACH-000246,-0.9895365036499999
ACH-000248,-1.04708886675
ACH-000250,-0.542734674661
ACH-000251,-1.1143332187000001
ACH-000253,-0.73029132766
ACH-000255,-0.7882744443649999
ACH-000256,-0.8482445582189999
ACH-000257,-0.788377448233
ACH-000258,-0.981069545808
ACH-000259,-0.9380315667389999
ACH-000260,-0.713009469182
ACH-000261,-0.8062841126960001
ACH-000262,-0.6392027359920001
ACH-000263,-0.915359174501
ACH-000264,-0.841659176014
ACH-000265,-0.9845851639319999
ACH-000266,-0.657608251193
ACH-000272,-0.747138682628
ACH-000273,-0.7577038841339999
ACH-000274,-0.8876434775290001
ACH-000277,-1.2173010907100001
ACH-000278,-0.643513403062
ACH-000279,-1.0964479011700001
ACH-000280,-0.62645031124
ACH-000281,-0.7037930100380001
ACH-000288,-1.02813563445
ACH-000291,-0.773626060934
ACH-000293,-1.00907018395
ACH-000294,-0.526420006446
ACH-000295,-0.9530070855230001
ACH-000296,-0.787347607485
ACH-000302,-0.841911341269
ACH-000304,-1.05226128811
ACH-000307,-0.8514980109739999
ACH-000308,-0.8455068604870001
ACH-000310,-0.835999768447
ACH-000311,-0.9128955811399999
ACH-000312,-1.0573466490999999
ACH-000315,-1.04777845155
ACH-000316,-0.808307853297
ACH-000317,-1.12136917637
ACH-000318,-1.0153034304700002
ACH-000319,-0.643060924615
ACH-000320,-0.815911917715
ACH-000322,-1.3897199859399998
ACH-000323,-0.950646847141
ACH-000324,-0.8209566629330001
ACH-000329,-0.841105095855
