,DepMap_ID
2930,ACH-000010
4845,ACH-000015
8064,ACH-000024
18854,ACH-000057
20524,ACH-000064
23571,ACH-000065
23572,ACH-000065
28937,ACH-000074
31910,ACH-000089
41445,ACH-000128
52580,ACH-000171
54864,ACH-000180
64686,ACH-000213
71232,ACH-000234
71502,ACH-000235
72774,ACH-000239
73214,ACH-000241
75559,ACH-000248
78354,ACH-000256
89609,ACH-000292
93733,ACH-000304
97884,ACH-000314
108314,ACH-000345
121298,ACH-000379
123973,ACH-000386
126145,ACH-000392
133202,ACH-000410
139915,ACH-000427
140632,ACH-000429
141160,ACH-000430
160191,ACH-000479
167538,ACH-000498
206211,ACH-000588
221268,ACH-000621
223451,ACH-000626
251322,ACH-000679
253667,ACH-000683
253668,ACH-000683
254545,ACH-000685
255632,ACH-000688
258704,ACH-000694
259650,ACH-000696
261959,ACH-000699
261960,ACH-000699
296445,ACH-000763
303173,ACH-000774
303174,ACH-000774
330555,ACH-000786
330556,ACH-000786
330557,ACH-000786
406486,ACH-000861
407244,ACH-000862
415994,ACH-000871
423000,ACH-000877
425102,ACH-000879
437867,ACH-000889
441228,ACH-000892
446318,ACH-000897
446319,ACH-000897
447583,ACH-000898
452756,ACH-000903
458032,ACH-000908
459617,ACH-000909
467640,ACH-000914
500890,ACH-000931
509559,ACH-000936
513085,ACH-000937
513086,ACH-000937
513087,ACH-000937
525245,ACH-000941
530877,ACH-000943
533628,ACH-000944
536010,ACH-000945
538978,ACH-000946
538979,ACH-000946
557790,ACH-000953
557791,ACH-000953
561924,ACH-000954
561925,ACH-000954
575703,ACH-000958
579075,ACH-000959
579076,ACH-000959
585141,ACH-000961
585142,ACH-000961
595666,ACH-000964
598473,ACH-000965
606341,ACH-000967
613525,ACH-000969
625854,ACH-000972
625855,ACH-000972
629327,ACH-000973
633037,ACH-000974
633038,ACH-000974
648501,ACH-000978
654229,ACH-000979
658019,ACH-000980
673759,ACH-000983
678531,ACH-000984
692436,ACH-000986
692437,ACH-000986
700041,ACH-000987
707342,ACH-000988
714394,ACH-000989
724926,ACH-000990
724927,ACH-000990
724928,ACH-000990
735614,ACH-000991
735615,ACH-000991
775412,ACH-000992
775413,ACH-000992
810394,ACH-000993
820082,ACH-000994
820083,ACH-000994
829154,ACH-000995
829155,ACH-000995
838157,ACH-000996
838158,ACH-000996
838159,ACH-000996
838160,ACH-000996
838161,ACH-000996
849307,ACH-000997
849308,ACH-000997
849309,ACH-000997
849310,ACH-000997
849311,ACH-000997
859678,ACH-000998
859679,ACH-000998
878838,ACH-000999
878839,ACH-000999
878840,ACH-000999
878841,ACH-000999
893768,ACH-001024
901379,ACH-001064
913247,ACH-001081
913248,ACH-001081
919140,ACH-001091
921388,ACH-001109
927739,ACH-001127
953258,ACH-001239
954718,ACH-001275
971316,ACH-001345
971317,ACH-001345
992160,ACH-001400
1001121,ACH-001442
1002938,ACH-001454
1013627,ACH-001517
1013628,ACH-001517
1048315,ACH-001610
1048316,ACH-001610
1050763,ACH-001611
1058564,ACH-001650
1062562,ACH-001673
1072669,ACH-001750
1078263,ACH-001856
1079408,ACH-001956
1079409,ACH-001956
1090317,ACH-002077
1094813,ACH-002098
1107006,ACH-002145
1109416,ACH-002151
1115232,ACH-002163
1118215,ACH-002166
1118216,ACH-002166
1120191,ACH-002168
1128180,ACH-002182
1155004,ACH-002238
1157524,ACH-002241
1167173,ACH-002256
1167174,ACH-002256
1171822,ACH-002259
1185432,ACH-002286
1187312,ACH-002287
1202778,ACH-002313
1206376,ACH-002338
1212378,ACH-002353
1214056,ACH-002362
