,MT4 (84560)
ACH-000004,0.307986181638
ACH-000007,0.153162533506
ACH-000009,0.0472288245879
ACH-000011,0.217463758437
ACH-000012,-0.152770097766
ACH-000013,0.08753410619439998
ACH-000014,0.192558973857
ACH-000015,0.17810669174899998
ACH-000017,0.194536983695
ACH-000018,0.21458467500700001
ACH-000019,0.25294422956
ACH-000021,0.025996426708499998
ACH-000022,0.199210718479
ACH-000025,-0.10261518582399999
ACH-000028,0.172979724932
ACH-000030,0.0033295140650599995
ACH-000035,-0.18653613797899998
ACH-000036,0.0924155843183
ACH-000037,0.0160981820578
ACH-000039,0.133662747822
ACH-000040,0.20981342682300003
ACH-000041,0.0475602546234
ACH-000042,-0.0041047337211399994
ACH-000045,0.09745170901039998
ACH-000047,0.017447629043599998
ACH-000052,-0.14622193633
ACH-000053,0.0705137955925
ACH-000054,0.109612862161
ACH-000055,-0.0958488058807
ACH-000060,0.37094863070699996
ACH-000067,0.242428998011
ACH-000070,0.039096672171800004
ACH-000075,-0.0916831121067
ACH-000078,0.0867410827627
ACH-000082,-0.0062583856109600005
ACH-000085,0.142148288953
ACH-000086,0.0003752417374669999
ACH-000087,0.33745273800700004
ACH-000092,0.11004703370300001
ACH-000095,0.142888532003
ACH-000097,0.138892601053
ACH-000098,0.0790758231596
ACH-000099,0.050307452741400006
ACH-000108,0.0295594995215
ACH-000113,0.245917355728
ACH-000115,0.0737201012728
ACH-000116,0.159094687604
ACH-000118,0.0428654724215
ACH-000120,-0.00479632582156
ACH-000123,-0.18576720972199998
ACH-000127,0.0921484427182
ACH-000128,0.114422977105
ACH-000132,0.036464960949
ACH-000133,0.0471943826553
ACH-000137,0.191737445335
ACH-000138,0.106382418309
ACH-000142,0.107780094714
ACH-000143,-0.12314987293099999
ACH-000146,0.0718037265943
ACH-000148,-0.026750018648900004
ACH-000150,0.23219708652100002
ACH-000152,-0.049223777977
ACH-000153,-0.16337603603700002
ACH-000159,0.159450954225
ACH-000160,0.009941452688379999
ACH-000163,0.180977324996
ACH-000167,0.26891258363299997
ACH-000168,0.007015403250880001
ACH-000169,0.0320521691075
ACH-000178,0.102036637489
ACH-000182,-0.0868827873113
ACH-000183,0.0595887319281
ACH-000188,0.023370203535599997
ACH-000189,-0.021020629600400003
ACH-000190,0.09333818119830001
ACH-000198,0.121893892043
ACH-000204,0.0254434891358
ACH-000206,0.0892177923495
ACH-000207,-0.00779140496303
ACH-000211,0.06175102169030001
ACH-000215,0.20126915826900002
ACH-000221,-0.0230058660422
ACH-000222,0.0972028664005
ACH-000223,0.19297562015900002
ACH-000226,-0.021136409278700002
ACH-000227,-0.14683491023700002
ACH-000228,0.00169163680249
ACH-000231,0.208627356783
ACH-000232,0.21493390443399998
ACH-000233,0.142908026396
ACH-000234,0.283520657326
ACH-000235,-0.00820655497783
ACH-000237,0.210455025587
ACH-000238,0.24951461341400002
ACH-000243,0.116397304548
ACH-000244,-0.315155422634
ACH-000246,0.186845729195
ACH-000248,0.230884057764
ACH-000250,0.182944621809
ACH-000251,0.24536259768100002
ACH-000253,-0.039092652314400005
ACH-000255,0.0608489211828
ACH-000256,-0.06958835219489999
ACH-000257,0.0643486674462
ACH-000258,-0.134607177641
ACH-000259,-0.0467414211835
ACH-000260,0.0762310046935
ACH-000261,0.143867001687
ACH-000262,0.14793872145
ACH-000263,0.5320267251199999
ACH-000264,0.12616645282199998
ACH-000265,0.0483453745187
ACH-000266,0.0735413628374
ACH-000272,0.158711261194
ACH-000273,0.164058617446
ACH-000274,0.16332895682600002
ACH-000277,-0.0168027185673
ACH-000278,0.10914117318199999
ACH-000279,0.103041082027
ACH-000280,0.13090472234300002
ACH-000281,-0.109898079649
ACH-000288,-0.0159893482171
ACH-000291,0.029960573742299997
ACH-000293,-0.036238977106499995
ACH-000294,-0.137461310996
ACH-000295,0.149959615352
ACH-000296,0.10811396140599999
ACH-000302,0.204470661125
ACH-000304,0.0178954969517
ACH-000307,0.005075729870649999
ACH-000308,0.200742205116
ACH-000310,-0.264055324568
ACH-000311,-0.10999769386199999
ACH-000312,-0.06553683152869999
ACH-000315,0.23470631860100002
ACH-000316,-0.06980841376180001
ACH-000317,0.273401796767
ACH-000318,0.25418168524
ACH-000319,0.148501071278
ACH-000320,-0.07053390350449999
ACH-000322,0.237285093726
ACH-000323,0.0708317724597
ACH-000324,-0.036262185035
ACH-000329,0.18770723673599998
ACH-000330,0.008028588333930001
ACH-000331,0.029952969736200003
ACH-000332,0.143385654562
ACH-000334,0.159231761076
ACH-000335,-0.00607481061426
ACH-000336,0.0859829990547
ACH-000337,-0.154171352862
ACH-000339,0.06015063972469999
ACH-000341,0.22810912851999998
ACH-000348,0.133628544635
ACH-000350,0.10350715183800001
ACH-000352,0.16117258396700002
ACH-000356,-0.010005592842100001
ACH-000361,0.20006266831500003
ACH-000362,-0.0303667900708
ACH-000363,0.0463905544989
ACH-000364,0.128881015252
ACH-000365,-0.00303749410983
ACH-000366,0.142314958628
ACH-000368,0.09094601317939999
ACH-000374,0.17958001707600002
ACH-000375,0.0352032120042
ACH-000376,-0.0148739080718
ACH-000381,0.15022382840999998
ACH-000383,0.102921309819
ACH-000387,0.049858984917699994
ACH-000389,0.18362175642499998
ACH-000390,0.0662786240126
ACH-000393,0.154192422394
ACH-000395,-0.07972083523910001
ACH-000397,-0.0107939000195
ACH-000401,-0.0851259361511
ACH-000402,1.0343892241
ACH-000403,0.111317487927
ACH-000404,0.183693171264
ACH-000406,0.0282616896483
ACH-000407,0.200048963925
ACH-000408,0.217577309408
ACH-000410,0.09454396706280001
ACH-000411,0.18797154762499999
ACH-000414,-0.08940536937629999
ACH-000415,0.046357039563300007
ACH-000416,0.08506775673789999
ACH-000420,0.10708452848099999
ACH-000421,-0.0228594357015
ACH-000424,0.351042059086
ACH-000425,0.24839025890900002
ACH-000426,0.0242238635768
ACH-000427,0.09646572982410001
ACH-000433,0.209411988444
ACH-000436,0.11059684149
ACH-000444,0.0036632426720399998
ACH-000445,0.174109969828
ACH-000448,0.0705469502979
ACH-000450,0.00948719225726
ACH-000452,0.119022340903
ACH-000454,-0.111195485761
ACH-000458,0.306451260428
ACH-000459,0.240449673649
ACH-000460,-0.0887141355436
ACH-000461,0.0857037651069
ACH-000463,-0.07729102755839999
ACH-000464,0.320804446254
ACH-000466,0.0959831285406
ACH-000467,0.21181935015
ACH-000468,0.0215648999714
ACH-000469,0.156947781918
ACH-000470,0.13882241749399998
ACH-000471,0.09808465355419999
ACH-000472,0.20198162497000002
ACH-000473,-0.058108041072500005
ACH-000475,-0.030796428594400002
ACH-000476,0.0202729394464
ACH-000477,0.476906899354
ACH-000480,-0.09450998121099999
ACH-000481,0.175746740094
ACH-000483,0.229682373309
ACH-000484,0.048684534877199995
ACH-000485,0.10113505440500001
ACH-000486,0.159554899975
ACH-000487,0.0832790201559
ACH-000488,0.08687072661589999
ACH-000490,0.11379746175000001
ACH-000491,0.123161465031
ACH-000495,0.156220925835
ACH-000496,0.0941117790604
ACH-000499,0.17799786777600002
ACH-000500,0.48014749805600004
ACH-000502,-0.0795855492005
ACH-000503,0.0909946464976
ACH-000505,0.09001531415339999
ACH-000507,-0.0686836604399
ACH-000510,0.185552678927
ACH-000511,0.0666163966054
ACH-000512,0.184118784763
ACH-000516,0.0889716147295
ACH-000517,0.08788141125360001
ACH-000518,0.28413924949700003
ACH-000520,-0.10450337765
ACH-000521,-0.0748808725898
ACH-000522,0.0562534565235
ACH-000524,0.08467305047620001
ACH-000527,0.126140421659
ACH-000528,-0.101752895984
ACH-000537,0.07169680073580001
ACH-000541,0.274928389336
ACH-000542,0.0571790894064
ACH-000544,-0.000304964759382
ACH-000545,0.18758761630999998
ACH-000547,0.060900273436000005
ACH-000548,-0.102052184649
ACH-000549,0.161103377977
ACH-000550,-0.08620397383989999
ACH-000552,0.242585081741
ACH-000556,0.0382335304367
ACH-000557,0.0731889547094
ACH-000570,0.112180339693
ACH-000571,0.24200592879799998
ACH-000573,-0.021656667390000002
ACH-000576,-0.00446118146367
ACH-000580,-0.0191730080211
ACH-000584,0.0958946337495
ACH-000585,0.00290056455763
ACH-000588,0.10845978847000001
ACH-000589,-0.125845252718
ACH-000591,-0.022122216853400004
ACH-000593,0.183553558075
ACH-000600,0.289594714626
ACH-000601,0.027826581849000002
ACH-000604,0.0045403349955
ACH-000605,-0.0135350971337
ACH-000606,0.109886578773
ACH-000608,-0.12858005143200002
ACH-000614,0.032814922212099994
ACH-000616,-0.0808438099521
ACH-000618,0.025406868749
ACH-000619,0.123937374299
ACH-000620,0.136832928593
ACH-000621,-0.0164679783851
ACH-000622,-0.00975849717834
ACH-000623,0.052167818713999996
ACH-000624,-0.0108577948531
ACH-000627,0.110241704432
ACH-000630,0.10007848605599999
ACH-000632,0.152017273849
ACH-000633,0.21238170034899997
ACH-000637,-0.139886238523
ACH-000638,0.035926157896
ACH-000646,-0.347843364625
ACH-000647,-0.0222012367968
ACH-000648,0.264058698922
ACH-000649,0.12616594628699998
ACH-000651,-0.312923741945
ACH-000652,0.17660790872200002
ACH-000653,0.20269781923099997
ACH-000657,0.12850765507099998
ACH-000658,-0.052100913955100005
ACH-000661,0.213616040525
ACH-000662,0.270106564046
ACH-000663,0.153324181209
ACH-000665,0.240425860033
ACH-000671,0.111725420595
ACH-000673,0.187317982895
ACH-000676,0.144292967615
ACH-000677,0.18760028703899997
ACH-000681,0.0884887573965
ACH-000682,0.126359185213
ACH-000683,-0.0668848160309
ACH-000684,0.280308773404
ACH-000688,-0.09467993519
ACH-000693,0.0225754453291
ACH-000694,0.0151960425025
ACH-000695,0.20750045123799998
ACH-000696,0.035359676784300006
ACH-000697,0.190232246912
ACH-000699,0.341430920819
ACH-000701,0.0610822130851
ACH-000706,0.16124764039
ACH-000711,0.00327038888383
ACH-000713,0.177811460466
ACH-000714,0.221015490002
ACH-000718,0.23216000058400002
ACH-000720,0.19323944742899998
ACH-000721,0.138941236957
ACH-000724,-0.0400372827932
ACH-000725,-0.029463368996299998
ACH-000732,0.239897515623
ACH-000734,0.21283759493
ACH-000735,0.09441369016750001
ACH-000736,0.0766972360922
ACH-000738,0.08043279168539999
ACH-000746,0.158386484964
ACH-000747,0.161408658441
ACH-000748,0.110631342602
ACH-000753,0.0306534886779
ACH-000756,0.218579724165
ACH-000757,-0.031364517185
ACH-000758,-0.0835299944585
ACH-000760,0.22392281964400002
ACH-000763,0.0758591370115
ACH-000764,0.13135664013599999
ACH-000765,0.0489844966025
ACH-000766,0.12292266907199999
ACH-000767,0.17404592841699998
ACH-000768,0.0600311766116
ACH-000769,-0.049995919142
ACH-000770,0.0292325280626
ACH-000771,0.0534913123058
ACH-000773,0.180388169018
ACH-000776,0.153117562747
ACH-000777,0.276082551886
ACH-000778,0.044744286164300005
ACH-000781,0.0772877393565
ACH-000782,-0.0699622281431
ACH-000783,0.12998378120100001
ACH-000784,0.0315736348483
ACH-000785,0.141765255428
ACH-000787,0.044652712748499995
ACH-000788,0.156256874867
ACH-000791,0.149987241307
ACH-000792,0.0249408543127
ACH-000794,0.198230474431
ACH-000796,0.109322609716
ACH-000799,0.205998964179
ACH-000800,0.0168750492798
ACH-000802,0.118638242833
ACH-000804,-0.357128741246
ACH-000805,0.281290112671
ACH-000809,0.10571007008500001
ACH-000810,-0.0300976771535
ACH-000811,0.11856652884800001
ACH-000817,0.0260702459102
ACH-000819,0.0446747647174
ACH-000820,0.124933173066
ACH-000821,-0.0315837447935
ACH-000822,0.161603117498
ACH-000823,0.215946538415
ACH-000824,0.169584361283
ACH-000827,0.148551564226
ACH-000829,0.10339774549399999
ACH-000831,-0.015857927913899998
ACH-000832,-0.13262954095
ACH-000833,0.0995307164865
ACH-000834,0.115915034563
ACH-000835,0.239823722148
ACH-000836,0.049832879226699996
ACH-000837,0.023966721825399998
ACH-000838,0.30060973528900004
ACH-000839,0.011008170430299998
ACH-000840,0.245022953368
ACH-000841,-0.0144726163005
ACH-000843,0.109990116925
ACH-000846,0.00383295815318
ACH-000847,-0.139233510031
ACH-000848,0.241152722964
ACH-000849,0.120247186906
ACH-000851,-0.129370231319
ACH-000855,-0.111624141458
ACH-000856,0.0204946716823
ACH-000858,0.0757121619118
ACH-000859,0.130177342446
ACH-000861,-0.12903270180600002
ACH-000862,-0.0245694908236
ACH-000865,0.129827269419
ACH-000866,0.17861711995299998
ACH-000867,0.054874753464599996
ACH-000869,0.0052452402448500005
ACH-000872,0.0548753770292
ACH-000873,-0.200548248165
ACH-000876,-0.025642437360200002
ACH-000878,0.248147950618
ACH-000880,-0.061716075745
ACH-000881,0.012966153541399999
ACH-000882,0.23773332534299998
ACH-000884,0.10376823980699999
ACH-000885,-0.09138845633739999
ACH-000887,0.29396354756799997
ACH-000888,0.0250598360534
ACH-000889,0.058984303719800006
ACH-000890,-0.0603647355552
ACH-000896,0.0549905488791
ACH-000898,0.10346787440300001
ACH-000900,0.0316405810667
ACH-000901,0.020666482076099998
ACH-000905,-0.147322013076
ACH-000906,0.013162670389
ACH-000907,0.058638222983099994
ACH-000910,0.0655871960611
ACH-000911,0.035607235730499995
ACH-000912,0.00406913543645
ACH-000913,0.132957512962
ACH-000915,-0.0247759100949
ACH-000916,-0.18657856983100002
ACH-000917,0.0386191906363
ACH-000921,0.20697337403000002
ACH-000924,0.0650277720577
ACH-000926,0.148123313153
