,DepMap_ID
15143,ACH-000040
28708,ACH-000073
43666,ACH-000137
75555,ACH-000248
82329,ACH-000268
93276,ACH-000303
115169,ACH-000362
125815,ACH-000391
157263,ACH-000471
228844,ACH-000637
232152,ACH-000643
251861,ACH-000680
283450,ACH-000740
285246,ACH-000744
290592,ACH-000753
302558,ACH-000773
330441,ACH-000786
360297,ACH-000803
375045,ACH-000821
401286,ACH-000855
408711,ACH-000864
431439,ACH-000884
443141,ACH-000894
445349,ACH-000896
446315,ACH-000897
452752,ACH-000903
452753,ACH-000903
473064,ACH-000917
498966,ACH-000930
549764,ACH-000950
625845,ACH-000972
633027,ACH-000974
648497,ACH-000978
724894,ACH-000990
724895,ACH-000990
775310,ACH-000992
775311,ACH-000992
775312,ACH-000992
775313,ACH-000992
775314,ACH-000992
810380,ACH-000993
838133,ACH-000996
878801,ACH-000999
954125,ACH-001274
956139,ACH-001289
964793,ACH-001334
995110,ACH-001408
1055680,ACH-001645
1072667,ACH-001750
1100156,ACH-002117
1112854,ACH-002159
1127897,ACH-002181
1135670,ACH-002202
1198395,ACH-002309
1211516,ACH-002349
1224893,ACH-002396
