,MUC6 (4588)
ACH-000004,0.0990455507714
ACH-000007,0.100325088114
ACH-000009,0.0730202712015
ACH-000011,0.0695749163995
ACH-000012,0.16902714980900002
ACH-000013,-0.10294459521
ACH-000014,-0.0964257917203
ACH-000015,-0.011746159827399998
ACH-000017,0.022680093876
ACH-000018,-0.27827992183600003
ACH-000019,-0.103363638858
ACH-000021,-0.0268119023618
ACH-000022,-0.0194112360501
ACH-000025,-0.151814490427
ACH-000028,-0.138708842287
ACH-000030,-0.222458595126
ACH-000035,-0.0018917027619
ACH-000036,0.00250062496785
ACH-000037,0.0307346902776
ACH-000039,0.0579835594577
ACH-000040,-0.0461170314283
ACH-000041,-0.19376009568799998
ACH-000042,-0.0107344897095
ACH-000045,-0.232317079651
ACH-000047,-0.1129705166
ACH-000052,0.110076485084
ACH-000053,-0.012197669455299999
ACH-000054,-0.00734818759337
ACH-000055,-0.266590983457
ACH-000060,-0.0492922177451
ACH-000067,-0.00828318916327
ACH-000070,-0.11096901005000001
ACH-000075,0.123276416329
ACH-000078,-0.09183052216660001
ACH-000082,0.0531850062918
ACH-000085,0.0352695489074
ACH-000086,0.025226127055299998
ACH-000087,0.253458905596
ACH-000092,0.0184415201786
ACH-000095,0.021352478744399998
ACH-000097,0.0163625931686
ACH-000098,-0.00973836320699
ACH-000099,0.09430368495300001
ACH-000108,-0.025958798454599998
ACH-000113,-0.27715046228100004
ACH-000115,0.0392634720778
ACH-000116,0.0563726608234
ACH-000118,0.09710803237289999
ACH-000120,-0.12225252572899999
ACH-000123,-0.026605872553300002
ACH-000127,-0.0704015647314
ACH-000128,0.12308365689200002
ACH-000132,-0.182145310469
ACH-000133,0.106135682553
ACH-000137,-0.017025916428
ACH-000138,0.0454974880292
ACH-000142,-0.10842016551200001
ACH-000143,-0.15860898432
ACH-000146,-0.113421211453
ACH-000148,-0.146473232759
ACH-000150,-0.17005857552
ACH-000152,0.0419575831486
ACH-000153,-0.20224828316500001
ACH-000159,-0.00192082571575
ACH-000160,0.0916961406353
ACH-000163,-0.305447411897
ACH-000167,0.0714828601779
ACH-000168,-0.18005460875100002
ACH-000169,-0.076260719911
ACH-000178,-0.144661966819
ACH-000182,0.0163278416034
ACH-000183,0.043279134376099995
ACH-000188,-0.0812187853895
ACH-000189,0.00516791601014
ACH-000190,-0.07714318187010001
ACH-000198,-0.056750640659600005
ACH-000204,0.340788371327
ACH-000206,0.034362444380300006
ACH-000207,-0.220698304786
ACH-000211,-0.0287355996446
ACH-000215,-0.0628472028134
ACH-000221,-0.0637088331785
ACH-000222,-0.286263381629
ACH-000223,0.058473834213199995
ACH-000226,0.132344848443
ACH-000227,-0.0553541175942
ACH-000228,-0.106063248806
ACH-000231,0.18700136444200002
ACH-000232,-0.108262679518
ACH-000233,-0.0894402752818
ACH-000234,-0.149013449209
ACH-000235,-0.087466870303
ACH-000237,0.00692274473436
ACH-000238,0.14088777557600002
ACH-000243,0.0622325520924
ACH-000244,0.0316293604559
ACH-000246,-0.0396666738156
ACH-000248,-0.052533015271199995
ACH-000250,-0.176928863053
ACH-000251,-0.0987052398137
ACH-000253,-0.20163341014000002
ACH-000255,0.106062182956
ACH-000256,-0.244746433754
ACH-000257,0.0811189693475
ACH-000258,0.0752902666933
ACH-000259,0.0299300562167
ACH-000260,0.025386513972
ACH-000261,-0.199263848095
ACH-000262,-0.329613982977
ACH-000263,-0.352912589123
ACH-000264,0.011054475945
ACH-000265,0.11755703701999999
ACH-000266,-0.055303236651599995
ACH-000272,-0.125345202305
ACH-000273,0.065324538364
ACH-000274,-0.0864743171023
ACH-000277,-0.0438373650048
ACH-000278,0.050078566694599994
ACH-000279,-0.18643400071400001
ACH-000280,-0.13666297327299998
ACH-000281,-0.16446867283299998
ACH-000288,-0.194370537033
ACH-000291,-0.0824754836659
ACH-000293,0.0217910775019
ACH-000294,-0.114767177738
ACH-000295,0.234327354978
ACH-000296,0.00236680234319
ACH-000302,-0.0119591049718
ACH-000304,-0.582570076042
ACH-000307,-0.223587192823
ACH-000308,0.0377406834589
ACH-000310,0.104438273638
ACH-000311,-0.006254314274
ACH-000312,-0.0176896965634
ACH-000315,-0.27480492023
ACH-000316,-0.113091347478
ACH-000317,0.085334044136
ACH-000318,0.101764994483
ACH-000319,-0.202487064406
ACH-000320,0.0003551949657159999
ACH-000322,-0.008765981975530001
ACH-000323,-0.00809151150064
ACH-000324,-0.09922025149949999
ACH-000329,-0.086773288629
ACH-000330,-0.07138888646639999
ACH-000331,-0.0319133604458
ACH-000332,-0.059723937816399994
ACH-000334,0.310032476073
ACH-000335,-0.048437146020599994
ACH-000336,0.17766088814300002
ACH-000337,-0.046001571558600005
ACH-000339,0.006328525688180001
ACH-000341,0.48134441140100004
ACH-000348,-0.040291678982
ACH-000350,-0.07976937173780001
ACH-000352,0.154625759058
ACH-000356,-0.0964762116394
ACH-000361,-0.0710540690536
ACH-000362,0.00358393395458
ACH-000363,-0.10643437738299999
ACH-000364,0.0633632037666
ACH-000365,-0.017272854123500003
ACH-000366,-0.276639013614
ACH-000368,-0.021923888914200003
ACH-000374,-0.129174983892
ACH-000375,0.0273403395433
ACH-000376,-0.11089926362
ACH-000381,-0.0950626858046
ACH-000383,-0.0386494428425
ACH-000387,-0.0729126348794
ACH-000389,0.00927189077101
ACH-000390,0.115986685051
ACH-000393,-0.0891926905518
ACH-000395,-0.45544463311899996
ACH-000397,-0.140115825442
ACH-000401,-0.0981752432669
ACH-000402,-0.00013141267081
ACH-000403,-0.0761880499246
ACH-000404,-0.330401199823
ACH-000406,0.00642739339778
ACH-000407,-0.0186659670487
ACH-000408,0.00792140612673
ACH-000410,0.12368132944099999
ACH-000411,-0.159913370587
ACH-000414,-0.103506682971
ACH-000415,0.022921190546900002
ACH-000416,-0.0160113442126
ACH-000420,0.0675015672564
ACH-000421,-0.253795837706
ACH-000424,0.10741596726
ACH-000425,-0.037208096417
ACH-000426,0.25164643800500003
ACH-000427,-0.00463661669587
ACH-000433,-0.10867549315300001
ACH-000436,0.0814627653643
ACH-000444,-0.130249773841
ACH-000445,-0.110343465349
ACH-000448,-0.00170143720697
ACH-000450,0.135799344373
ACH-000452,-0.137837122456
ACH-000454,-0.427918976767
ACH-000458,-0.145849437606
ACH-000459,-0.17188113859999998
ACH-000460,0.0054743957364
ACH-000461,0.0970091185918
ACH-000463,0.125391322118
ACH-000464,-0.10636228416099999
ACH-000466,0.15631437646500002
ACH-000467,-0.05032190454819999
ACH-000468,-0.153836978219
ACH-000469,-0.109711761994
ACH-000470,-0.177593214841
ACH-000471,-0.13951708394200002
ACH-000472,0.0574147146385
ACH-000473,-0.0358163116414
ACH-000475,-0.0540379524751
ACH-000476,-0.249834496045
ACH-000477,-0.222583477752
ACH-000480,-0.122152166367
ACH-000481,0.11278432252999998
ACH-000483,-0.005811857190020001
ACH-000484,0.22145679408900001
ACH-000485,-0.172976492837
ACH-000486,-0.0446501208913
ACH-000487,-0.104471912818
ACH-000488,-0.029654085518400004
ACH-000490,0.0332200064357
ACH-000491,0.11838513208599999
ACH-000495,-0.203411219444
ACH-000496,0.127319576597
ACH-000499,-0.18861780371
ACH-000500,-0.595676704203
ACH-000502,-0.028895794037200002
ACH-000503,0.0643733202548
ACH-000505,-0.0371994821125
ACH-000507,0.0798431237303
ACH-000510,-0.0772340856514
ACH-000511,0.100263765426
ACH-000512,0.165680346683
ACH-000516,0.0956820110614
ACH-000517,-0.151325587307
ACH-000518,-0.070477925487
ACH-000520,0.006383839863529999
ACH-000521,-0.100429003197
ACH-000522,-0.0875614538975
ACH-000524,0.041409487117
ACH-000527,-0.0474740626456
ACH-000528,-0.043876492734199996
ACH-000537,-0.204503741383
ACH-000541,0.0971586077629
ACH-000542,-0.11047510101600001
ACH-000544,-0.24172871859099998
ACH-000545,-0.0960117431523
ACH-000547,-0.301997758594
ACH-000548,0.04117479072
ACH-000549,0.103714186939
ACH-000550,-0.0631837293342
ACH-000552,-0.211080382125
ACH-000556,-0.0272165560017
ACH-000557,-0.102694482202
ACH-000570,0.020998281307599995
ACH-000571,0.00968868478856
ACH-000573,0.0137775376569
ACH-000576,-0.194094130178
ACH-000580,-0.0132685033986
ACH-000584,-0.133692404362
ACH-000585,-0.086484410338
ACH-000588,0.0901768584128
ACH-000589,-0.109216918387
ACH-000591,-0.11925833341099999
ACH-000593,-0.12605869535999997
ACH-000600,0.08757431188689999
ACH-000601,-0.0734790125695
ACH-000604,0.42148200549099996
ACH-000605,0.0505061903789
ACH-000606,0.167816415766
ACH-000608,-0.150062970835
ACH-000614,-0.0251980117412
ACH-000616,-0.018607792507599998
ACH-000618,0.13784348068399999
ACH-000619,-0.00679022289386
ACH-000620,0.0976643444344
ACH-000621,-0.09784105274489999
ACH-000622,-0.024818479967299998
ACH-000623,-0.142805721078
ACH-000624,0.0217863831795
ACH-000627,0.006143710757010001
ACH-000630,0.0112328344141
ACH-000632,-0.0138396123541
ACH-000633,0.0107964062754
ACH-000637,0.13958665846100002
ACH-000638,0.08538675686960001
ACH-000646,-0.0166860568891
ACH-000647,-0.17770750797600002
ACH-000648,0.08455762733349999
ACH-000649,-0.0196072537337
ACH-000651,-0.13271872670999998
ACH-000652,0.183969386931
ACH-000653,0.0427950407204
ACH-000657,-0.065951663723
ACH-000658,-0.131377501576
ACH-000661,-0.0421396950744
ACH-000662,0.06125149554190001
ACH-000663,-0.0377399745179
ACH-000665,0.014347192485400001
ACH-000671,-0.19779849774099997
ACH-000673,0.00592887279035
ACH-000676,-0.0370900517955
ACH-000677,0.0925722674663
ACH-000681,0.0391733709364
ACH-000682,0.0479694180435
ACH-000683,-0.052080220586199995
ACH-000684,0.196626223838
ACH-000688,-0.133453943041
ACH-000693,-0.11377654922000001
ACH-000694,-0.00708223653986
ACH-000695,-0.392942186285
ACH-000696,-0.061208993295099996
ACH-000697,-0.11955084597200001
ACH-000699,-0.022126355172900004
ACH-000701,-0.280933906306
ACH-000706,0.122701382937
ACH-000711,-0.100985450094
ACH-000713,0.0609510929424
ACH-000714,-0.162712465076
ACH-000718,-0.0834738581442
ACH-000720,-0.016596107343899998
ACH-000721,0.162089407864
ACH-000724,-0.032149060485200005
ACH-000725,0.0879538666119
ACH-000732,0.148561940328
ACH-000734,-0.184724730803
ACH-000735,-0.0430316737177
ACH-000736,0.092809054052
ACH-000738,0.0631578120175
ACH-000746,-0.334859965361
ACH-000747,-0.146955961725
ACH-000748,-0.0335442067322
ACH-000753,-0.135534800918
ACH-000756,0.186835032568
ACH-000757,0.10756528659000002
ACH-000758,-0.08873975324339999
ACH-000760,-0.0188422362319
ACH-000763,0.0461171558749
ACH-000764,-0.0619950825395
ACH-000765,0.0136701194545
ACH-000766,0.110918154217
ACH-000767,-0.35973829239200006
ACH-000768,0.0720684329935
ACH-000769,-0.011694856696600002
ACH-000770,-0.0209862867495
ACH-000771,-0.077286207362
ACH-000773,-0.106574684274
ACH-000776,0.160297505776
ACH-000777,-0.0797996656711
ACH-000778,0.075518088954
ACH-000781,-0.116166463225
ACH-000782,0.121655852357
ACH-000783,-0.181466442643
ACH-000784,-0.0416795607646
ACH-000785,0.06846290376950001
ACH-000787,-0.0468058438594
ACH-000788,-0.0186399062916
ACH-000791,0.138834380833
ACH-000792,-0.09352000893069999
ACH-000794,0.0344401149827
ACH-000796,-0.0450165131884
ACH-000799,0.057894450997199996
ACH-000800,-0.48229962552699995
ACH-000802,-0.15006858396
ACH-000804,0.0554753843729
ACH-000805,-0.367646071834
ACH-000809,0.0230968582658
ACH-000810,-0.0358337271154
ACH-000811,-0.25317404336
ACH-000817,0.101878868201
ACH-000819,-0.0876879078767
