,MUM1 (84939)
ACH-000004,-0.0745732358809
ACH-000007,-0.0492108635421
ACH-000009,0.061170752525500006
ACH-000011,-0.315893357694
ACH-000012,0.034717956850199995
ACH-000013,0.027514899557500003
ACH-000014,0.15401175480999998
ACH-000015,-0.14727732363
ACH-000017,0.016420141231
ACH-000018,0.20765037303599998
ACH-000019,-0.0922752718985
ACH-000021,-0.115421013771
ACH-000022,-0.135429327315
ACH-000025,-0.0532239758292
ACH-000028,-0.030195143483199998
ACH-000030,0.0783552396485
ACH-000035,-0.0389941931287
ACH-000036,0.000770725787267
ACH-000037,0.0273416777447
ACH-000039,-0.129399846246
ACH-000040,0.09600611206430001
ACH-000041,0.10986154318600001
ACH-000042,0.125636423149
ACH-000045,-0.05685704334530001
ACH-000047,0.24466504533300001
ACH-000052,0.0684374717436
ACH-000053,0.0625303133285
ACH-000054,-0.10436892412999998
ACH-000055,-0.0735310176492
ACH-000060,0.210134266982
ACH-000067,-0.08520365668919999
ACH-000070,0.240822525953
ACH-000075,0.18056726176100002
ACH-000078,-0.119896816545
ACH-000082,0.0274073132137
ACH-000085,0.13372548414899998
ACH-000086,-0.0360692606459
ACH-000087,-0.037028261242199996
ACH-000092,0.0927975341802
ACH-000095,-0.05387618625230001
ACH-000097,-0.0264362798757
ACH-000098,-0.143260781659
ACH-000099,-0.08080614608969999
ACH-000108,0.018441130824900002
ACH-000113,0.0948851965147
ACH-000115,-0.0235248919166
ACH-000116,0.0324652561536
ACH-000118,0.07375086619969999
ACH-000120,-0.03742525824180001
ACH-000123,0.0236239356323
ACH-000127,-0.0273408508472
ACH-000128,-0.06579340728369999
ACH-000132,-0.0742610524783
ACH-000133,-0.157956074492
ACH-000137,0.012617271889
ACH-000138,-0.11120504060799999
ACH-000142,-0.0292962129346
ACH-000143,0.129349418846
ACH-000146,0.10370941256100001
ACH-000148,0.0852965505185
ACH-000150,0.0739119627865
ACH-000152,-0.0238655439469
ACH-000153,0.154337810183
ACH-000159,0.119689653191
ACH-000160,0.05828170099069999
ACH-000163,-0.00561843813234
ACH-000167,-0.013768109169600001
ACH-000168,-0.0663622863988
ACH-000169,-0.0396416930041
ACH-000178,0.045258456254400004
ACH-000182,0.10137139128599999
ACH-000183,0.013485133866299999
ACH-000188,-0.0149609210641
ACH-000189,-0.013164492823700002
ACH-000190,0.0745165163418
ACH-000198,0.0036501347812399995
ACH-000204,0.184358650301
ACH-000206,0.134759514232
ACH-000207,-0.117907329633
ACH-000211,-0.04297172101649999
ACH-000215,0.061591319772
ACH-000221,0.0025681242445500002
ACH-000222,0.0193881822014
ACH-000223,0.07121402065489998
ACH-000226,-0.0366938426615
ACH-000227,-0.11115215420999998
ACH-000228,0.0582027045349
ACH-000231,0.10310475378900001
ACH-000232,0.150591951791
ACH-000233,0.037670166491199995
ACH-000234,-0.0929966093434
ACH-000235,-0.0213480011638
ACH-000237,-0.0794078959104
ACH-000238,0.0691757537264
ACH-000243,0.048370048433300006
ACH-000244,0.04393421728519999
ACH-000246,-0.19415861914700003
ACH-000248,0.060974409211599995
ACH-000250,-0.0756607317483
ACH-000251,-0.147226288831
ACH-000253,0.163802343695
ACH-000255,0.0252462561338
ACH-000256,0.200044407086
ACH-000257,-0.0825593386422
ACH-000258,-0.19088565859099998
ACH-000259,-0.09776161800319999
ACH-000260,-0.0128450913723
ACH-000261,0.014358658611999999
ACH-000262,-0.0389968307684
ACH-000263,-0.0908877392927
ACH-000264,0.022425152964599997
ACH-000265,0.061907171058400004
ACH-000266,-0.163574962066
ACH-000272,0.0133973731196
ACH-000273,0.021044060434500002
ACH-000274,-0.0441340192848
ACH-000277,-0.18359517059799998
ACH-000278,0.000159265805724
ACH-000279,0.114145081557
ACH-000280,0.0335164153629
ACH-000281,0.0367232499658
ACH-000288,0.132714888883
ACH-000291,0.0281725637718
ACH-000293,-0.110344319582
ACH-000294,-0.0533994890267
ACH-000295,0.11797033905099999
ACH-000296,-0.024689228049
ACH-000302,-0.07805027397599999
ACH-000304,-0.0781969924444
ACH-000307,-0.0833207720628
ACH-000308,-0.00396893019678
ACH-000310,-0.0641778946973
ACH-000311,-0.16923523456099998
ACH-000312,-0.00301111640595
ACH-000315,0.065054058994
ACH-000316,-0.08631471516889999
ACH-000317,0.0351711228864
ACH-000318,-0.0621668463255
ACH-000319,-0.0202127993567
ACH-000320,0.0496065150635
ACH-000322,0.145230904272
ACH-000323,-0.108925490845
ACH-000324,0.119053127668
ACH-000329,-0.043690125038
ACH-000330,0.00348546995849
ACH-000331,-0.0158858300372
ACH-000332,0.027095787197500002
ACH-000334,-0.245995707348
ACH-000335,0.011475325478399998
ACH-000336,0.111441640807
ACH-000337,-0.00725740864015
ACH-000339,-0.00226014310956
ACH-000341,-0.35735045994599995
ACH-000348,0.0612898381037
ACH-000350,0.11311148619000001
ACH-000352,-0.05586946031019999
ACH-000356,0.204932020445
ACH-000361,-0.00495227510009
ACH-000362,-0.163746782024
ACH-000363,0.08893762021160001
ACH-000364,-0.19488882942699998
ACH-000365,-0.0748568753088
ACH-000366,-0.035585896034199996
ACH-000368,0.033205112181599994
ACH-000374,-0.0413284121223
ACH-000375,-0.00830619067874
ACH-000376,0.17066432320500002
ACH-000381,-0.0289818211343
ACH-000383,-0.0468647775375
ACH-000387,-0.0652959238705
ACH-000389,0.0237214693953
ACH-000390,0.101725313621
ACH-000393,-0.121062107377
ACH-000395,0.285391567086
ACH-000397,-0.0649442537941
ACH-000401,-0.0356687990999
ACH-000402,0.0159633413324
ACH-000403,0.0135461105214
ACH-000404,-0.023016419399099996
ACH-000406,0.0327829506647
ACH-000407,-0.0674241235895
ACH-000408,0.0332905077126
ACH-000410,0.12330931135199999
ACH-000411,-0.178767532746
ACH-000414,-0.046590947504
ACH-000415,0.15454907385299999
ACH-000416,0.05769601068030001
ACH-000420,0.185743150512
ACH-000421,-0.0976268745822
ACH-000424,0.160747217174
ACH-000425,0.045989378703500006
ACH-000426,0.0924195807266
ACH-000427,0.11871612690099999
ACH-000433,-0.0541518775552
ACH-000436,-0.154389881732
ACH-000444,0.151686131268
ACH-000445,-0.029081899859599997
ACH-000448,0.0284502803315
ACH-000450,-0.051317812101999996
ACH-000452,-0.05189798127169999
ACH-000454,0.190100727727
ACH-000458,-0.08068710619649999
ACH-000459,-0.0774903123447
ACH-000460,-0.0699968464596
ACH-000461,0.07310649776980001
ACH-000463,-0.019458587298400002
ACH-000464,0.118000615179
ACH-000466,0.0849056064287
ACH-000467,0.202583035944
ACH-000468,-0.21057529124000002
ACH-000469,0.0792766062153
ACH-000470,-0.0558587793678
ACH-000471,0.12752446824400002
ACH-000472,0.00127924830722
ACH-000473,0.13903386480799998
ACH-000475,0.08977905396960001
ACH-000476,-0.033498174814800004
ACH-000477,0.20450233345600002
ACH-000480,0.0416354051748
ACH-000481,0.00221815084183
ACH-000483,0.0820262392573
ACH-000484,0.19816986480300003
ACH-000485,0.020202067489599997
ACH-000486,0.0149459206368
ACH-000487,-0.025879577499799997
ACH-000488,0.08014005216469999
ACH-000490,0.059253428290499996
ACH-000491,0.17335407401099998
ACH-000495,-0.049892928610000005
ACH-000496,-0.0761611447313
ACH-000499,-0.329197347243
ACH-000500,0.34703595572499996
ACH-000502,0.0186621068496
ACH-000503,0.203230250372
ACH-000505,-0.0623302099915
ACH-000507,-0.0386290085555
ACH-000510,0.028595585976200003
ACH-000511,-0.027439753507699997
ACH-000512,0.0724592880403
ACH-000516,0.0309291261329
ACH-000517,-0.0188769135156
ACH-000518,-0.09785438139830001
ACH-000520,-0.0171693855814
ACH-000521,0.051167462835
ACH-000522,0.0706083815603
ACH-000524,-0.100823431075
ACH-000527,-0.037471879681099995
ACH-000528,-0.021558643077500002
ACH-000537,0.07469296410389999
ACH-000541,-0.135268195736
ACH-000542,0.140679690988
ACH-000544,-0.11014717568499999
ACH-000545,-0.128104297746
ACH-000547,-0.122577398603
ACH-000548,0.08192354880410001
ACH-000549,0.06333046551680001
ACH-000550,0.0459120547751
ACH-000552,0.0666214936608
ACH-000556,-0.1274179706
ACH-000557,0.0565739266254
ACH-000570,0.011860358309799998
ACH-000571,-0.11111526427400001
ACH-000573,0.0721894490171
ACH-000576,-0.019931907338299998
ACH-000580,0.0769144335145
ACH-000584,0.0521448270694
ACH-000585,-0.0405566906963
ACH-000588,0.07849459286169999
ACH-000589,0.0179420273461
ACH-000591,-0.0856775175867
ACH-000593,-0.156603298081
ACH-000600,-0.0945350317533
ACH-000601,0.00274618594995
ACH-000604,0.11171691849300001
ACH-000605,0.056668834834599995
ACH-000606,0.0921591229403
ACH-000608,-0.146023388016
ACH-000614,0.0352168645879
ACH-000616,0.0940751079024
ACH-000618,-0.00932713605839
ACH-000619,-0.018452790235200002
ACH-000620,-0.058739198637100004
ACH-000621,0.154373059226
ACH-000622,0.0703631444971
ACH-000623,0.061027347972200004
ACH-000624,0.0677408595245
ACH-000627,-0.0231684900458
ACH-000630,0.036738826367599994
ACH-000632,-0.026873752473400004
ACH-000633,-0.0611175868639
ACH-000637,0.10500154291000001
ACH-000638,-0.0240083351662
ACH-000646,0.34349066382200005
ACH-000647,0.14475536895500002
ACH-000648,0.08196558615180001
ACH-000649,-0.215967605432
ACH-000651,0.0882081251749
ACH-000652,0.145275468829
ACH-000653,-0.0369375720795
ACH-000657,-0.00742531812717
ACH-000658,0.07727100831789999
ACH-000661,-0.04896759867330001
ACH-000662,0.0323878307692
ACH-000663,0.10611446773
ACH-000665,-0.22167934966299999
ACH-000671,0.0935527856522
ACH-000673,0.080651433107
ACH-000676,-0.0127266603431
ACH-000677,0.0485058078345
ACH-000681,-0.147314467391
