,DepMap_ID
5785,ACH-000018
47713,ACH-000153
97039,ACH-000313
127601,ACH-000395
151869,ACH-000457
221252,ACH-000621
230196,ACH-000639
230197,ACH-000639
237958,ACH-000655
272737,ACH-000720
329674,ACH-000786
386471,ACH-000837
387183,ACH-000838
403625,ACH-000858
410850,ACH-000866
428887,ACH-000882
431400,ACH-000884
484043,ACH-000922
488725,ACH-000925
522138,ACH-000940
522139,ACH-000940
557710,ACH-000953
566203,ACH-000955
569493,ACH-000956
581821,ACH-000960
654143,ACH-000979
819870,ACH-000994
819871,ACH-000994
878225,ACH-000999
878226,ACH-000999
878227,ACH-000999
878228,ACH-000999
878229,ACH-000999
878230,ACH-000999
878231,ACH-000999
878232,ACH-000999
878233,ACH-000999
878234,ACH-000999
878235,ACH-000999
895022,ACH-001030
913067,ACH-001081
966279,ACH-001339
1000189,ACH-001418
1034478,ACH-001552
1064473,ACH-001703
1066561,ACH-001715
1071016,ACH-001738
1072650,ACH-001750
1075533,ACH-001820
1078251,ACH-001856
1095912,ACH-002100
1112820,ACH-002159
1141772,ACH-002221
1167021,ACH-002256
1167022,ACH-002256
1167023,ACH-002256
1171231,ACH-002258
1215219,ACH-002367
1218742,ACH-002386
