,MYH14 (79784)
ACH-000004,-0.18266277197900002
ACH-000007,0.033887397223099996
ACH-000009,0.038500379663199996
ACH-000011,-0.210406772287
ACH-000012,-0.165673136884
ACH-000013,-0.436412310853
ACH-000014,-0.219812736322
ACH-000015,-0.29442784334399996
ACH-000017,-0.0648491536409
ACH-000018,0.158641697759
ACH-000019,-0.152717162224
ACH-000021,-0.0774676803562
ACH-000022,-0.320525199316
ACH-000025,0.06909250131280001
ACH-000028,-0.0596851892636
ACH-000030,-0.27594616500999997
ACH-000035,-0.28458594347
ACH-000036,-0.0925985883747
ACH-000037,-0.0149447112283
ACH-000039,-0.204712225772
ACH-000040,-0.171747473998
ACH-000041,0.000296153716396
ACH-000042,-0.12769984728800002
ACH-000045,-0.136925831815
ACH-000047,-0.275915035563
ACH-000052,-0.0634121017176
ACH-000053,-0.24688501692899997
ACH-000054,-0.198403373213
ACH-000055,-0.28761455164099997
ACH-000060,0.00270957999648
ACH-000067,-0.207917668588
ACH-000070,0.051862757149900005
ACH-000075,-0.367766506823
ACH-000078,-0.1453700235
ACH-000082,-0.131031345705
ACH-000085,-0.114609247935
ACH-000086,-0.241728294027
ACH-000087,-0.270318772565
ACH-000092,-0.270009853734
ACH-000095,-0.18492185696
ACH-000097,-0.30041187600900005
ACH-000098,-0.148800228167
ACH-000099,-0.246942398443
ACH-000108,-0.193704822439
ACH-000113,0.019392246668099997
ACH-000115,-0.199164510484
ACH-000116,-0.0702128999445
ACH-000118,-0.175139970684
ACH-000120,-0.0018066909185200002
ACH-000123,-0.148177285613
ACH-000127,-0.16279734238399998
ACH-000128,-0.024200302026400004
ACH-000132,-0.102621878135
ACH-000133,-0.137500793481
ACH-000137,-0.400301795586
ACH-000138,-0.19870419113499999
ACH-000142,-0.17307531866099998
ACH-000143,-0.06805539780059999
ACH-000146,-0.206493641158
ACH-000148,-0.144523100877
ACH-000150,-0.00328508540881
ACH-000152,-0.08654793664069999
ACH-000153,-0.570402257485
ACH-000159,0.006945062617000001
ACH-000160,-0.11582970002800001
ACH-000163,-0.17283633699
ACH-000167,-0.0184782563972
ACH-000168,-0.208097331181
ACH-000169,-0.130136209657
ACH-000178,-0.0811788827111
ACH-000182,-0.227625157174
ACH-000183,-0.07747670051410001
ACH-000188,-0.268489846033
ACH-000189,0.225557518625
ACH-000190,-0.184174644753
ACH-000198,-0.12233272751700001
ACH-000204,-0.110249474648
ACH-000206,-0.0666955782694
ACH-000207,-0.294099662301
ACH-000211,-0.18937082027600002
ACH-000215,-0.117780404474
ACH-000221,-0.224759400179
ACH-000222,0.221429409404
ACH-000223,0.000611337227125
ACH-000226,-0.280482000774
ACH-000227,0.0753247430975
ACH-000228,-0.107269851643
ACH-000231,-0.0158652427239
ACH-000232,-0.16846789913899998
ACH-000233,-0.12469983664
ACH-000234,-0.24662971117600002
ACH-000235,-0.07733745761489999
ACH-000237,-0.244899582269
ACH-000238,-0.098177527359
ACH-000243,-0.0772655544968
ACH-000244,-0.23254444300299998
ACH-000246,-0.245222256049
ACH-000248,-0.0157772543619
ACH-000250,-0.08829939014699999
ACH-000251,-0.49269308318000005
ACH-000253,-0.17293941007
ACH-000255,-0.30126413215
ACH-000256,-0.0548184403149
ACH-000257,-0.156089944825
ACH-000258,-0.233812918377
ACH-000259,-0.147424192572
ACH-000260,-0.251346727358
ACH-000261,-0.0361127346268
ACH-000262,-0.33076831658000005
ACH-000263,-0.10365553057700001
ACH-000264,-0.07749190972910001
ACH-000265,-0.0897583416512
ACH-000266,-0.143695629608
ACH-000272,-0.025583613169900002
ACH-000273,-0.15120742858
ACH-000274,-0.152589115734
ACH-000277,-0.187172247289
ACH-000278,-0.22187306919799998
ACH-000279,-0.11452242204299999
ACH-000280,-0.35630168472499996
ACH-000281,-0.0807772409084
ACH-000288,0.05388209506
ACH-000291,-0.197374462442
ACH-000293,-0.0061442906911
ACH-000294,-0.330636303831
ACH-000295,-0.0983038183217
ACH-000296,-0.027616512111299996
ACH-000302,-0.38757228255500004
ACH-000304,-0.163699503019
ACH-000307,-0.149462086756
ACH-000308,-0.196136423237
ACH-000310,-0.18703986006499998
ACH-000311,-0.303713139809
ACH-000312,-0.10735235822599999
ACH-000315,-0.7060601206129999
ACH-000316,-0.0639710349091
ACH-000317,-0.19144287815699998
ACH-000318,-0.17117279766399998
ACH-000319,-0.180177051071
ACH-000320,0.0570162103836
ACH-000322,-0.118630921379
ACH-000323,-0.127320359657
ACH-000324,-0.21223859579399998
ACH-000329,-0.246282294202
ACH-000330,-0.198440749696
ACH-000331,-0.0645868667807
ACH-000332,-0.20387638087499999
ACH-000334,-0.141962257089
ACH-000335,-0.113825841088
ACH-000336,-0.270687381648
ACH-000337,-0.23862786966699998
ACH-000339,-0.234346154883
ACH-000341,-0.321065960349
ACH-000348,0.0370173753328
ACH-000350,-0.120863108067
ACH-000352,-0.0531646991464
ACH-000356,-0.0015372009544200001
ACH-000361,-0.161994971437
ACH-000362,-0.33464789985
ACH-000363,-0.130981288656
ACH-000364,-0.339770252662
ACH-000365,-0.275889333246
ACH-000366,-0.315724396439
ACH-000368,-0.055174323217
ACH-000374,-0.138203066669
ACH-000375,-0.0806137665495
ACH-000376,-0.151627601897
ACH-000381,-0.058985905741999994
ACH-000383,-0.14629594902
ACH-000387,-0.155022544437
ACH-000389,0.0167446138936
ACH-000390,-0.0958378766715
ACH-000393,-0.17238449412999998
ACH-000395,-0.264921422192
ACH-000397,-0.239172813903
