,NDUFAF4 (29078)
ACH-000004,-0.0291465101315
ACH-000007,-0.388650942183
ACH-000009,-0.137365003728
ACH-000011,0.223741560137
ACH-000012,-0.46553393629600004
ACH-000013,-0.43761180696999996
ACH-000014,-0.178433405921
ACH-000015,-0.224300554038
ACH-000017,-0.135481215132
ACH-000018,-0.207043761932
ACH-000019,-0.836991548514
ACH-000021,-0.42053756091399996
ACH-000022,-0.17065280007
ACH-000025,-0.16902089922400002
ACH-000028,-0.755195647464
ACH-000030,-0.216370425546
ACH-000035,-0.297679769275
ACH-000036,0.12014881976399999
ACH-000037,-0.281864241867
ACH-000039,-0.0427555743444
ACH-000040,-0.0635624872029
ACH-000041,-0.378642766066
ACH-000042,-0.0390654799128
ACH-000045,-0.384651704216
ACH-000047,-0.745901403451
ACH-000052,-0.232508064127
ACH-000053,-0.313930217529
ACH-000054,-0.22416238548
ACH-000055,-0.23068571286800002
ACH-000060,-0.38287488043000006
ACH-000067,-0.167094761792
ACH-000070,-0.30258245861
ACH-000075,-0.278195738761
ACH-000078,-0.40694600183799995
ACH-000082,-0.32333222966499997
ACH-000085,-0.35207790207199996
ACH-000086,-0.454813584726
ACH-000087,-0.20973292379900002
ACH-000092,-0.223883500368
ACH-000095,-0.157328272979
ACH-000097,-0.27563739514400004
ACH-000098,-0.254887817382
ACH-000099,-0.368186188283
ACH-000108,-0.042292530216
ACH-000113,-0.288738897421
ACH-000115,-0.200319656745
ACH-000116,-0.245558676376
ACH-000118,-0.9656210083
ACH-000120,-0.06883141848339999
ACH-000123,-0.47036068761100003
ACH-000127,-0.39571287884000006
ACH-000128,-0.521203570038
ACH-000132,-0.285230042227
ACH-000133,-0.184442170245
ACH-000137,-0.119346085908
ACH-000138,-0.362867055951
ACH-000142,-0.112954626524
ACH-000143,-0.38390535394599995
ACH-000146,-0.11494963177300001
ACH-000148,-0.326920550248
ACH-000150,-0.296099836635
ACH-000152,-0.203583382295
ACH-000153,0.08947155590669999
ACH-000159,-0.402696901583
ACH-000160,-0.590249231457
ACH-000163,-0.17092542192200003
ACH-000167,-0.273044265309
ACH-000168,0.15364554073699999
ACH-000169,-0.40357607524000005
ACH-000178,-0.233654453596
ACH-000182,-0.859103426594
ACH-000183,-0.136976427598
ACH-000188,-0.105125718703
ACH-000189,-0.33019847108600003
ACH-000190,-0.48002424275
ACH-000198,-0.29799807368500003
ACH-000204,-0.565685427808
ACH-000206,0.0459594093115
ACH-000207,-0.539165467011
ACH-000211,-0.10657149427000001
ACH-000215,-0.21370581284600002
ACH-000221,-0.5876826333899999
ACH-000222,-0.274081784176
ACH-000223,-0.364347402152
ACH-000226,-0.161923981914
ACH-000227,-0.09516483581589999
ACH-000228,-0.264048769359
ACH-000231,-0.00801749967457
ACH-000232,-0.09871275745689999
ACH-000233,-0.272724337519
ACH-000234,-0.466421566922
ACH-000235,-0.254112242364
ACH-000237,-0.134270749887
ACH-000238,-0.229140440724
ACH-000243,-0.209125972373
ACH-000244,-0.46015389113399996
ACH-000246,-0.586254715795
ACH-000248,-0.3159043916
ACH-000250,-0.144190281759
ACH-000251,-0.39321982326899996
ACH-000253,-0.419730544267
ACH-000255,-0.219813346342
ACH-000256,-0.074666566621
ACH-000257,-0.305191380884
ACH-000258,-0.27810740919
ACH-000259,-0.310857657128
ACH-000260,-0.118252446412
ACH-000261,-0.135447670873
ACH-000262,-0.368124661553
ACH-000263,-0.36010328333700004
ACH-000264,-0.376722815808
ACH-000265,-0.49394444726000003
ACH-000266,-0.00441697206892
ACH-000272,-0.156366760261
ACH-000273,-0.337820989749
ACH-000274,-0.32827841722
ACH-000277,-0.651256181166
ACH-000278,-0.13154670320599998
ACH-000279,-0.44259259447099997
ACH-000280,-0.493737283062
ACH-000281,-0.163353327885
ACH-000288,-0.348544109657
ACH-000291,-0.35331957783600004
ACH-000293,-0.373014919763
ACH-000294,0.407512868033
ACH-000295,-0.00154052949406
ACH-000296,0.0888547244828
ACH-000302,-0.569233563532
ACH-000304,-0.07308212238480001
ACH-000307,-0.114480614034
ACH-000308,-0.23170474670400001
ACH-000310,0.170651388125
ACH-000311,-0.09222289334339999
ACH-000312,-0.364149311883
ACH-000315,-0.0166336056264
ACH-000316,-0.207033341092
ACH-000317,-0.9776637206799998
ACH-000318,-0.192004677579
ACH-000319,-0.386965213329
ACH-000320,-0.012096185791
ACH-000322,-0.429850666082
ACH-000323,-0.147400752272
ACH-000324,-0.011519505157399999
ACH-000329,-0.718866063936
ACH-000330,-0.368903248213
ACH-000331,-0.275544169068
ACH-000332,-0.032779071203200005
ACH-000334,-0.005261703236199999
ACH-000335,-0.339749846158
ACH-000336,-0.310845870596
ACH-000337,-0.421635932844
ACH-000339,-0.30165294500900003
ACH-000341,0.0667076555539
ACH-000348,-0.46453253322300003
ACH-000350,-0.37944123352
ACH-000352,-0.35537004241899994
ACH-000356,-0.764830595449
ACH-000361,-0.239735401017
ACH-000362,-0.0109866466964
ACH-000363,-0.448548087552
ACH-000364,-0.383688038303
ACH-000365,-0.313981329936
ACH-000366,-0.07337464129110001
ACH-000368,-0.180724165373
ACH-000374,-0.543004946734
ACH-000375,-0.09709104949010001
ACH-000376,-0.426723798816
ACH-000381,-0.12559362389599998
ACH-000383,-0.348770712734
ACH-000387,0.04972137232630001
ACH-000389,-0.088263968738
ACH-000390,-0.414187313873
ACH-000393,-0.0159713097469
ACH-000395,-0.201936028862
ACH-000397,-0.053939719942500006
ACH-000401,0.052871506405400004
ACH-000402,0.205032841216
ACH-000403,-0.347947321825
ACH-000404,-0.325696549184
ACH-000406,-0.5270119703530001
ACH-000407,-0.380339477855
ACH-000408,-0.310363411363
ACH-000410,-0.251902638513
ACH-000411,0.0172825313667
ACH-000414,-0.163430820166
ACH-000415,-0.208593580247
ACH-000416,-0.17984827625799998
ACH-000420,-0.360991829078
ACH-000421,-0.201855124813
ACH-000424,-0.508286767937
ACH-000425,-0.266370791051
ACH-000426,0.04913500118150001
ACH-000427,-0.49319208095899997
ACH-000433,-0.0989545128298
ACH-000436,-0.112325377902
ACH-000444,-0.318392205343
ACH-000445,0.00364696744992
ACH-000448,-0.21264208519299999
ACH-000450,-0.62851192056
ACH-000452,-0.0988099265481
ACH-000454,-0.501500632098
ACH-000458,0.12345853169700001
ACH-000459,-1.04135840622
ACH-000460,-0.14504678547
ACH-000461,-0.9092703716539999
ACH-000463,-0.159019876157
ACH-000464,-0.116545765578
ACH-000466,-0.42218021299
ACH-000467,-0.691276028227
ACH-000468,-0.198312244447
ACH-000469,-0.39543621411200003
ACH-000470,0.189038710704
ACH-000471,-0.028044414869400004
ACH-000472,-0.324293759447
ACH-000473,-0.263362835608
ACH-000475,-0.35032918268200003
