,DepMap_ID
15491,ACH-000042
27193,ACH-000066
29134,ACH-000075
36416,ACH-000108
43861,ACH-000138
47919,ACH-000154
50550,ACH-000163
53642,ACH-000176
57125,ACH-000189
60385,ACH-000199
60386,ACH-000199
68422,ACH-000224
68671,ACH-000225
78299,ACH-000256
90179,ACH-000294
92859,ACH-000302
101695,ACH-000324
111288,ACH-000352
112967,ACH-000356
117222,ACH-000368
119422,ACH-000374
119734,ACH-000375
120084,ACH-000376
122557,ACH-000382
127519,ACH-000395
134413,ACH-000414
142053,ACH-000432
151106,ACH-000455
155004,ACH-000466
169668,ACH-000504
190072,ACH-000553
202998,ACH-000582
213686,ACH-000605
221770,ACH-000622
223375,ACH-000626
232501,ACH-000644
239971,ACH-000659
240602,ACH-000660
241086,ACH-000661
241651,ACH-000662
249056,ACH-000675
249759,ACH-000676
263402,ACH-000702
263403,ACH-000702
267354,ACH-000709
270060,ACH-000715
277777,ACH-000729
280927,ACH-000735
349272,ACH-000788
350144,ACH-000789
354602,ACH-000795
355761,ACH-000796
372620,ACH-000818
385165,ACH-000835
386352,ACH-000837
403004,ACH-000857
408491,ACH-000864
411777,ACH-000867
413181,ACH-000869
424841,ACH-000879
426187,ACH-000880
432887,ACH-000885
449852,ACH-000900
452546,ACH-000903
462084,ACH-000911
463810,ACH-000912
467243,ACH-000914
471103,ACH-000916
490175,ACH-000926
498580,ACH-000930
504466,ACH-000933
504467,ACH-000933
506241,ACH-000934
516383,ACH-000938
516384,ACH-000938
538499,ACH-000946
549200,ACH-000950
552259,ACH-000951
560943,ACH-000954
571900,ACH-000957
578593,ACH-000959
578594,ACH-000959
581316,ACH-000960
581317,ACH-000960
581318,ACH-000960
595064,ACH-000964
601459,ACH-000966
601460,ACH-000966
605589,ACH-000967
605590,ACH-000967
605591,ACH-000967
612654,ACH-000969
616936,ACH-000970
621040,ACH-000971
636174,ACH-000975
636175,ACH-000975
647235,ACH-000978
657454,ACH-000980
667328,ACH-000982
672985,ACH-000983
672986,ACH-000983
677387,ACH-000984
677388,ACH-000984
683960,ACH-000985
683961,ACH-000985
683962,ACH-000985
706078,ACH-000988
722578,ACH-000990
722579,ACH-000990
722580,ACH-000990
734205,ACH-000991
817996,ACH-000994
817997,ACH-000994
827224,ACH-000995
827225,ACH-000995
827226,ACH-000995
836459,ACH-000996
836460,ACH-000996
836461,ACH-000996
836462,ACH-000996
847363,ACH-000997
857897,ACH-000998
857898,ACH-000998
857899,ACH-000998
857900,ACH-000998
857901,ACH-000998
857902,ACH-000998
874058,ACH-000999
874059,ACH-000999
874060,ACH-000999
874061,ACH-000999
874062,ACH-000999
874063,ACH-000999
892972,ACH-001023
902562,ACH-001066
921640,ACH-001111
926072,ACH-001127
945624,ACH-001199
945625,ACH-001199
951543,ACH-001228
958757,ACH-001318
961336,ACH-001331
966812,ACH-001341
966813,ACH-001341
966814,ACH-001341
970134,ACH-001345
974924,ACH-001346
989137,ACH-001386
1004746,ACH-001484
1005843,ACH-001485
1006745,ACH-001489
1009401,ACH-001498
1009402,ACH-001498
1009403,ACH-001498
1012655,ACH-001517
1012656,ACH-001517
1029160,ACH-001550
1033301,ACH-001551
1040279,ACH-001568
1043235,ACH-001591
1043744,ACH-001599
1047318,ACH-001610
1061943,ACH-001656
1069108,ACH-001737
1070718,ACH-001738
1074884,ACH-001796
1087984,ACH-002059
1117693,ACH-002166
1117694,ACH-002166
1135594,ACH-002202
1138380,ACH-002213
1143896,ACH-002222
1159417,ACH-002248
1160256,ACH-002251
1162039,ACH-002254
1165495,ACH-002256
1180262,ACH-002275
1182734,ACH-002280
1190002,ACH-002292
1197369,ACH-002309
1203515,ACH-002315
1204487,ACH-002317
1211852,ACH-002351
1220669,ACH-002389
