,DepMap_ID
3040,ACH-000011
8449,ACH-000026
20474,ACH-000064
30536,ACH-000082
38771,ACH-000117
56171,ACH-000186
57655,ACH-000191
58596,ACH-000195
58597,ACH-000195
63953,ACH-000211
68373,ACH-000224
86080,ACH-000281
87157,ACH-000285
88698,ACH-000290
92265,ACH-000300
93081,ACH-000303
103785,ACH-000331
106860,ACH-000341
111614,ACH-000353
117134,ACH-000368
119297,ACH-000374
123809,ACH-000386
124136,ACH-000387
128588,ACH-000398
128753,ACH-000399
134849,ACH-000415
150657,ACH-000454
157495,ACH-000472
163774,ACH-000488
165774,ACH-000492
178274,ACH-000524
184224,ACH-000541
186482,ACH-000546
199028,ACH-000573
207058,ACH-000590
210037,ACH-000597
210941,ACH-000599
219972,ACH-000619
224958,ACH-000630
228479,ACH-000637
228480,ACH-000637
229914,ACH-000639
231053,ACH-000641
232408,ACH-000644
242607,ACH-000664
256458,ACH-000691
267585,ACH-000710
282767,ACH-000739
288480,ACH-000750
297986,ACH-000766
351653,ACH-000791
357590,ACH-000800
361769,ACH-000805
361770,ACH-000805
361771,ACH-000805
366707,ACH-000811
369908,ACH-000815
380228,ACH-000828
386087,ACH-000837
386088,ACH-000837
386089,ACH-000837
387510,ACH-000839
388136,ACH-000840
390653,ACH-000843
391817,ACH-000844
409309,ACH-000865
410321,ACH-000866
412356,ACH-000868
433981,ACH-000886
435522,ACH-000888
453291,ACH-000904
453292,ACH-000904
458960,ACH-000909
463207,ACH-000912
465019,ACH-000913
473756,ACH-000918
515609,ACH-000938
518107,ACH-000939
518108,ACH-000939
520649,ACH-000940
542915,ACH-000948
554184,ACH-000952
556181,ACH-000953
564499,ACH-000955
564500,ACH-000955
568043,ACH-000956
568044,ACH-000956
573954,ACH-000958
577627,ACH-000959
577628,ACH-000959
577629,ACH-000959
586914,ACH-000962
590302,ACH-000963
594377,ACH-000964
604304,ACH-000967
608391,ACH-000968
608392,ACH-000968
611218,ACH-000969
611219,ACH-000969
615774,ACH-000970
619667,ACH-000971
627856,ACH-000973
627857,ACH-000973
638251,ACH-000976
639024,ACH-000977
639025,ACH-000977
652124,ACH-000979
652125,ACH-000979
656556,ACH-000980
656557,ACH-000980
671954,ACH-000983
675517,ACH-000984
681550,ACH-000985
681551,ACH-000985
681552,ACH-000985
689053,ACH-000986
710809,ACH-000989
718535,ACH-000990
718536,ACH-000990
718537,ACH-000990
718538,ACH-000990
744394,ACH-000992
744395,ACH-000992
744396,ACH-000992
744397,ACH-000992
744398,ACH-000992
744399,ACH-000992
744400,ACH-000992
744401,ACH-000992
744402,ACH-000992
744403,ACH-000992
806784,ACH-000993
824673,ACH-000995
832919,ACH-000996
844153,ACH-000997
844154,ACH-000997
854665,ACH-000998
854666,ACH-000998
854667,ACH-000998
854668,ACH-000998
866168,ACH-000999
866169,ACH-000999
866170,ACH-000999
866171,ACH-000999
866172,ACH-000999
866173,ACH-000999
866174,ACH-000999
866175,ACH-000999
866176,ACH-000999
891131,ACH-001002
896148,ACH-001036
897168,ACH-001044
899501,ACH-001063
899502,ACH-001063
918734,ACH-001091
924032,ACH-001127
924033,ACH-001127
934567,ACH-001143
935068,ACH-001145
940985,ACH-001184
942017,ACH-001190
942018,ACH-001190
943259,ACH-001192
944644,ACH-001199
952032,ACH-001233
977236,ACH-001362
977237,ACH-001362
985983,ACH-001377
991701,ACH-001399
1001385,ACH-001443
1010993,ACH-001517
1016197,ACH-001519
1020229,ACH-001528
1027430,ACH-001550
1035595,ACH-001555
1045865,ACH-001610
1045866,ACH-001610
1051624,ACH-001625
1056641,ACH-001650
1060605,ACH-001653
1061367,ACH-001655
1066355,ACH-001715
1068628,ACH-001737
1070188,ACH-001738
1074776,ACH-001796
1075106,ACH-001814
1083952,ACH-002029
1086892,ACH-002058
1089215,ACH-002062
1089216,ACH-002062
1094366,ACH-002098
1104571,ACH-002136
1112155,ACH-002159
1122225,ACH-002173
1123118,ACH-002175
1123119,ACH-002175
1126115,ACH-002179
1127022,ACH-002180
1132504,ACH-002196
1138063,ACH-002212
1138951,ACH-002215
1142243,ACH-002222
1153043,ACH-002238
1162962,ACH-002256
1181540,ACH-002277
1185246,ACH-002286
1202588,ACH-002313
1206071,ACH-002338
1207416,ACH-002341
1213912,ACH-002362
1215456,ACH-002369
1216684,ACH-002375
1217194,ACH-002378
1217624,ACH-002381
1218559,ACH-002386
1218560,ACH-002386
1218561,ACH-002386
1218562,ACH-002386
1218563,ACH-002386
1218564,ACH-002386
1218565,ACH-002386
1218566,ACH-002386
1223108,ACH-002396
