,DepMap_ID
778,ACH-000004
1064,ACH-000005
1670,ACH-000007
6835,ACH-000021
47347,ACH-000152
55328,ACH-000182
58291,ACH-000193
61172,ACH-000202
64875,ACH-000214
66403,ACH-000219
69025,ACH-000226
71454,ACH-000235
74804,ACH-000247
78581,ACH-000257
83070,ACH-000270
86591,ACH-000282
90172,ACH-000294
97599,ACH-000314
103254,ACH-000329
106033,ACH-000338
111260,ACH-000352
115732,ACH-000364
120803,ACH-000378
121209,ACH-000379
127482,ACH-000395
131097,ACH-000405
131742,ACH-000407
134383,ACH-000414
136795,ACH-000420
139295,ACH-000426
140505,ACH-000429
149471,ACH-000451
153785,ACH-000463
154977,ACH-000466
157619,ACH-000472
168152,ACH-000500
176977,ACH-000521
178848,ACH-000525
183516,ACH-000538
185418,ACH-000544
196810,ACH-000567
200225,ACH-000576
201166,ACH-000578
209079,ACH-000595
212603,ACH-000603
218162,ACH-000615
218689,ACH-000616
221146,ACH-000621
232883,ACH-000645
239935,ACH-000659
239936,ACH-000659
251190,ACH-000679
254793,ACH-000686
255851,ACH-000689
269215,ACH-000714
273125,ACH-000721
276307,ACH-000727
279253,ACH-000732
285039,ACH-000744
289917,ACH-000752
291005,ACH-000754
297610,ACH-000765
297611,ACH-000765
300161,ACH-000769
303092,ACH-000774
303564,ACH-000775
350956,ACH-000790
355718,ACH-000796
362974,ACH-000806
365030,ACH-000809
367823,ACH-000812
375632,ACH-000822
390034,ACH-000842
390954,ACH-000843
392107,ACH-000844
393106,ACH-000845
393973,ACH-000846
397482,ACH-000851
398521,ACH-000852
401111,ACH-000855
403460,ACH-000858
403461,ACH-000858
409575,ACH-000865
409576,ACH-000865
417144,ACH-000872
419529,ACH-000874
422018,ACH-000876
422019,ACH-000876
422020,ACH-000876
423615,ACH-000878
423616,ACH-000878
428580,ACH-000882
431090,ACH-000884
436033,ACH-000888
436034,ACH-000888
436035,ACH-000888
436036,ACH-000888
436037,ACH-000888
441988,ACH-000893
443903,ACH-000895
455222,ACH-000906
463713,ACH-000912
469108,ACH-000915
470968,ACH-000916
470969,ACH-000916
470970,ACH-000916
470971,ACH-000916
476081,ACH-000919
478768,ACH-000920
481789,ACH-000921
481790,ACH-000921
481791,ACH-000921
483686,ACH-000922
486294,ACH-000924
486295,ACH-000924
490095,ACH-000926
495781,ACH-000929
495782,ACH-000929
495783,ACH-000929
509043,ACH-000936
509044,ACH-000936
521495,ACH-000940
529894,ACH-000943
535393,ACH-000945
535394,ACH-000945
543678,ACH-000948
543679,ACH-000948
543680,ACH-000948
546530,ACH-000949
552130,ACH-000951
554693,ACH-000952
574827,ACH-000958
597608,ACH-000965
597609,ACH-000965
597610,ACH-000965
601207,ACH-000966
609093,ACH-000968
609094,ACH-000968
612393,ACH-000969
616755,ACH-000970
620805,ACH-000971
631981,ACH-000974
653318,ACH-000979
653319,ACH-000979
653320,ACH-000979
676987,ACH-000984
683563,ACH-000985
683564,ACH-000985
690990,ACH-000986
690991,ACH-000986
698412,ACH-000987
698413,ACH-000987
698414,ACH-000987
698415,ACH-000987
698416,ACH-000987
698417,ACH-000987
698418,ACH-000987
705650,ACH-000988
712558,ACH-000989
712559,ACH-000989
733755,ACH-000991
733756,ACH-000991
733757,ACH-000991
808878,ACH-000993
808879,ACH-000993
835867,ACH-000996
835868,ACH-000996
835869,ACH-000996
835870,ACH-000996
835871,ACH-000996
835872,ACH-000996
835873,ACH-000996
835874,ACH-000996
857291,ACH-000998
857292,ACH-000998
857293,ACH-000998
872504,ACH-000999
872505,ACH-000999
895436,ACH-001032
911687,ACH-001081
918963,ACH-001091
918964,ACH-001091
920397,ACH-001100
925656,ACH-001127
951824,ACH-001232
959679,ACH-001321
962665,ACH-001333
962666,ACH-001333
978923,ACH-001363
979820,ACH-001364
981944,ACH-001368
989105,ACH-001386
997213,ACH-001413
997214,ACH-001413
997215,ACH-001413
999080,ACH-001416
1012355,ACH-001517
1016832,ACH-001521
1016833,ACH-001521
1020882,ACH-001529
1021654,ACH-001530
1026229,ACH-001548
1026642,ACH-001549
1028844,ACH-001550
1028845,ACH-001550
1028846,ACH-001550
1028847,ACH-001550
1028848,ACH-001550
1028849,ACH-001550
1034123,ACH-001552
1040213,ACH-001568
1042001,ACH-001570
1051736,ACH-001625
1056218,ACH-001647
1060764,ACH-001653
1064187,ACH-001702
1065274,ACH-001709
1069016,ACH-001737
1077101,ACH-001853
1078189,ACH-001856
1078552,ACH-001857
1080280,ACH-002001
1080966,ACH-002002
1081660,ACH-002003
1082914,ACH-002005
1082915,ACH-002005
1089366,ACH-002062
1090869,ACH-002089
1092699,ACH-002096
1099714,ACH-002115
1100322,ACH-002118
1105398,ACH-002141
1106917,ACH-002145
1107875,ACH-002147
1107876,ACH-002147
1109638,ACH-002152
1112543,ACH-002159
1115892,ACH-002164
1120874,ACH-002170
1120875,ACH-002170
1121557,ACH-002171
1125732,ACH-002178
1127796,ACH-002181
1129450,ACH-002186
1135957,ACH-002205
1140784,ACH-002218
1141168,ACH-002220
1143514,ACH-002222
1147873,ACH-002226
1151126,ACH-002233
1151127,ACH-002233
1157051,ACH-002240
1160674,ACH-002252
1164915,ACH-002256
1164916,ACH-002256
1185358,ACH-002286
1193731,ACH-002304
1197039,ACH-002309
1208122,ACH-002341
1208123,ACH-002341
1210530,ACH-002345
1212495,ACH-002354
1213976,ACH-002362
1219680,ACH-002388
1219681,ACH-002388
1224070,ACH-002396
