,DepMap_ID
33474,ACH-000096
55343,ACH-000182
60381,ACH-000199
71195,ACH-000234
153808,ACH-000463
185957,ACH-000545
210551,ACH-000598
211778,ACH-000601
217664,ACH-000614
256628,ACH-000691
274257,ACH-000723
286458,ACH-000746
309721,ACH-000782
350980,ACH-000790
399835,ACH-000853
409611,ACH-000865
441080,ACH-000892
483752,ACH-000922
495881,ACH-000929
498513,ACH-000930
565530,ACH-000955
584394,ACH-000961
601358,ACH-000966
620950,ACH-000971
624998,ACH-000972
632136,ACH-000974
661178,ACH-000981
677232,ACH-000984
683805,ACH-000985
705901,ACH-000988
705902,ACH-000988
705903,ACH-000988
722279,ACH-000990
817772,ACH-000994
826971,ACH-000995
873469,ACH-000999
911946,ACH-001081
925901,ACH-001127
925902,ACH-001127
954646,ACH-001275
983039,ACH-001369
996155,ACH-001411
1044568,ACH-001605
1047220,ACH-001610
1067548,ACH-001735
1078202,ACH-001856
1149772,ACH-002232
1165285,ACH-002256
1173871,ACH-002264
1177423,ACH-002272
1206238,ACH-002338
1224182,ACH-002396
