,ONECUT3 (390874)
ACH-000004,0.234902074353
ACH-000007,0.209608431309
ACH-000009,0.272250245608
ACH-000011,0.0882505520534
ACH-000012,0.18621134424000002
ACH-000013,0.061606905255000004
ACH-000014,0.290519107178
ACH-000015,-0.00634550455225
ACH-000017,-0.09176654456399999
ACH-000018,0.16898174435
ACH-000019,0.0461096986357
ACH-000021,0.041802543461800006
ACH-000022,0.0956514592231
ACH-000025,0.12457076375399999
ACH-000028,0.13054251564400002
ACH-000030,0.154266122782
ACH-000035,-0.0232470848683
ACH-000036,0.06783643027990001
ACH-000037,-0.12090155714800001
ACH-000039,-0.308532074391
ACH-000040,-0.12044319076
ACH-000041,-0.103037627915
ACH-000042,0.231146529481
ACH-000045,0.163747646972
ACH-000047,-0.065067894388
ACH-000052,0.386101456091
ACH-000053,0.13789368076199998
ACH-000054,0.0110842987036
ACH-000055,-0.181797964392
ACH-000060,0.0184858128885
ACH-000067,0.0738146561069
ACH-000070,0.292031398498
ACH-000075,0.21055267917399997
ACH-000078,0.09939539025699999
ACH-000082,0.152151216286
ACH-000085,0.37821729356600003
ACH-000086,-0.030823895598
ACH-000087,-0.11261084236300001
ACH-000092,0.11790004339000001
ACH-000095,-0.0555213304531
ACH-000097,0.10235962068700001
ACH-000098,-0.0502846620247
ACH-000099,0.129150803866
ACH-000108,0.259444488961
ACH-000113,-0.0690382301031
ACH-000115,0.0078713083397
ACH-000116,0.0593190544455
ACH-000118,0.205775839279
ACH-000120,0.385854179402
ACH-000123,0.117898985176
ACH-000127,0.0680331840546
ACH-000128,0.229515442233
ACH-000132,0.0469387727575
ACH-000133,0.165210661101
ACH-000137,0.06988787589310001
ACH-000138,0.25286000801999997
ACH-000142,-0.06965495004439999
ACH-000143,-0.117008630611
ACH-000146,0.019123330099099996
ACH-000148,0.212233496209
ACH-000150,-0.0263786538665
ACH-000152,0.123594540786
ACH-000153,0.337227249662
ACH-000159,0.146618029917
ACH-000160,0.21456731273
ACH-000163,0.013747994856499999
ACH-000167,0.329769445439
ACH-000168,0.213720352412
ACH-000169,0.14766562407
ACH-000178,0.162915078582
ACH-000182,-0.00407373617364
ACH-000183,-0.15363093596400001
ACH-000188,0.027283350731299998
ACH-000189,0.463908120762
ACH-000190,0.21970447108600002
ACH-000198,0.243601335536
ACH-000204,-0.054998051235600004
ACH-000206,0.0200081023697
ACH-000207,0.36962066595700005
ACH-000211,-0.00991724470791
ACH-000215,0.09690470749949999
ACH-000221,0.100615794136
ACH-000222,0.11902657445800001
ACH-000223,-0.0461084208933
ACH-000226,-0.114086883059
ACH-000227,0.606734298648
ACH-000228,-0.04595995896459999
ACH-000231,0.15086489344
ACH-000232,0.18814309188099998
ACH-000233,0.18016074560400003
ACH-000234,0.059149693522500005
ACH-000235,0.13252572985799999
ACH-000237,0.14069810408800001
ACH-000238,-0.12603968990800002
ACH-000243,0.24231290758299998
ACH-000244,0.15023042147600002
ACH-000246,0.0891780203242
ACH-000248,-0.0100181993347
ACH-000250,0.0114810230502
ACH-000251,-0.038937270262
ACH-000253,-0.0761343957568
ACH-000255,0.0956686755597
ACH-000256,-0.0364490893465
ACH-000257,-0.0897139042432
ACH-000258,-0.147471705153
ACH-000259,0.188035649244
ACH-000260,-0.0774848531906
ACH-000261,-0.000483137145571
ACH-000262,0.0390465817865
ACH-000263,-0.412611337574
ACH-000264,0.09910407818889999
ACH-000265,0.235170758039
ACH-000266,0.035555785689300005
ACH-000272,-0.015954989604799998
ACH-000273,-0.043375606125499996
ACH-000274,-0.010115233270700002
ACH-000277,-0.170670699939
ACH-000278,0.0386080319968
ACH-000279,-0.0378444218637
ACH-000280,-0.0318528423465
ACH-000281,-0.024319926288900003
ACH-000288,0.0493440159206
ACH-000291,0.156937965652
ACH-000293,0.09124797398810001
ACH-000294,0.213212528433
ACH-000295,-0.125741452102
ACH-000296,-0.13147774499700002
ACH-000302,-0.000617739272034
ACH-000304,0.3934317108
ACH-000307,-0.129187049514
ACH-000308,0.18903352290800002
ACH-000310,0.255730439088
ACH-000311,0.0524388304227
ACH-000312,0.23519623948600002
ACH-000315,0.0268099114013
ACH-000316,0.12312562506500001
ACH-000317,0.0921051790029
ACH-000318,0.206420839023
ACH-000319,0.07339281302430001
ACH-000320,0.43471116664899995
ACH-000322,0.0604484003517
ACH-000323,0.013277091144700002
ACH-000324,0.0710382073473
ACH-000329,0.20487791014000004
ACH-000330,-0.31708241851999996
ACH-000331,0.130274175434
ACH-000332,0.15732201387
ACH-000334,-0.10979302685900001
ACH-000335,0.017188564735599998
ACH-000336,0.0077861906301
ACH-000337,0.152544911299
ACH-000339,0.122996709228
ACH-000341,-0.25561040711399996
ACH-000348,0.20139992207199997
ACH-000350,0.0491900384473
ACH-000352,0.14549945468699998
ACH-000356,-0.378551028317
ACH-000361,-0.0557657205845
ACH-000362,-0.022760243873900004
ACH-000363,0.0264919671722
ACH-000364,-0.064356221802
ACH-000365,0.27485015866
ACH-000366,0.0101110938567
ACH-000368,0.237871224381
ACH-000374,0.12938928162000002
ACH-000375,0.094836814917
ACH-000376,0.138718926705
ACH-000381,-0.0181493883652
ACH-000383,0.0171211329223
ACH-000387,0.0978445500697
ACH-000389,0.014200152644499999
ACH-000390,0.0389516242187
ACH-000393,-0.127935850302
ACH-000395,0.323073859669
ACH-000397,0.0842523341272
ACH-000401,-0.08555346158569999
ACH-000402,-0.101555720776
ACH-000403,0.11415603898900001
ACH-000404,-0.146641272446
ACH-000406,0.142061902678
ACH-000407,0.0411133770316
ACH-000408,0.0673446121428
ACH-000410,0.18359276855999998
ACH-000411,-0.0169373255306
ACH-000414,0.264701382136
ACH-000415,0.100587512727
ACH-000416,-0.012240838481700001
ACH-000420,0.13886444409499998
ACH-000421,0.041215555863099995
ACH-000424,-0.0514387938858
ACH-000425,0.113163484765
ACH-000426,0.165563850516
ACH-000427,-0.0736036637955
ACH-000433,-0.012032801741200002
ACH-000436,-0.0270103654372
ACH-000444,0.122274562375
ACH-000445,-0.0118418794099
ACH-000448,-0.08137475576860001
ACH-000450,0.507762328792
ACH-000452,0.13589485360200002
ACH-000454,-0.10146533236300001
ACH-000458,-0.12936189687400002
ACH-000459,-0.041755839008499995
ACH-000460,0.050573604249599995
ACH-000461,0.06762371641340001
ACH-000463,0.0234991313724
ACH-000464,0.136443188337
ACH-000466,0.147588385
ACH-000467,0.19606667426600002
ACH-000468,-0.102319764508
ACH-000469,-0.00456805149842
ACH-000470,0.348289482799
ACH-000471,0.060484117289
ACH-000472,0.0757127818123
ACH-000473,-0.306923667247
ACH-000475,0.0416726199675
ACH-000476,-0.08480112216260001
ACH-000477,-0.130153707367
ACH-000480,-0.005695914192079999
ACH-000481,0.103600843854
ACH-000483,0.255074282413
ACH-000484,-0.0975190365883
ACH-000485,-0.080677549936
ACH-000486,0.07473970958380001
ACH-000487,-0.124360486751
ACH-000488,0.0942994251973
ACH-000490,0.0472306440249
ACH-000491,0.240986361744
ACH-000495,0.0861549099888
ACH-000496,0.248747445657
ACH-000499,0.09688997396089999
ACH-000500,-0.7331241551700001
ACH-000502,0.144167207342
ACH-000503,0.17532362821400002
ACH-000505,0.0725922046405
ACH-000507,-0.08292126080989999
ACH-000510,0.17103896742400002
ACH-000511,0.0258606400504
ACH-000512,0.110298078146
ACH-000516,-0.194455691689
ACH-000517,0.0482378499383
ACH-000518,0.207683319654
ACH-000520,0.17675309618700003
ACH-000521,0.184681160717
ACH-000522,0.0202203504129
ACH-000524,-0.129002244383
ACH-000527,0.14206846104
ACH-000528,0.150946689753
ACH-000537,-0.0297465706479
ACH-000541,0.0465621340886
ACH-000542,0.09539023131539999
ACH-000544,0.110611800463
ACH-000545,-0.0627054447554
ACH-000547,0.08488397054239999
ACH-000548,-0.0523447416082
ACH-000549,-0.154539696877
ACH-000550,0.22908912004
ACH-000552,-0.110423827759
ACH-000556,-0.0958971628245
ACH-000557,-0.0583668507286
ACH-000570,-0.0584799640946
ACH-000571,-0.115727975854
ACH-000573,0.08924310720699999
ACH-000576,0.266061164747
ACH-000580,0.222570401628
ACH-000584,-0.0885955861017
ACH-000585,0.0664092950296
ACH-000588,0.0100804212027
ACH-000589,0.11940681957499999
ACH-000591,-0.21809214418900003
ACH-000593,0.157320157744
ACH-000600,-0.0411950822266
ACH-000601,0.147729704386
ACH-000604,-0.0041248296105899996
ACH-000605,-0.142167256869
ACH-000606,0.023847321741
ACH-000608,-0.072695679581
ACH-000614,0.0628019960978
ACH-000616,-0.029179092223
ACH-000618,0.103044822847
ACH-000619,0.133486918371
ACH-000620,0.0505591228443
ACH-000621,0.142789014099
ACH-000622,0.158171180677
ACH-000623,-0.031185281572599997
ACH-000624,-0.0291890883366
ACH-000627,0.26707302758400003
ACH-000630,0.208766314632
ACH-000632,-0.0737209658446
ACH-000633,-0.09533326621480001
ACH-000637,-0.057743136485400005
ACH-000638,0.194114035996
ACH-000646,0.200561623309
