,OR2Z1 (284383)
ACH-000004,-0.137798323436
ACH-000007,0.0316224167939
ACH-000009,-0.037624229641400005
ACH-000011,0.121042536874
ACH-000012,-0.125403070829
ACH-000013,0.00218331295439
ACH-000014,-0.0119679081464
ACH-000015,-0.10547018435200001
ACH-000017,0.00594652036921
ACH-000018,-0.17799164030499998
ACH-000019,-0.241627785996
ACH-000021,0.00956659038903
ACH-000022,-0.00979310487023
ACH-000025,0.0415961950309
ACH-000028,0.114433068213
ACH-000030,-0.133772604707
ACH-000035,-0.00130497349812
ACH-000036,0.293243780163
ACH-000037,0.102847022384
ACH-000039,-0.135718224459
ACH-000040,-0.0689511092532
ACH-000041,-0.117135801877
ACH-000042,-0.00983437496419
ACH-000045,-0.118324438816
ACH-000047,0.0214000129435
ACH-000052,0.16514954309399998
ACH-000053,-0.10320710445499999
ACH-000054,-0.265674979305
ACH-000055,0.189009406229
ACH-000060,0.18062889282900002
ACH-000067,-0.109584963806
ACH-000070,0.107074577983
ACH-000075,-0.019439640447
ACH-000078,0.00416140471614
ACH-000082,0.0440061119231
ACH-000085,0.098552986473
ACH-000086,0.0632218630473
ACH-000087,0.016764800631899997
ACH-000092,0.00365721831037
ACH-000095,0.0531577016548
ACH-000097,0.1077763047
ACH-000098,0.0448358105881
ACH-000099,-0.00394014076044
ACH-000108,0.05321206037909999
ACH-000113,0.0726177361575
ACH-000115,-0.01737932311
ACH-000116,-0.065768773499
ACH-000118,-0.06999724302299999
ACH-000120,0.114321840775
ACH-000123,-0.15036211633
ACH-000127,-0.10890245663100001
ACH-000128,0.012152099439399999
ACH-000132,-0.0591279939685
ACH-000133,-0.0112487803241
ACH-000137,0.0361900894363
ACH-000138,-0.0375055668829
ACH-000142,-0.0425232965922
ACH-000143,0.08679204477710001
ACH-000146,-0.08454023215959999
ACH-000148,0.0012641694950099999
ACH-000150,-0.0144989771465
ACH-000152,0.09724421082149999
ACH-000153,-0.0526728818452
ACH-000159,0.055033892332600004
ACH-000160,0.0451135478478
ACH-000163,-0.0238627375801
ACH-000167,-0.0201104855961
ACH-000168,0.059422666457
ACH-000169,0.134562843864
ACH-000178,0.0759104877719
ACH-000182,0.00993497980037
ACH-000183,0.0236035699453
ACH-000188,-0.106253530613
ACH-000189,0.150006777104
ACH-000190,-0.24514545751699998
ACH-000198,0.00877107447893
ACH-000204,0.10031049172800001
ACH-000206,0.341828412651
ACH-000207,-0.0635042592732
ACH-000211,-0.188032275119
ACH-000215,0.0519809423859
ACH-000221,0.0192721110391
ACH-000222,0.174661445142
ACH-000223,0.0659863729681
ACH-000226,0.0302209105008
ACH-000227,0.09158459338160001
ACH-000228,0.108446043501
ACH-000231,0.08833709928519999
ACH-000232,0.160393245103
ACH-000233,-0.0110055517947
ACH-000234,0.111209069956
ACH-000235,-0.09067550600379999
ACH-000237,-0.0688779762812
ACH-000238,0.0765723320704
ACH-000243,-0.08089286759330001
ACH-000244,0.18953477912
ACH-000246,0.00783914361918
ACH-000248,-0.125908674897
ACH-000250,-0.0618837091121
ACH-000251,-0.0890549800429
ACH-000253,0.0905282728265
ACH-000255,-0.031147751008900004
ACH-000256,0.136105737378
ACH-000257,0.08395545328739999
ACH-000258,0.049949809227800006
ACH-000259,0.0413624022377
ACH-000260,0.033758235967099995
ACH-000261,-0.021728275614
ACH-000262,0.152840696214
ACH-000263,0.00601922587145
ACH-000264,0.014067483777399999
ACH-000265,-0.052118458991900006
ACH-000266,0.0405438634643
ACH-000272,0.021578844525799997
ACH-000273,0.0663051475626
ACH-000274,0.0643166538987
ACH-000277,0.091254403871
ACH-000278,-0.030667017315500002
ACH-000279,0.12478581693499999
ACH-000280,0.00909831274765
ACH-000281,0.0734862641638
ACH-000288,0.23500809784600002
ACH-000291,0.07950297902430001
ACH-000293,-0.0900764095035
ACH-000294,-0.346303586046
ACH-000295,0.11442312952400001
ACH-000296,0.212348676781
ACH-000302,-0.04156740805030001
ACH-000304,-0.043363884897499996
ACH-000307,-0.187720030025
ACH-000308,0.0233335574245
ACH-000310,0.0046558411346400005
ACH-000311,-0.0708101886273
ACH-000312,0.0663446988549
ACH-000315,0.00127961978685
ACH-000316,0.15493525135
ACH-000317,-0.172987246479
ACH-000318,-0.17092478503
ACH-000319,-0.08247550114039999
ACH-000320,-0.13821581615800002
ACH-000322,0.0982587099284
ACH-000323,0.171041232376
ACH-000324,0.0928010498526
ACH-000329,0.12224228829000001
ACH-000330,0.129390557068
ACH-000331,0.022345095493
ACH-000332,0.0548872568204
ACH-000334,-0.00272955065606
ACH-000335,0.04803584326259999
ACH-000336,0.15771643479800002
ACH-000337,-0.04865665400619999
ACH-000339,-0.0318634521081
ACH-000341,-0.278184068337
ACH-000348,-0.035537987048699995
ACH-000350,0.0587548765033
ACH-000352,0.19839383644
ACH-000356,0.108941812588
ACH-000361,-0.0258692382438
ACH-000362,-0.144087525217
ACH-000363,0.0444960492965
ACH-000364,0.051008217664599995
ACH-000365,0.0830638200972
ACH-000366,0.0829762142055
ACH-000368,0.131848854819
ACH-000374,0.0046845427752499995
ACH-000375,-0.015515411237000001
ACH-000376,0.226829925771
ACH-000381,0.164951501173
ACH-000383,0.07079759308110001
ACH-000387,-0.034006009948900004
ACH-000389,-0.09232472200689999
ACH-000390,0.0221945238195
ACH-000393,-0.226312377281
ACH-000395,-0.225139676166
ACH-000397,0.0805266090548
ACH-000401,-0.23290937644600002
ACH-000402,0.26570739132599996
ACH-000403,0.08386895103900001
ACH-000404,0.218770710577
ACH-000406,-0.0331377481564
ACH-000407,0.015706794995799998
ACH-000408,-0.15240654642100002
ACH-000410,-0.024338647148799998
ACH-000411,-0.00578344855202
ACH-000414,0.0431044646673
ACH-000415,0.00730155788676
ACH-000416,-0.00045943877035999997
ACH-000420,-0.097285046889
ACH-000421,0.045015228999800004
ACH-000424,0.009171551321920001
ACH-000425,-0.0701533551031
ACH-000426,0.18917857781300002
ACH-000427,-0.10658787865599999
ACH-000433,-0.219120433954
ACH-000436,-0.29533956854800003
ACH-000444,-0.248709515736
ACH-000445,0.00671205854381
ACH-000448,0.056016336596
ACH-000450,0.131171418719
ACH-000452,-0.0123739422095
ACH-000454,0.167036616272
ACH-000458,0.0848748490478
ACH-000459,-0.00110886384608
ACH-000460,-0.0793131500321
ACH-000461,0.009037107437629999
ACH-000463,-0.0034827540873000004
ACH-000464,-0.18383903303399998
ACH-000466,-0.366436626961
ACH-000467,0.178108292073
ACH-000468,0.0505701754829
ACH-000469,0.0570468750858
ACH-000470,0.08419047526789998
ACH-000471,-0.127231374204
ACH-000472,-0.0382428721006
ACH-000473,0.285061618489
ACH-000475,-0.0331915445132
ACH-000476,0.0028945772199299997
ACH-000477,0.020934850721599996
ACH-000480,-0.12633886338
ACH-000481,0.189552769922
ACH-000483,0.244711034673
ACH-000484,0.09956888320250001
ACH-000485,0.137301397865
ACH-000486,0.150963834998
ACH-000487,0.150984921115
ACH-000488,-0.12156047961
ACH-000490,0.0272067523459
ACH-000491,0.186654835194
ACH-000495,0.07403919874480001
ACH-000496,-0.167710019738
ACH-000499,0.176628856946
ACH-000500,0.5326505357410001
ACH-000502,-0.08447564679500001
ACH-000503,-0.299110579563
ACH-000505,-0.0895599145014
ACH-000507,0.132348721424
ACH-000510,0.028189825995
ACH-000511,0.22064955953600002
ACH-000512,-0.130592408682
ACH-000516,0.059091151529099994
ACH-000517,0.024950694066900002
ACH-000518,0.108039706641
ACH-000520,-0.0479433853666
ACH-000521,0.0839180977822
ACH-000522,0.0436052715954
ACH-000524,0.0257595149198
ACH-000527,0.168922424241
ACH-000528,-0.10279255552699999
ACH-000537,-0.11626629881200001
ACH-000541,0.366959766298
ACH-000542,0.10296228992900001
ACH-000544,-0.0448977430055
ACH-000545,-0.0494169467751
ACH-000547,-0.007537327029189999
ACH-000548,-0.0663868547097
ACH-000549,-0.0858175702286
ACH-000550,0.19067020502999998
ACH-000552,-0.0387774588682
ACH-000556,-0.056671785227
ACH-000557,-0.0589818525177
ACH-000570,0.0362140097044
ACH-000571,0.0071095107286299995
ACH-000573,-0.144502439722
ACH-000576,-0.08659538142899999
ACH-000580,0.10493719466700001
ACH-000584,-0.148395667739
ACH-000585,0.04864138939180001
ACH-000588,0.0109706263247
ACH-000589,-0.0654132852764
ACH-000591,0.0665964899215
ACH-000593,-0.128361275186
ACH-000600,0.056764321535599994
ACH-000601,-0.0445677243544
ACH-000604,0.09372307179889999
ACH-000605,0.12932035039
ACH-000606,0.0928347153641
ACH-000608,0.100202288517
ACH-000614,-0.10619112726399998
ACH-000616,0.287874984489
ACH-000618,-0.0326882032438
ACH-000619,0.0752434862723
ACH-000620,-0.127552378774
ACH-000621,0.0612840479514
ACH-000622,-0.0535272206317
ACH-000623,-0.00020741663801900003
ACH-000624,0.0317510196403
ACH-000627,-0.060864491229600005
ACH-000630,0.11920523377499999
ACH-000632,-0.038157511425099995
ACH-000633,-0.102369858943
ACH-000637,-0.310960333862
ACH-000638,-0.0985046637932
ACH-000646,0.00745828994359
ACH-000647,-0.0304591833594
ACH-000648,-0.124509812294
ACH-000649,0.085406725646
ACH-000651,0.0641536383813
