,OR4C6 (219432)
ACH-000004,0.019143648930900002
ACH-000007,0.013852734174999999
ACH-000009,0.0673618757122
ACH-000011,-0.00247733065367
ACH-000012,-0.0406577326127
ACH-000013,0.09232831604769999
ACH-000014,0.07593244829489999
ACH-000015,0.0344256194261
ACH-000017,0.0186190027383
ACH-000018,-0.0744408730094
ACH-000019,-0.00953625826691
ACH-000021,-0.10146219929
ACH-000022,-0.104528544352
ACH-000025,-0.128304966153
ACH-000028,-0.225224503017
ACH-000030,-0.0416248234598
ACH-000035,-0.0192162869816
ACH-000036,-0.107503046824
ACH-000037,-0.284038076144
ACH-000039,-0.263354705905
ACH-000040,-0.29360094379900004
ACH-000041,-0.136750543342
ACH-000042,0.0686465264759
ACH-000045,-0.191496336362
ACH-000047,-0.124679103114
ACH-000052,0.0333164924177
ACH-000053,-0.108692233136
ACH-000054,0.0643674772135
ACH-000055,-0.120507711945
ACH-000060,-0.0610241794067
ACH-000067,-0.0946384992348
ACH-000070,-0.182462881924
ACH-000075,-0.047579198293399995
ACH-000078,-0.0685121979901
ACH-000082,-0.0347159053054
ACH-000085,0.0900791253255
ACH-000086,-0.128704324741
ACH-000087,0.027668549306200003
ACH-000092,-0.00232473553112
ACH-000095,-0.0519382215191
ACH-000097,-0.12877883448
ACH-000098,-0.007015423971420001
ACH-000099,-0.008399984206149999
ACH-000108,-0.0106100276077
ACH-000113,-0.0616146229017
ACH-000115,0.0960656178723
ACH-000116,-0.0253683075777
ACH-000118,-0.233164746347
ACH-000120,-0.0908880777916
ACH-000123,-0.0226032731644
ACH-000127,0.0295108536619
ACH-000128,-0.040071211021599995
ACH-000132,-0.329709291727
ACH-000133,0.033621032151099996
ACH-000137,-0.22546270494399998
ACH-000138,-0.155257421544
ACH-000142,-0.24398759700300002
ACH-000143,0.0875244558636
ACH-000146,-0.0647247375266
ACH-000148,-0.012460693347399998
ACH-000150,-0.10271989970899999
ACH-000152,-0.00155148431892
ACH-000153,-0.184463809056
ACH-000159,0.0662456350031
ACH-000160,-0.019800852740200003
ACH-000163,-0.138487783517
ACH-000167,-0.0588855043017
ACH-000168,0.056363208242100005
ACH-000169,0.0688271630012
ACH-000178,-0.07910786034360001
ACH-000182,-0.00820574996547
ACH-000183,-0.148267442062
ACH-000188,-0.305420619667
ACH-000189,-0.17099936580699998
ACH-000190,-0.341834014226
ACH-000198,-0.0192082567747
ACH-000204,-0.176299248531
ACH-000206,-0.11612298646199999
ACH-000207,-0.0799327604089
ACH-000211,-0.11751749299
ACH-000215,0.027054419097700004
ACH-000221,-0.116480385651
ACH-000222,-0.163532389047
ACH-000223,-0.107227359862
ACH-000226,-0.23365834297200003
ACH-000227,-0.0559887390474
ACH-000228,-0.22391692629999999
ACH-000231,-0.0365786442946
ACH-000232,0.0770759567979
ACH-000233,0.0517935979273
ACH-000234,0.0254548706145
ACH-000235,-0.0629035765938
ACH-000237,-0.0518106633433
ACH-000238,0.0619950953149
ACH-000243,-0.0663663374214
ACH-000244,-0.156985615277
ACH-000246,-0.113662534947
ACH-000248,-0.173958443924
ACH-000250,-0.0516970649388
ACH-000251,0.019215762371799998
ACH-000253,-0.028779203749099997
ACH-000255,0.22349976876400002
ACH-000256,0.006006302441
ACH-000257,0.22394737829300002
ACH-000258,-0.113504428727
ACH-000259,-0.0829029155437
ACH-000260,-0.11580508971100001
ACH-000261,-0.100334983189
ACH-000262,-0.12976159670499998
ACH-000263,0.048270359566900005
ACH-000264,-0.0033715676446299998
ACH-000265,-0.0705259979302
ACH-000266,-0.0336974579322
ACH-000272,0.0515213164295
ACH-000273,-0.159201078174
ACH-000274,-0.0108719266851
ACH-000277,-0.017641042583599997
ACH-000278,0.0658117583345
ACH-000279,0.0814673085201
ACH-000280,-0.249606219012
ACH-000281,-0.00770057902021
ACH-000288,-0.0964693722803
ACH-000291,0.0261168783127
ACH-000293,0.104676363939
ACH-000294,0.139620586106
ACH-000295,-0.059460128780399996
ACH-000296,-0.021585713905
ACH-000302,-0.0161190179184
ACH-000304,-0.054769047506499996
ACH-000307,-0.023412169416499998
ACH-000308,-0.182572809665
ACH-000310,-0.08890310964999999
ACH-000311,0.0074556420424899995
ACH-000312,-0.08834437885360001
ACH-000315,0.12693318460300002
ACH-000316,0.110741459233
ACH-000317,-0.299490550648
ACH-000318,-0.48942096097099996
ACH-000319,-0.167687449622
ACH-000320,-0.034262293553400006
ACH-000322,0.068911862469
ACH-000323,-0.056352510201399995
ACH-000324,-0.04933317994630001
ACH-000329,0.026987426981599998
ACH-000330,-0.0734537378116
ACH-000331,-0.047828088717099995
ACH-000332,-0.143595723447
ACH-000334,-0.346063837962
ACH-000335,-0.0678140335464
ACH-000336,0.09866741231689999
ACH-000337,-0.0512718984124
ACH-000339,-0.130923267703
ACH-000341,-0.38015454580499997
ACH-000348,0.172382486769
ACH-000350,0.0480054062737
ACH-000352,-0.0557203454609
ACH-000356,-0.253206143836
ACH-000361,0.19559786666700002
ACH-000362,-0.16892299205699998
ACH-000363,0.00726969173079
ACH-000364,-0.0970833604859
ACH-000365,0.031232645345799996
ACH-000366,-0.11919517303200002
ACH-000368,-0.0478417056919
