,DepMap_ID
17789,ACH-000053
41829,ACH-000130
54811,ACH-000180
58636,ACH-000195
76556,ACH-000251
138750,ACH-000425
170332,ACH-000506
187352,ACH-000548
191320,ACH-000556
232437,ACH-000644
243300,ACH-000665
245604,ACH-000669
288555,ACH-000750
296848,ACH-000764
308778,ACH-000781
349108,ACH-000788
350837,ACH-000790
368591,ACH-000813
408292,ACH-000864
423423,ACH-000878
520989,ACH-000940
597079,ACH-000965
604674,ACH-000967
645658,ACH-000978
682298,ACH-000985
689758,ACH-000986
732258,ACH-000991
732259,ACH-000991
834027,ACH-000996
855606,ACH-000998
910262,ACH-001081
944959,ACH-001199
951481,ACH-001228
952151,ACH-001233
953835,ACH-001274
978778,ACH-001363
988444,ACH-001383
1035457,ACH-001554
1037183,ACH-001563
1044834,ACH-001606
1046299,ACH-001610
1053405,ACH-001638
1062802,ACH-001674
1082218,ACH-002004
1110772,ACH-002155
1129405,ACH-002186
1196104,ACH-002309
1203448,ACH-002315
1210472,ACH-002345
1213336,ACH-002359
