,DepMap_ID
44033,ACH-000139
110733,ACH-000351
112504,ACH-000355
164454,ACH-000489
217578,ACH-000614
234687,ACH-000649
246259,ACH-000670
257535,ACH-000693
268167,ACH-000712
307804,ACH-000780
307805,ACH-000780
311851,ACH-000785
353073,ACH-000793
357744,ACH-000800
380304,ACH-000828
386177,ACH-000837
388252,ACH-000840
391959,ACH-000844
403355,ACH-000858
404786,ACH-000860
407661,ACH-000863
409442,ACH-000865
430849,ACH-000884
437436,ACH-000889
475753,ACH-000919
486042,ACH-000924
495469,ACH-000929
521042,ACH-000940
540738,ACH-000947
571318,ACH-000957
587293,ACH-000962
604734,ACH-000967
616230,ACH-000970
639695,ACH-000977
652682,ACH-000979
652683,ACH-000979
652684,ACH-000979
656855,ACH-000980
682426,ACH-000985
697527,ACH-000987
711567,ACH-000989
719956,ACH-000990
807698,ACH-000993
921547,ACH-001111
935453,ACH-001145
945008,ACH-001199
953854,ACH-001274
955238,ACH-001278
1033193,ACH-001551
1046372,ACH-001610
1055315,ACH-001645
1063799,ACH-001680
1070365,ACH-001738
1107728,ACH-002147
1112329,ACH-002159
1112330,ACH-002159
1207711,ACH-002341
1223544,ACH-002396
