,OR8B12 (219858)
ACH-000004,-0.270317226285
ACH-000007,-0.20433296833099998
ACH-000009,-0.122511106921
ACH-000011,-0.11052983800100001
ACH-000012,-0.182384807217
ACH-000013,-0.236664580007
ACH-000014,-0.06733627097490001
ACH-000015,-0.012669613021400001
ACH-000017,-0.025348942897
ACH-000018,-0.323567644027
ACH-000019,-0.17264658382800002
ACH-000021,-0.023819922995899998
ACH-000022,-0.406788224423
ACH-000025,-0.0326751477654
ACH-000028,-0.0242714048624
ACH-000030,-0.11576099176200001
ACH-000035,-0.0500118384364
ACH-000036,-0.17605323874
ACH-000037,-0.12245759557600001
ACH-000039,-0.37186293361699996
ACH-000040,-0.377072934612
ACH-000041,-0.049565701131499995
ACH-000042,0.0423120094716
ACH-000045,-0.25086364938
ACH-000047,-0.0766089514405
ACH-000052,-0.0096245681672
ACH-000053,-0.16855104911200003
ACH-000054,-0.376158476558
ACH-000055,-0.172272558372
ACH-000060,-0.175804609014
ACH-000067,-0.0168955180103
ACH-000070,-0.269188247876
ACH-000075,-0.061919916018500006
ACH-000078,-0.41087192903700004
ACH-000082,-0.121123553728
ACH-000085,-0.29995578403900003
ACH-000086,0.07524386600499999
ACH-000087,-0.164495879347
ACH-000092,-0.0648962413352
ACH-000095,-0.193027052598
ACH-000097,-0.140538022871
ACH-000098,0.062103705474100004
ACH-000099,-0.0491381082845
ACH-000108,-0.126346737708
ACH-000113,-0.177031992447
ACH-000115,-0.38673548203599994
ACH-000116,0.169455704355
ACH-000118,-0.147215257522
ACH-000120,0.048033217517300004
ACH-000123,-0.08230485741810001
ACH-000127,-0.13372669974600002
ACH-000128,-0.178392594525
ACH-000132,-0.245203476789
ACH-000133,-0.133369656211
ACH-000137,-0.341493978006
ACH-000138,-0.123807825879
ACH-000142,-0.423156901377
ACH-000143,-0.0225431295735
ACH-000146,-0.140230094975
ACH-000148,-0.0860145874225
ACH-000150,0.0592375009576
ACH-000152,-0.18684146643599997
ACH-000153,-0.038472780462800005
ACH-000159,-0.155776539621
ACH-000160,-0.0916456588664
ACH-000163,-0.22988365326699997
ACH-000167,-0.115486267371
ACH-000168,0.0766534712714
ACH-000169,-0.115111481679
ACH-000178,-0.25164627205400003
ACH-000182,-0.08898625142139999
ACH-000183,0.015588951213499999
ACH-000188,-0.269173701726
ACH-000189,-0.109783245056
ACH-000190,-0.195454573512
ACH-000198,-0.137071976521
ACH-000204,0.15007132039899998
ACH-000206,-0.297646672569
ACH-000207,0.315202677595
ACH-000211,-0.126155620228
ACH-000215,-0.19065103426899999
ACH-000221,-0.18562055742
ACH-000222,-0.0382927745261
ACH-000223,-0.170639207467
ACH-000226,-0.175318144445
ACH-000227,-0.33523076035300003
ACH-000228,-0.0263124651291
ACH-000231,-0.243042921094
ACH-000232,-0.243106329062
ACH-000233,-0.160466541254
ACH-000234,0.055656831311800006
ACH-000235,-0.0165295345231
ACH-000237,-0.28935434008
ACH-000238,-0.197695356604
ACH-000243,0.024657152941000002
ACH-000244,-0.17630648860599998
ACH-000246,-0.214372318449
ACH-000248,-0.0177424871478
ACH-000250,-0.14116699007300001
ACH-000251,0.11853194400900001
ACH-000253,-0.019810524740599997
ACH-000255,-0.044712234330599995
ACH-000256,0.0788041619214
ACH-000257,0.20128351889499999
ACH-000258,-0.5752668791359999
ACH-000259,0.0208161530837
ACH-000260,-0.0794963056175
ACH-000261,-0.065363656632
