,OR8D1 (283159)
ACH-000004,0.15141538796499998
ACH-000007,0.0478097684186
ACH-000009,0.0670728632559
ACH-000011,0.155192006706
ACH-000012,0.097231076042
ACH-000013,0.0793685981438
ACH-000014,0.023502733823700002
ACH-000015,0.0686226991177
ACH-000017,0.148254904049
ACH-000018,0.218276501166
ACH-000019,0.0791230479399
ACH-000021,0.131752499968
ACH-000022,0.04821490552080001
ACH-000025,0.0386338259872
ACH-000028,-0.106715182842
ACH-000030,0.103288134175
ACH-000035,0.13048148476399998
ACH-000036,0.162157525489
ACH-000037,-0.13012072988600001
ACH-000039,-0.130195003071
ACH-000040,0.0770481877427
ACH-000041,-0.117939793204
ACH-000042,0.09232579863530001
ACH-000045,0.018141325572400002
ACH-000047,0.14911010748099998
ACH-000052,0.0100785684736
ACH-000053,-0.015114806435100001
ACH-000054,-0.0383158187523
ACH-000055,0.304021853766
ACH-000060,0.19623928052700002
ACH-000067,0.12567780330199999
ACH-000070,0.00879580839893
ACH-000075,-0.098641425229
ACH-000078,0.0382796052352
ACH-000082,0.134601548238
ACH-000085,0.251641728856
ACH-000086,0.149792374363
ACH-000087,0.0571665258424
ACH-000092,0.211786027258
ACH-000095,0.06988248673339999
ACH-000097,0.00108956977842
ACH-000098,0.10820952870999999
ACH-000099,-0.0555629669789
ACH-000108,0.037477828618199996
ACH-000113,0.077491126131
ACH-000115,0.203468493666
ACH-000116,0.00209937643889
ACH-000118,0.026204872121900005
ACH-000120,0.100076535705
ACH-000123,0.190500960566
ACH-000127,0.170907249888
ACH-000128,0.189601934734
ACH-000132,0.08278177935160001
ACH-000133,0.143723381278
ACH-000137,-0.0912812209594
ACH-000138,-0.0538316246045
ACH-000142,0.189059211728
ACH-000143,0.11590663112999999
ACH-000146,-0.0277114607602
ACH-000148,0.117681859024
ACH-000150,0.08072074304060001
ACH-000152,0.0876478949622
ACH-000153,0.102925924356
ACH-000159,0.141060597311
ACH-000160,0.0840398747252
ACH-000163,0.0318623781464
ACH-000167,0.255269527273
ACH-000168,-0.016460306565799998
ACH-000169,0.169926765653
ACH-000178,0.061142838758199994
ACH-000182,0.059815677138
ACH-000183,0.150681069673
ACH-000188,-0.118008311811
ACH-000189,0.33373376476100003
ACH-000190,0.0455628008708
ACH-000198,0.0224617608459
ACH-000204,-0.250329178588
ACH-000206,0.13725939217
ACH-000207,0.09876767652210001
ACH-000211,0.09028367000399999
ACH-000215,0.0697780412957
ACH-000221,0.117268959023
ACH-000222,0.0312983907695
ACH-000223,-0.0228069355635
ACH-000226,-0.014291268862600001
ACH-000227,0.106854692176
ACH-000228,0.10523026453600001
ACH-000231,0.118465970804
ACH-000232,0.048995034165699995
ACH-000233,0.027990716120199998
ACH-000234,-0.0422510298663
ACH-000235,0.14596964457999997
ACH-000237,0.104723632471
ACH-000238,-0.0587345773434
ACH-000243,-0.00136350183666
ACH-000244,-0.121088814388
ACH-000246,0.109944301606
ACH-000248,0.09406872735829999
ACH-000250,0.0340503897928
ACH-000251,0.12378096022299999
ACH-000253,0.218903660346
ACH-000255,0.027074069620599998
ACH-000256,0.0882362433055
ACH-000257,0.269065661449
ACH-000258,-0.118396671544
ACH-000259,-0.00490886641968
ACH-000260,0.0518945181983
ACH-000261,0.157805756174
ACH-000262,-0.0032099490638400003
ACH-000263,0.21953746119399997
ACH-000264,-0.035304828152400006
ACH-000265,-0.00642778168141
ACH-000266,0.0187852664104
ACH-000272,0.0775860279022
ACH-000273,-0.037098404678800004
ACH-000274,0.110561041997
ACH-000277,-0.0576879584764
ACH-000278,0.157854847021
ACH-000279,0.0575243805387
ACH-000280,0.0385286747774
ACH-000281,0.124191570394
ACH-000288,0.0420766086922
ACH-000291,0.069829316688
ACH-000293,0.0912953993956
ACH-000294,0.0873897090688
ACH-000295,0.0727601446413
ACH-000296,-0.027846336822900004
