,DepMap_ID
26004,ACH-000065
81107,ACH-000264
92037,ACH-000298
129597,ACH-000400
165721,ACH-000491
193565,ACH-000560
245024,ACH-000667
252859,ACH-000681
260655,ACH-000697
262191,ACH-000699
299325,ACH-000767
343788,ACH-000786
343789,ACH-000786
343790,ACH-000786
343791,ACH-000786
343792,ACH-000786
343793,ACH-000786
343794,ACH-000786
343795,ACH-000786
343796,ACH-000786
355386,ACH-000795
420387,ACH-000874
427973,ACH-000881
470164,ACH-000915
470165,ACH-000915
494779,ACH-000928
526202,ACH-000941
542546,ACH-000947
596374,ACH-000964
607877,ACH-000967
664168,ACH-000981
664169,ACH-000981
709892,ACH-000988
730016,ACH-000990
799871,ACH-000992
799872,ACH-000992
799873,ACH-000992
799874,ACH-000992
799875,ACH-000992
799876,ACH-000992
823391,ACH-000994
853368,ACH-000997
853369,ACH-000997
892611,ACH-001021
907512,ACH-001067
907513,ACH-001067
907514,ACH-001067
916670,ACH-001081
1089043,ACH-002059
1110998,ACH-002155
1130017,ACH-002188
1159855,ACH-002249
1159856,ACH-002249
1200935,ACH-002309
1200936,ACH-002309
1213509,ACH-002359
