,OTOP3 (347741)
ACH-000004,0.23002003095400003
ACH-000007,0.522642666767
ACH-000009,0.234122433844
ACH-000011,0.041241279986900005
ACH-000012,0.213354348842
ACH-000013,0.240317415399
ACH-000014,0.256939082715
ACH-000015,0.267498336606
ACH-000017,0.12978613171700001
ACH-000018,0.36401779190899997
ACH-000019,0.141880701963
ACH-000021,0.25805513763300003
ACH-000022,0.134129564077
ACH-000025,0.18494203437399998
ACH-000028,0.29020131376999997
ACH-000030,0.15036611858899998
ACH-000035,0.197067080073
ACH-000036,0.06940384024789999
ACH-000037,0.08901664452019999
ACH-000039,0.38477855578000003
ACH-000040,0.157449276852
ACH-000041,0.19581260507
ACH-000042,0.09896875633430001
ACH-000045,0.160516562796
ACH-000047,0.28436902193700003
ACH-000052,0.129125600076
ACH-000053,0.23278206571999996
ACH-000054,0.22678242589699998
ACH-000055,0.18772715654599997
ACH-000060,0.11423392519999999
ACH-000067,0.215815637062
ACH-000070,-0.10328202598200001
ACH-000075,0.0836078678087
ACH-000078,0.31429210949
ACH-000082,0.109117362931
ACH-000085,0.331996665154
ACH-000086,0.0714593354935
ACH-000087,0.167702386411
ACH-000092,0.23154807491700002
ACH-000095,0.150489495863
ACH-000097,0.202783788993
ACH-000098,0.134256317499
ACH-000099,0.280174725015
ACH-000108,0.184060664242
ACH-000113,0.26220462398899996
ACH-000115,0.0473573632409
ACH-000116,0.195806127892
ACH-000118,0.270363923163
ACH-000120,0.09593394434350001
ACH-000123,0.30556266290399997
ACH-000127,0.0858018123789
ACH-000128,0.0936488303388
ACH-000132,0.298564153279
ACH-000133,0.265022708423
ACH-000137,0.323107229759
ACH-000138,0.046693984187699995
ACH-000142,0.07828503289460001
ACH-000143,0.0679183725857
ACH-000146,0.17582746134500002
ACH-000148,0.3022810845
ACH-000150,0.026469780669800002
ACH-000152,0.23341791987500002
ACH-000153,0.34270770632299996
ACH-000159,0.206596725843
ACH-000160,0.251631297095
ACH-000163,0.038898007840699994
ACH-000167,0.407605738331
ACH-000168,-0.028493815872599998
ACH-000169,0.0242704217095
ACH-000178,0.172470130652
ACH-000182,0.205846037282
ACH-000183,0.09415771594189999
ACH-000188,0.263868740891
ACH-000189,0.285452553855
ACH-000190,0.358912314154
ACH-000198,0.246768427682
ACH-000204,0.139810589113
ACH-000206,0.0832238991257
ACH-000207,-0.070633045388
ACH-000211,0.0571363850545
ACH-000215,0.206881399907
ACH-000221,0.253378554987
ACH-000222,0.33447291408700003
ACH-000223,0.221661580311
ACH-000226,0.249575299252
ACH-000227,0.279614774139
ACH-000228,0.179472655422
ACH-000231,0.0988053719299
ACH-000232,0.23055744968800002
ACH-000233,0.000854877411349
ACH-000234,0.0559340021623
ACH-000235,0.21667238623399998
ACH-000237,0.256501486856
ACH-000238,0.0780770795242
ACH-000243,0.12037910868599999
ACH-000244,0.157948429728
ACH-000246,0.323863620618
ACH-000248,0.101699768957
ACH-000250,0.143160072314
ACH-000251,0.380160151989
ACH-000253,0.227834682922
ACH-000255,-0.0432714637538
ACH-000256,-0.0131885911376
ACH-000257,0.450894576559
ACH-000258,0.31258457106800003
ACH-000259,0.24380256501400002
ACH-000260,0.109483130742
ACH-000261,0.114958147139
ACH-000262,-0.126245511517
ACH-000263,-0.197848688938
ACH-000264,0.09989085450719999
ACH-000265,0.192503751015
ACH-000266,0.157088879967
ACH-000272,0.227269186496
ACH-000273,0.30116026873199997
ACH-000274,-0.000293514096641
ACH-000277,0.137665985687
ACH-000278,0.324741708179
ACH-000279,0.211572105828
ACH-000280,0.21261150693
ACH-000281,0.173610381838
ACH-000288,0.08150040510710001
ACH-000291,0.24652188681899997
ACH-000293,0.0030154885946199997
ACH-000294,0.244354366586
ACH-000295,0.0231503337046
ACH-000296,0.22398282955200002
ACH-000302,0.192570703926
ACH-000304,0.0307875310591
ACH-000307,0.12324258309000001
ACH-000308,0.28934415042399997
ACH-000310,0.254801984476
ACH-000311,0.217077383036
ACH-000312,0.0385291938675
ACH-000315,0.252551241705
ACH-000316,0.00682140041738
ACH-000317,0.2103571214
ACH-000318,0.166614403648
ACH-000319,0.18568713993500002
ACH-000320,0.174954783624
ACH-000322,0.0301908835483
ACH-000323,0.1843482218
ACH-000324,0.274282134482
ACH-000329,0.0612112463507
ACH-000330,0.13708314158399998
ACH-000331,0.243405951468
ACH-000332,0.256040074856
ACH-000334,0.348760553459
ACH-000335,0.234065169711
ACH-000336,0.273760077925
ACH-000337,-0.18315776761100003
ACH-000339,0.28458686670899996
ACH-000341,0.34667959492
ACH-000348,0.168744428792
ACH-000350,-0.11718255091600001
ACH-000352,0.057910920802
ACH-000356,0.110091292557
ACH-000361,-0.08768800239630001
ACH-000362,0.28641351556
ACH-000363,0.140479570757
ACH-000364,0.208959069418
ACH-000365,0.145646431833
ACH-000366,0.159884987851
ACH-000368,-0.0148362730165
ACH-000374,0.234082046061
ACH-000375,0.30013122055799996
ACH-000376,0.159920482659
ACH-000381,0.310176582449
ACH-000383,0.148405570192
ACH-000387,0.219953907065
ACH-000389,0.17542081651299998
ACH-000390,0.11552339794399999
ACH-000393,0.137159172609
ACH-000395,0.00100897478594
ACH-000397,0.11458424045299999
ACH-000401,0.125782186478
ACH-000402,0.378750952168
ACH-000403,0.318504067906
ACH-000404,0.187257262694
ACH-000406,0.12269467178099999
ACH-000407,0.152159891889
ACH-000408,0.24435669056099998
ACH-000410,0.218641369826
ACH-000411,0.250884247134
ACH-000414,0.33486305633900004
ACH-000415,0.0471071365823
ACH-000416,0.170751310452
ACH-000420,0.27467062857700003
ACH-000421,0.184314357632
ACH-000424,0.251898686412
ACH-000425,0.160808380676
ACH-000426,0.286819779843
ACH-000427,0.0890099310586
ACH-000433,-0.06920953651539999
ACH-000436,0.192548539227
ACH-000444,0.243708686738
ACH-000445,0.145831809089
ACH-000448,0.297737896804
ACH-000450,0.157150298235
ACH-000452,0.234401998358
ACH-000454,0.231576325341
ACH-000458,0.0814514265525
ACH-000459,0.317034224429
ACH-000460,0.26287681865
ACH-000461,0.0333031145668
ACH-000463,0.057826085155499994
ACH-000464,0.25192930941
ACH-000466,0.18973928118099997
ACH-000467,0.285191785612
ACH-000468,0.204920189974
ACH-000469,0.312548361057
ACH-000470,0.0865434142163
ACH-000471,0.161721618901
ACH-000472,0.259029824133
ACH-000473,0.0104074416085
ACH-000475,0.180162391436
ACH-000476,0.12253342544500001
ACH-000477,0.0729613569562
ACH-000480,0.234094120269
ACH-000481,0.214324035641
ACH-000483,0.29488002276299996
ACH-000484,0.0297410087219
ACH-000485,0.236687197405
ACH-000486,0.273660741996
ACH-000487,0.29201641688700003
ACH-000488,0.131234577834
ACH-000490,0.09815549702880001
ACH-000491,0.102870737517
ACH-000495,0.146680824947
ACH-000496,0.156262795097
ACH-000499,0.279955782411
ACH-000500,0.0464579315723
ACH-000502,0.14707664395300002
ACH-000503,0.193985190773
ACH-000505,0.13320999359400001
ACH-000507,0.20660899637400001
ACH-000510,0.22887440384500002
ACH-000511,0.16085641672700002
ACH-000512,0.267194017488
ACH-000516,0.146093993148
ACH-000517,0.207944512203
ACH-000518,0.24655637269900002
ACH-000520,-0.015666574784
ACH-000521,0.210329373674
ACH-000522,0.20847100157499998
ACH-000524,0.12170191040200001
ACH-000527,0.173531123155
ACH-000528,0.250503251246
ACH-000537,0.14834344762
ACH-000541,0.214464514817
ACH-000542,0.179080564598
ACH-000544,0.10638975995
ACH-000545,0.180418081472
ACH-000547,0.16776149520300002
ACH-000548,0.08958210124610001
ACH-000549,-0.0104689029699
ACH-000550,0.141807948928
ACH-000552,0.208991411777
ACH-000556,-0.0115466424233
ACH-000557,0.168349032818
ACH-000570,0.151931277334
ACH-000571,0.255271665475
ACH-000573,0.165113977655
ACH-000576,0.140994747038
ACH-000580,0.223979277495
ACH-000584,0.19217857591899998
ACH-000585,0.191953938018
ACH-000588,0.31996827459800004
ACH-000589,0.34861625767399995
ACH-000591,0.14685879975
ACH-000593,0.0746108419978
ACH-000600,0.08461416190889999
ACH-000601,0.17961204090799998
ACH-000604,0.110825984748
ACH-000605,0.13515667692299999
ACH-000606,0.157104462208
ACH-000608,0.230748929954
ACH-000614,0.214181940775
ACH-000616,0.122657427951
ACH-000618,0.182050221818
ACH-000619,0.19017773816300002
ACH-000620,0.423309854876
ACH-000621,0.233254424267
ACH-000622,0.295236712482
ACH-000623,0.128453319079
ACH-000624,0.165951869177
ACH-000627,0.1784349436
ACH-000630,0.08085865339319999
ACH-000632,0.0525917440675
ACH-000633,0.159752194733
ACH-000637,0.15269642969
ACH-000638,0.23814600366900002
ACH-000646,0.155725757819
ACH-000647,0.171922012663
ACH-000648,0.179359878699
ACH-000649,0.170569154472
ACH-000651,0.223816414343
ACH-000652,0.09529019078539999
ACH-000653,0.12379872263
