,P2RY6 (5031)
ACH-000004,-0.11943471420299999
ACH-000007,-0.148875799361
ACH-000009,-0.13642502779500001
ACH-000011,-0.0774752346648
ACH-000012,-0.340252948496
ACH-000013,-0.20852721127999999
ACH-000014,-0.09331003824619999
ACH-000015,-0.13627339387
ACH-000017,-0.048708236277300004
ACH-000018,-0.40680151400200004
ACH-000019,-0.198185262574
ACH-000021,-0.30411695965700003
ACH-000022,-0.177173948691
ACH-000025,-0.150844624614
ACH-000028,-0.39858642325000004
ACH-000030,-0.319097148281
ACH-000035,-0.0739724779069
ACH-000036,-0.07142251694480001
ACH-000037,-0.22918320488699997
ACH-000039,-0.401492326455
ACH-000040,-0.317709964469
ACH-000041,-0.143747447688
ACH-000042,-0.24560056553000004
ACH-000045,-0.281992594706
ACH-000047,-0.34297603779700003
ACH-000052,-0.314570986311
ACH-000053,-0.18811959143100002
ACH-000054,-0.0759607048003
ACH-000055,-0.291134929163
ACH-000060,-0.0780375484358
ACH-000067,0.10697295527999999
ACH-000070,-0.22666693124099999
ACH-000075,-0.0644628781023
ACH-000078,-0.206726350521
ACH-000082,-0.218236323768
ACH-000085,-0.38525836791999996
ACH-000086,-0.323895275658
ACH-000087,-0.33039473858199997
ACH-000092,-0.184785325852
ACH-000095,-0.140135254536
ACH-000097,-0.0931520306724
ACH-000098,-0.22091162842700002
ACH-000099,-0.135539284169
ACH-000108,-0.29169117005399997
ACH-000113,-0.224776825122
ACH-000115,-0.282324726674
ACH-000116,-0.409602421341
ACH-000118,-0.487287160929
ACH-000120,-0.234514724809
ACH-000123,-0.289624320119
ACH-000127,0.00283517141696
ACH-000128,-0.039919958752199995
ACH-000132,-0.316090994892
ACH-000133,-0.125050937104
ACH-000137,-0.265781789954
ACH-000138,-0.36621345125200006
ACH-000142,-0.40702277026999995
ACH-000143,-0.219085912688
ACH-000146,-0.22430284212499998
ACH-000148,-0.176470618801
ACH-000150,-0.360469234907
ACH-000152,-0.19764424445
ACH-000153,-0.26445498739
ACH-000159,-0.118071397115
ACH-000160,-0.46781312776199996
ACH-000163,0.06707154869080001
ACH-000167,-0.312103528475
ACH-000168,-0.261976310956
ACH-000169,-0.145646912093
ACH-000178,-0.12112059381
ACH-000182,-0.340762382964
ACH-000183,-0.107827450444
ACH-000188,-0.49413578864600005
ACH-000189,-0.471582117085
ACH-000190,-0.253092686239
ACH-000198,-0.111475255371
ACH-000204,-0.214558131227
ACH-000206,0.15306340169000002
ACH-000207,-0.775098279172
ACH-000211,-0.132827192196
ACH-000215,-0.162802506412
ACH-000221,-0.14300499167000003
ACH-000222,-0.0411036073121
ACH-000223,0.046312921671099995
ACH-000226,-0.252273126605
ACH-000227,-0.28789242486600003
ACH-000228,-0.27088941883699996
ACH-000231,-0.236815590084
ACH-000232,-0.134768823445
ACH-000233,-0.123448681241
ACH-000234,0.115975993047
ACH-000235,-0.210378971406
ACH-000237,-0.354411765242
ACH-000238,-0.21124182738400002
ACH-000243,-0.105001205197
ACH-000244,-0.328022501958
ACH-000246,-0.236382382245
ACH-000248,-0.35706473987099996
ACH-000250,-0.162790502312
ACH-000251,-0.175704467925
ACH-000253,-0.228883461693
ACH-000255,-0.073919344461
ACH-000256,-0.39551365916299996
ACH-000257,-0.0972021036061
ACH-000258,-0.190275159714
ACH-000259,-0.28160308132100004
ACH-000260,-0.223166081028
ACH-000261,0.022984582939299995
ACH-000262,0.0464535964398
ACH-000263,-0.329322014263
ACH-000264,-0.260589474459
ACH-000265,-0.243210877227
ACH-000266,-0.163885171156
ACH-000272,-0.016030007387
ACH-000273,-0.26861402540999996
ACH-000274,-0.06798091975869999
ACH-000277,-0.385850620188
ACH-000278,-0.594620928214
ACH-000279,-0.21571398285
ACH-000280,-0.196396390889
ACH-000281,-0.425172422196
ACH-000288,-0.301275124477
ACH-000291,-0.024723375635000003
ACH-000293,-0.313335283217
ACH-000294,-0.26119323631999997
ACH-000295,-0.43643212635399997
ACH-000296,-0.18299573212900003
ACH-000302,-0.156175102009
ACH-000304,-0.115441748842
ACH-000307,-0.19070381309099999
ACH-000308,-0.517050704426
ACH-000310,-0.21781963223700002
ACH-000311,-0.38688352475599996
ACH-000312,-0.371388687776
ACH-000315,-0.250479164381
ACH-000316,-0.239006327958
ACH-000317,-0.253896466024
ACH-000318,-0.167501366331
ACH-000319,-0.202471647769
ACH-000320,-0.350187625336
ACH-000322,-0.11783172054300001
ACH-000323,-0.163198916239
ACH-000324,-0.201557536895
ACH-000329,0.086703542541
ACH-000330,-0.313103024598
ACH-000331,-0.0790936764751
ACH-000332,-0.27591757719
ACH-000334,-0.609044586161
ACH-000335,-0.6322155356220001
ACH-000336,-0.27734957738899996
ACH-000337,-0.31502726175
ACH-000339,-0.0691913743677
ACH-000341,-0.115628102029
ACH-000348,-0.124478720843
ACH-000350,-0.377353506482
ACH-000352,-0.0735919209089
ACH-000356,-0.38502359666599995
ACH-000361,-0.246507403855
ACH-000362,-0.225739007675
ACH-000363,-0.12966542707800002
ACH-000364,-0.310081775582
ACH-000365,-0.15246288896500002
ACH-000366,-0.32533263121399997
ACH-000368,-0.21217395003800002
ACH-000374,-0.445371821713
ACH-000375,-0.364096918235
ACH-000376,-0.169693689491
ACH-000381,-0.0765360010202
ACH-000383,-0.250541438178
ACH-000387,-0.166993604178
ACH-000389,-0.020088627396099998
ACH-000390,-0.227464140517
ACH-000393,-0.0692747199593
ACH-000395,-0.5048319434049999
ACH-000397,-0.12451578115
ACH-000401,-0.242985663642
ACH-000402,-0.496808387441
ACH-000403,-0.111315916064
ACH-000404,0.27907277734499997
ACH-000406,-0.24021072996800003
ACH-000407,-0.289293176568
ACH-000408,-0.155117264179
ACH-000410,-0.241349543783
ACH-000411,-0.171039193224
ACH-000414,-0.131768098189
ACH-000415,-0.447928775737
ACH-000416,-0.111950249365
ACH-000420,-0.141422489494
ACH-000421,-0.185377255722
ACH-000424,-0.23093389862799998
ACH-000425,-0.024400296827599997
ACH-000426,0.299714322571
ACH-000427,-0.05814500412330001
ACH-000433,-0.548915555006
ACH-000436,-0.24871052277199998
ACH-000444,-0.196110869437
ACH-000445,-0.36458215259000004
ACH-000448,-0.291979808559
ACH-000450,-0.30094748855500003
ACH-000452,-0.168244747489
ACH-000454,-0.186086813337
ACH-000458,-0.31034893273200004
ACH-000459,0.243558313901
ACH-000460,-0.102406571923
ACH-000461,-0.48913210129900003
ACH-000463,-0.09944986775669999
ACH-000464,-0.00654601808089
ACH-000466,-0.09984366495580001
ACH-000467,-0.14139015929600002
ACH-000468,-0.287338243221
ACH-000469,-0.220384057582
ACH-000470,-0.0785579648751
ACH-000471,-0.280695523688
ACH-000472,-0.242205601979
ACH-000473,-0.215905451996
ACH-000475,-0.124702758276
ACH-000476,-0.030481616310099997
ACH-000477,-0.252828105175
ACH-000480,-0.136547156465
ACH-000481,-0.0817968252415
ACH-000483,-0.347200876122
ACH-000484,-0.20576208909200003
ACH-000485,-0.340215985132
ACH-000486,-0.34116168012599996
ACH-000487,-0.180118081768
ACH-000488,-0.18285954555300002
ACH-000490,-0.362671473332
ACH-000491,-0.0051340884439399995
ACH-000495,-0.21928782157499999
ACH-000496,-0.0718461729317
ACH-000499,-0.146878870217
ACH-000500,0.030815282077200003
ACH-000502,-0.138453990109
ACH-000503,-0.253606212554
ACH-000505,-0.128245619182
ACH-000507,-0.182066637911
ACH-000510,-0.10060173212000001
ACH-000511,-0.0363241009858
ACH-000512,-0.499541241824
ACH-000516,0.06779043604669999
ACH-000517,-0.16821773417199998
ACH-000518,-0.329628841981
ACH-000520,-0.0164431476286
ACH-000521,-0.150649263939
ACH-000522,-0.0746674283758
ACH-000524,-0.298326593072
ACH-000527,-0.151159399786
ACH-000528,-0.184140404375
ACH-000537,-0.197146626745
ACH-000541,-0.30133530992400004
ACH-000542,-0.138265849165
ACH-000544,-0.10802545221200001
ACH-000545,-0.58814606219
ACH-000547,-0.28564026515200003
ACH-000548,-0.608864767046
ACH-000549,-0.229594920702
ACH-000550,0.0126885561583
ACH-000552,-0.138640935046
ACH-000556,-0.300690775376
ACH-000557,-0.128822243359
ACH-000570,-0.23076583962900002
ACH-000571,-0.190491073566
ACH-000573,-0.115881613408
ACH-000576,-0.0520592172916
ACH-000580,-0.401261800281
ACH-000584,-0.34527029955300004
ACH-000585,-0.6854944243800001
ACH-000588,0.0323479416893
ACH-000589,-0.22446776898600002
ACH-000591,-0.281655034118
ACH-000593,-0.21181135085299999
ACH-000600,-0.13508663524800002
ACH-000601,-0.233739804224
ACH-000604,-0.239177065747
ACH-000605,-0.31206416242199997
ACH-000606,-0.26141337754
ACH-000608,-0.262430680647
ACH-000614,-0.290085980294
ACH-000616,-0.0424950920371
ACH-000618,-0.30563227974
ACH-000619,-0.0419623288394
ACH-000620,-0.09880946641550001
ACH-000621,-0.0675079526449
ACH-000622,-0.29434963646699996
ACH-000623,-0.238169255154
ACH-000624,-0.296709085651
ACH-000627,-0.226614476967
ACH-000630,-0.158602962962
ACH-000632,-0.24667399676500001
ACH-000633,-0.334729230104
ACH-000637,-0.452168998833
ACH-000638,-0.31971336209
ACH-000646,-0.18550682437600002
ACH-000647,-0.44308312121699994
ACH-000648,-0.342436181507
ACH-000649,-0.108233082356
ACH-000651,-0.12939902182
ACH-000652,-0.482351564832
ACH-000653,-0.281499279792
ACH-000657,-0.149138587004
ACH-000658,-0.226030223867
ACH-000661,-0.224606519932
ACH-000662,-0.150662643444
ACH-000663,-0.216043428
ACH-000665,-0.501428297835
ACH-000671,-0.0538037275806
ACH-000673,-0.17664786640500002
ACH-000676,-0.127641454667
ACH-000677,-0.104443500409
ACH-000681,-0.0561490239951
ACH-000682,-0.12691543812699999
ACH-000683,-0.354733420026
ACH-000684,0.059718852215800006
ACH-000688,-0.133760161412
ACH-000693,-0.290039074275
ACH-000694,-0.33329174359999997
ACH-000695,-0.19373460104200002
ACH-000696,-0.20791989699400001
ACH-000697,-0.442940568005
ACH-000699,-0.25164122039500003
ACH-000701,-0.268897818334
ACH-000706,-0.260115286526
ACH-000711,-0.137861609266
ACH-000713,-0.282914343125
ACH-000714,-0.371077072143
ACH-000718,-0.106604293522
ACH-000720,-0.186443526833
ACH-000721,-0.168374769691
ACH-000724,-0.0993292758265
ACH-000725,-0.155008151799
ACH-000732,-0.37232446738200003
ACH-000734,-0.468103681025
ACH-000735,-0.143732270261
ACH-000736,-0.246783851165
ACH-000738,-0.352024555963
ACH-000746,-0.0398761855775
ACH-000747,-0.230468236366
ACH-000748,-0.12626711819800002
ACH-000753,-0.115376853743
ACH-000756,-0.285414928925
ACH-000757,-0.24164506581
ACH-000758,-0.33828390087099997
ACH-000760,-0.18531397239999997
ACH-000763,-0.298453878849
ACH-000764,-0.288329408749
ACH-000765,-0.30033815716699996
ACH-000766,0.0147172831357
ACH-000767,-0.14007805722
ACH-000768,-0.12997579722000002
ACH-000769,-0.261376815198
ACH-000770,-0.21354944846
ACH-000771,-0.18449464014199998
ACH-000773,-0.24303393864599998
ACH-000776,-0.265649599852
ACH-000777,-0.130849783459
ACH-000778,-0.335062619545
ACH-000781,-0.21899128350000002
ACH-000782,0.0324402696547
ACH-000783,-0.229336143952
ACH-000784,-0.309201136643
ACH-000785,0.0274105727355
ACH-000787,-0.148689531254
ACH-000788,-0.22426500554499998
ACH-000791,-0.183470824842
ACH-000792,-0.25144921467500003
ACH-000794,-0.314812108722
ACH-000796,-0.0860888901209
ACH-000799,-0.108649852405
ACH-000800,-0.10775439047900001
ACH-000802,-0.5653283084849999
ACH-000804,-0.256539641289
ACH-000805,-0.210632336853
ACH-000809,-0.10917386099700001
ACH-000810,-0.607489541715
ACH-000811,0.024885347652699997
ACH-000817,-0.172936622723
ACH-000819,-0.2239499573
ACH-000820,-0.0125362851485
ACH-000821,-0.0046790191980900005
ACH-000822,-0.11120185210999999
ACH-000823,-0.30784507996800003
ACH-000824,-0.04316232183759999
ACH-000827,-0.25893174593199997
ACH-000829,-0.278741944584
ACH-000831,-0.29362676212
ACH-000832,-0.179684407553
ACH-000833,-0.114330041742
ACH-000834,-0.449053347034
ACH-000835,-0.08767676492200001
ACH-000836,-0.24734752809500002
ACH-000837,-0.355203836393
ACH-000838,-0.158032453676
ACH-000839,-0.697997482305
ACH-000840,-0.498954101902
ACH-000841,-0.212149347362
ACH-000843,-0.0754753118045
ACH-000846,0.0197160456656
ACH-000847,-0.124431546299
ACH-000848,-0.272523556539
ACH-000849,-0.038125008466
ACH-000851,-0.20728580570500002
ACH-000855,-0.11150910920499998
ACH-000856,-0.262094799261
ACH-000858,-0.25121519093600003
ACH-000859,0.146375063432
ACH-000861,-0.200608247465
ACH-000862,-0.18199089039799998
ACH-000865,-0.387078826762
ACH-000866,-0.29011026994600003
ACH-000867,-0.166595323043
ACH-000869,-0.0558020027334
ACH-000872,-0.268082605856
ACH-000873,-0.24207256139400002
ACH-000876,-0.22428221739
ACH-000878,-0.0546855824854
ACH-000880,-0.11002466364399999
ACH-000881,-0.307087294145
ACH-000882,-0.244806522005
ACH-000884,-0.133043931808
ACH-000885,-0.197176332022
ACH-000887,-0.271042911098
ACH-000888,-0.265305127851
ACH-000889,-0.0681761111923
ACH-000890,-0.42876018881800004
ACH-000896,-0.317918321655
ACH-000898,-0.130616227955
ACH-000900,-0.524676311582
ACH-000901,-0.399898592325
ACH-000905,-0.08207203425739999
ACH-000906,-0.36956848430399997
ACH-000907,-0.0828766041834
ACH-000910,-0.403095995542
ACH-000911,-0.31891329627799997
ACH-000912,-0.22695301401700002
ACH-000913,-0.106187137532
ACH-000915,-0.0814293488437
ACH-000916,-0.5935328840649999
ACH-000917,-0.5401432136909999
ACH-000921,-0.177100964814
ACH-000924,-0.133951857756
ACH-000926,-0.37970593124799995
ACH-000928,0.0330826424713
ACH-000929,-0.209010717712
ACH-000932,-0.155198933093
ACH-000935,-0.454058631762
ACH-000936,-0.156636226439
ACH-000937,-0.154997521527
ACH-000938,-0.22131223815900003
ACH-000939,-0.41888542650399996
ACH-000941,-0.40554454608
ACH-000943,-0.21265405410100002
ACH-000946,-0.21433801183200002
ACH-000947,-0.170598430453
ACH-000948,-0.311433944064
ACH-000950,-0.293560270131
ACH-000953,-0.0136237551347
ACH-000957,-0.367121432114
ACH-000958,-0.101749937721
ACH-000960,-0.268025221095
ACH-000963,-0.40928999092600005
ACH-000968,-0.30078408823
ACH-000969,-0.327068887683
ACH-000973,-0.187271720116
ACH-000974,-0.200625167919
ACH-000975,-0.00333994640938
ACH-000976,-0.190204098508
ACH-000978,-0.258454334547
ACH-000980,-0.201502418504
ACH-000984,-0.282037476037
ACH-000986,-0.306434216117
ACH-000988,-0.30433659948
ACH-000993,-0.125473624932
ACH-000994,-0.110556441745
ACH-000996,-0.0376327767289
ACH-001001,-0.0812069557991
ACH-001020,-0.19681950903
ACH-001028,-0.106194025097
ACH-001031,-0.00900388935061
ACH-001038,-0.106006559321
ACH-001048,-0.0235065672263
ACH-001050,-0.119104388971
ACH-001053,-0.286221389149
ACH-001054,-0.201265834317
ACH-001061,-0.27542126150199997
ACH-001067,-0.141924811746
ACH-001075,-0.154486291503
ACH-001096,-0.418068843575
ACH-001128,-0.154356736039
ACH-001134,-0.215454459827
ACH-001151,-0.158018321253
ACH-001163,-0.128452035669
ACH-001164,0.050429168972800004
ACH-001173,-0.148724537031
ACH-001183,-0.137996839061
ACH-001184,-0.17393573230700002
ACH-001190,-0.111709114544
ACH-001192,-0.30494257319400003
ACH-001193,-0.278378402074
