,PABPC1L (80336)
ACH-000004,0.13619025402499998
ACH-000007,-0.10831723037
ACH-000009,-0.0829673536834
ACH-000011,-0.0107817386988
ACH-000012,0.101466773686
ACH-000013,0.0768202290907
ACH-000014,-0.0392336329111
ACH-000015,-0.0389351226309
ACH-000017,-0.160437777526
ACH-000018,-0.0160525501969
ACH-000019,-0.020142625404599997
ACH-000021,-0.141596845624
ACH-000022,0.0537468848262
ACH-000025,0.0011526261121500001
ACH-000028,-0.063178534425
ACH-000030,-0.0498513421229
ACH-000035,-0.0904622842092
ACH-000036,0.057987764034500004
ACH-000037,-0.013030349978399998
ACH-000039,0.0632109176361
ACH-000040,0.11253565637499999
ACH-000041,0.0379614507468
ACH-000042,-0.24728720431999995
ACH-000045,-0.14079600565300002
ACH-000047,-0.150601316743
ACH-000052,-0.0644655931944
ACH-000053,0.07801252942419999
ACH-000054,-0.0563988494126
ACH-000055,-0.07357953169039999
ACH-000060,0.13948433678799999
ACH-000067,0.0314626460743
ACH-000070,-0.053524157897600004
ACH-000075,0.154741058729
ACH-000078,0.056915710411099996
ACH-000082,0.17258546147700002
ACH-000085,0.04731222302469999
ACH-000086,-0.269429922021
ACH-000087,0.19562601914
ACH-000092,-0.0367096346015
ACH-000095,0.044024431195
ACH-000097,-0.192174278498
ACH-000098,-0.00871623284345
ACH-000099,0.0440892653485
ACH-000108,-0.106435630404
ACH-000113,0.0750545078989
ACH-000115,0.05858336090480001
ACH-000116,-0.0779692618864
ACH-000118,-0.109570732027
ACH-000120,0.13967174135399998
ACH-000123,0.11322021919000001
ACH-000127,0.0048248658441300005
ACH-000128,-0.11892855067399999
ACH-000132,0.06915190730569999
ACH-000133,-0.1533352245
ACH-000137,-0.0220903711064
ACH-000138,0.042569374846299995
ACH-000142,-0.0190274455388
ACH-000143,0.028560993061700003
ACH-000146,0.013855857723700002
ACH-000148,-0.07717705026110001
ACH-000150,0.121587277927
ACH-000152,-0.10426075279899999
ACH-000153,0.213085658598
ACH-000159,-0.048987186388999994
ACH-000160,-0.0313132364674
ACH-000163,0.05684521302
ACH-000167,-0.022338796575099996
ACH-000168,-0.011186996166100001
ACH-000169,-0.135896689479
ACH-000178,0.0211748295245
ACH-000182,-0.10925915875999999
ACH-000183,0.037821177577199994
ACH-000188,0.127943235232
ACH-000189,0.00593888486745
ACH-000190,-0.00285416779697
ACH-000198,0.108471030996
ACH-000204,-0.130652063031
ACH-000206,0.155960244602
ACH-000207,-0.115683331241
ACH-000211,0.0330993835146
ACH-000215,0.0192304684186
ACH-000221,-0.11592813910999998
ACH-000222,-0.432485572277
ACH-000223,0.08913172212880001
ACH-000226,0.00977822954967
ACH-000227,0.135774162603
ACH-000228,0.0439219430874
ACH-000231,-0.044637618918000006
ACH-000232,-0.07788989761250001
ACH-000233,-0.110643475494
ACH-000234,-0.174703851175
ACH-000235,-0.0727627551522
ACH-000237,0.017943109755
ACH-000238,-0.154799631852
ACH-000243,-0.0781566064695
ACH-000244,-0.045454198227399996
ACH-000246,-0.052405474075800006
ACH-000248,-0.174359631747
ACH-000250,0.0442491030239
ACH-000251,-0.108019942425
ACH-000253,0.128158479856
ACH-000255,-0.0491236011876
ACH-000256,0.045268152777000005
ACH-000257,0.130415239996
ACH-000258,-0.134660399806
ACH-000259,-0.09063229218
ACH-000260,-0.06618644450899999
ACH-000261,-0.11578219390799999
ACH-000262,-0.141372114636
ACH-000263,-0.326701888131
ACH-000264,-0.0766071275243
ACH-000265,-0.0415248374626
ACH-000266,-0.0941471504753
ACH-000272,-0.07442384361860001
ACH-000273,-0.020956543700700003
ACH-000274,-0.07582409026060001
ACH-000277,-0.166255137148
ACH-000278,-0.00222030058725
ACH-000279,0.0485702678584
ACH-000280,-0.130430974441
ACH-000281,-0.070001021125
ACH-000288,0.0644835672804
ACH-000291,-0.040530214019400004
ACH-000293,0.105444471412
ACH-000294,-0.125106802712
ACH-000295,0.0952846312641
ACH-000296,-0.15918503828
ACH-000302,-0.0585249143246
ACH-000304,-0.044940074051400006
ACH-000307,-0.07532673986610001
ACH-000308,-0.0628107267382
ACH-000310,0.0792202392171
ACH-000311,-0.164543017252
ACH-000312,-0.31881489104899996
ACH-000315,-0.0337923977154
ACH-000316,0.0745705753363
ACH-000317,-0.140728652743
ACH-000318,-0.0387542469294
ACH-000319,-0.0837752893597
ACH-000320,-0.285319311335
ACH-000322,-0.325717846258
ACH-000323,0.150311276987
ACH-000324,-0.07729599885139998
ACH-000329,0.0821724589833
ACH-000330,-0.19513070261100002
ACH-000331,0.10518246644899999
ACH-000332,-0.0663414013859
ACH-000334,0.207029383239
ACH-000335,0.00935787575243
ACH-000336,-0.13270092633799999
ACH-000337,0.151661925835
