,DepMap_ID
5321,ACH-000017
15841,ACH-000044
50993,ACH-000165
53194,ACH-000174
58290,ACH-000193
58504,ACH-000194
68644,ACH-000225
75407,ACH-000248
92551,ACH-000301
106710,ACH-000340
156716,ACH-000470
169337,ACH-000503
191852,ACH-000557
212601,ACH-000603
231235,ACH-000641
242747,ACH-000664
251189,ACH-000679
259147,ACH-000695
263358,ACH-000702
292857,ACH-000757
299544,ACH-000768
310440,ACH-000783
323768,ACH-000786
323769,ACH-000786
323770,ACH-000786
323771,ACH-000786
323772,ACH-000786
350955,ACH-000790
384119,ACH-000833
389213,ACH-000841
408435,ACH-000864
428576,ACH-000882
451044,ACH-000901
452484,ACH-000903
457603,ACH-000908
463711,ACH-000912
467093,ACH-000914
469106,ACH-000915
472746,ACH-000917
476078,ACH-000919
481784,ACH-000921
481785,ACH-000921
483681,ACH-000922
485114,ACH-000923
491528,ACH-000927
516243,ACH-000938
552128,ACH-000951
568826,ACH-000956
578402,ACH-000959
578403,ACH-000959
605316,ACH-000967
605317,ACH-000967
605318,ACH-000967
609089,ACH-000968
612387,ACH-000969
616748,ACH-000970
616749,ACH-000970
616750,ACH-000970
624836,ACH-000972
624837,ACH-000972
631976,ACH-000974
705642,ACH-000988
721852,ACH-000990
721853,ACH-000990
733742,ACH-000991
761357,ACH-000992
761358,ACH-000992
761359,ACH-000992
761360,ACH-000992
761361,ACH-000992
761362,ACH-000992
761363,ACH-000992
761364,ACH-000992
761365,ACH-000992
817414,ACH-000994
817415,ACH-000994
835855,ACH-000996
846748,ACH-000997
857275,ACH-000998
872477,ACH-000999
872478,ACH-000999
872479,ACH-000999
925653,ACH-001127
925654,ACH-001127
941686,ACH-001189
945442,ACH-001199
948393,ACH-001203
948394,ACH-001203
954987,ACH-001277
962661,ACH-001333
1004675,ACH-001484
1005773,ACH-001485
1018291,ACH-001523
1046959,ACH-001610
1090219,ACH-002077
1090220,ACH-002077
1091801,ACH-002092
1104835,ACH-002139
1115891,ACH-002164
1117529,ACH-002166
1138358,ACH-002213
1164909,ACH-002256
1192324,ACH-002300
1194087,ACH-002305
1197027,ACH-002309
1208118,ACH-002341
1212879,ACH-002356
1213177,ACH-002358
1219674,ACH-002388
