,DepMap_ID
21278,ACH-000065
38339,ACH-000115
42081,ACH-000131
50198,ACH-000162
77925,ACH-000255
138310,ACH-000424
149828,ACH-000452
152068,ACH-000458
199553,ACH-000574
225461,ACH-000631
231109,ACH-000641
241474,ACH-000662
269954,ACH-000715
288010,ACH-000749
310998,ACH-000784
317258,ACH-000786
317259,ACH-000786
317260,ACH-000786
317261,ACH-000786
317262,ACH-000786
367656,ACH-000812
398273,ACH-000852
443604,ACH-000895
485974,ACH-000924
529050,ACH-000943
564802,ACH-000955
571200,ACH-000957
616064,ACH-000970
631166,ACH-000974
652506,ACH-000979
659953,ACH-000981
689604,ACH-000986
689605,ACH-000986
719411,ACH-000990
719412,ACH-000990
749510,ACH-000992
749511,ACH-000992
749512,ACH-000992
749513,ACH-000992
749514,ACH-000992
749515,ACH-000992
749516,ACH-000992
749517,ACH-000992
749518,ACH-000992
749519,ACH-000992
815680,ACH-000994
844926,ACH-000997
867943,ACH-000999
903294,ACH-001067
903295,ACH-001067
923275,ACH-001125
968436,ACH-001345
975631,ACH-001354
977334,ACH-001362
988765,ACH-001385
1101323,ACH-002121
1104800,ACH-002139
1124034,ACH-002176
1226822,ACH-002397
