,DepMap_ID
7356,ACH-000022
7643,ACH-000023
28083,ACH-000070
38013,ACH-000113
39837,ACH-000121
43201,ACH-000135
48169,ACH-000155
55175,ACH-000181
78147,ACH-000255
82086,ACH-000267
88055,ACH-000287
91168,ACH-000296
104909,ACH-000334
108411,ACH-000345
113949,ACH-000358
120597,ACH-000377
125897,ACH-000391
129529,ACH-000400
135569,ACH-000416
164249,ACH-000488
164735,ACH-000489
168359,ACH-000500
170172,ACH-000505
178605,ACH-000524
185227,ACH-000543
220266,ACH-000619
231548,ACH-000641
234035,ACH-000647
236147,ACH-000651
259313,ACH-000695
271885,ACH-000718
279376,ACH-000732
293141,ACH-000757
293142,ACH-000757
293143,ACH-000757
298532,ACH-000766
310053,ACH-000782
339374,ACH-000786
339375,ACH-000786
339376,ACH-000786
356753,ACH-000798
359304,ACH-000801
369662,ACH-000814
372893,ACH-000818
390386,ACH-000842
395175,ACH-000847
399082,ACH-000852
430472,ACH-000883
438167,ACH-000889
461201,ACH-000910
462734,ACH-000911
471908,ACH-000916
473398,ACH-000917
473399,ACH-000917
477225,ACH-000919
494436,ACH-000928
499815,ACH-000930
499816,ACH-000930
503232,ACH-000932
514351,ACH-000937
514352,ACH-000937
517416,ACH-000938
517417,ACH-000938
519937,ACH-000939
522990,ACH-000940
545160,ACH-000948
550509,ACH-000950
558478,ACH-000953
558479,ACH-000953
558480,ACH-000953
563131,ACH-000954
576634,ACH-000958
582480,ACH-000960
585960,ACH-000961
589330,ACH-000962
593267,ACH-000963
599236,ACH-000965
599237,ACH-000965
603150,ACH-000966
607313,ACH-000967
618583,ACH-000970
618584,ACH-000970
622795,ACH-000971
622796,ACH-000971
630009,ACH-000973
634040,ACH-000974
638655,ACH-000976
679939,ACH-000984
694359,ACH-000986
694360,ACH-000986
701812,ACH-000987
701813,ACH-000987
701814,ACH-000987
716173,ACH-000989
716174,ACH-000989
716175,ACH-000989
716176,ACH-000989
716177,ACH-000989
728118,ACH-000990
738108,ACH-000991
791874,ACH-000992
822219,ACH-000994
830842,ACH-000995
830843,ACH-000995
851901,ACH-000997
862279,ACH-000998
862280,ACH-000998
885125,ACH-000999
885126,ACH-000999
885127,ACH-000999
892544,ACH-001021
894650,ACH-001028
906716,ACH-001067
915380,ACH-001081
929149,ACH-001127
937471,ACH-001145
946954,ACH-001199
946955,ACH-001199
952687,ACH-001233
975571,ACH-001353
984352,ACH-001369
985740,ACH-001375
989981,ACH-001390
990835,ACH-001394
991924,ACH-001399
996930,ACH-001412
1003012,ACH-001454
1008016,ACH-001494
1014950,ACH-001517
1014951,ACH-001517
1021235,ACH-001529
1026972,ACH-001549
1031530,ACH-001550
1039633,ACH-001567
1040834,ACH-001568
1049527,ACH-001610
1063315,ACH-001674
1068024,ACH-001735
1068025,ACH-001735
1071486,ACH-001738
1075026,ACH-001796
1075027,ACH-001796
1088749,ACH-002059
1088750,ACH-002059
1088751,ACH-002059
1089590,ACH-002062
1095480,ACH-002099
1115505,ACH-002163
1116049,ACH-002164
1123734,ACH-002175
1127527,ACH-002180
1146119,ACH-002222
1148555,ACH-002229
1168866,ACH-002256
1183496,ACH-002281
1184489,ACH-002283
1187961,ACH-002287
1189219,ACH-002289
1193273,ACH-002302
1202079,ACH-002311
1203647,ACH-002315
1204789,ACH-002317
1209286,ACH-002341
1218466,ACH-002384
