,DepMap_ID
5860,ACH-000018
17295,ACH-000050
30109,ACH-000079
30658,ACH-000082
38251,ACH-000114
38252,ACH-000114
54399,ACH-000178
60982,ACH-000201
61674,ACH-000203
78418,ACH-000256
79117,ACH-000258
79454,ACH-000259
80371,ACH-000262
87703,ACH-000286
90008,ACH-000293
90639,ACH-000295
101232,ACH-000322
101522,ACH-000323
109701,ACH-000348
121387,ACH-000379
127143,ACH-000394
137729,ACH-000422
150088,ACH-000452
150926,ACH-000454
154782,ACH-000465
165990,ACH-000492
171158,ACH-000507
171159,ACH-000507
171721,ACH-000508
177196,ACH-000521
186857,ACH-000546
194080,ACH-000561
199851,ACH-000574
201851,ACH-000579
206891,ACH-000589
208809,ACH-000594
215370,ACH-000608
225268,ACH-000630
226277,ACH-000632
240256,ACH-000659
240779,ACH-000660
247161,ACH-000671
268457,ACH-000712
275958,ACH-000726
277420,ACH-000728
291391,ACH-000754
299220,ACH-000767
303925,ACH-000775
309300,ACH-000781
350463,ACH-000789
356001,ACH-000796
356002,ACH-000796
356757,ACH-000798
367329,ACH-000811
374450,ACH-000820
377964,ACH-000824
382389,ACH-000830
383198,ACH-000831
391470,ACH-000843
393542,ACH-000845
396200,ACH-000848
402613,ACH-000856
402614,ACH-000856
402615,ACH-000856
411159,ACH-000866
414884,ACH-000870
414885,ACH-000870
429361,ACH-000882
436839,ACH-000888
442581,ACH-000893
447921,ACH-000898
450492,ACH-000900
468170,ACH-000914
468171,ACH-000914
471912,ACH-000916
473403,ACH-000917
474992,ACH-000918
482764,ACH-000921
489250,ACH-000925
499820,ACH-000930
499821,ACH-000930
506918,ACH-000934
517426,ACH-000938
519942,ACH-000939
522994,ACH-000940
522995,ACH-000940
522996,ACH-000940
531946,ACH-000943
531947,ACH-000943
531948,ACH-000943
539598,ACH-000946
542229,ACH-000947
567126,ACH-000955
573121,ACH-000957
576640,ACH-000958
579750,ACH-000959
582488,ACH-000960
585964,ACH-000961
585965,ACH-000961
589338,ACH-000962
603156,ACH-000966
614684,ACH-000969
626814,ACH-000972
626815,ACH-000972
655286,ACH-000979
686907,ACH-000985
686908,ACH-000985
686909,ACH-000985
686910,ACH-000985
686911,ACH-000985
686912,ACH-000985
686913,ACH-000985
694378,ACH-000986
701842,ACH-000987
709021,ACH-000988
716190,ACH-000989
716191,ACH-000989
716192,ACH-000989
716193,ACH-000989
716194,ACH-000989
716195,ACH-000989
716196,ACH-000989
716197,ACH-000989
738121,ACH-000991
738122,ACH-000991
738123,ACH-000991
812503,ACH-000993
812504,ACH-000993
822223,ACH-000994
830853,ACH-000995
851925,ACH-000997
885177,ACH-000999
885178,ACH-000999
885179,ACH-000999
885180,ACH-000999
897714,ACH-001049
899293,ACH-001060
908369,ACH-001068
915389,ACH-001081
937477,ACH-001145
937478,ACH-001145
951322,ACH-001212
955969,ACH-001283
956380,ACH-001295
956381,ACH-001295
956597,ACH-001300
959930,ACH-001321
963972,ACH-001333
963973,ACH-001333
973105,ACH-001345
985500,ACH-001374
989424,ACH-001386
1021236,ACH-001529
1022842,ACH-001536
1023614,ACH-001540
1031554,ACH-001550
1031555,ACH-001550
1031556,ACH-001550
1034956,ACH-001552
1039639,ACH-001567
1043989,ACH-001599
1045073,ACH-001606
1071492,ACH-001738
1075651,ACH-001820
1086716,ACH-002052
1088755,ACH-002059
1091682,ACH-002091
1097202,ACH-002103
1108250,ACH-002147
1108251,ACH-002147
1108733,ACH-002148
1115510,ACH-002163
1116472,ACH-002165
1119038,ACH-002166
1134647,ACH-002199
1146131,ACH-002222
1146132,ACH-002222
1148842,ACH-002230
1161680,ACH-002253
1168882,ACH-002256
1171448,ACH-002258
1180902,ACH-002275
1200001,ACH-002309
1200002,ACH-002309
1200003,ACH-002309
1200004,ACH-002309
1200005,ACH-002309
1200006,ACH-002309
1206528,ACH-002338
1209293,ACH-002341
1210007,ACH-002342
1220232,ACH-002388
1222842,ACH-002395
