,PCDHGA8 (9708)
ACH-000004,-0.133310603529
ACH-000007,-0.240005019269
ACH-000009,-0.13748326085
ACH-000011,-0.107986915694
ACH-000012,-0.040633907653800004
ACH-000013,-0.0398906998459
ACH-000014,-0.290579059017
ACH-000015,-0.163261950494
ACH-000017,0.00481698320644
ACH-000018,-0.139052351442
ACH-000019,-0.195234347533
ACH-000021,-0.0476303524433
ACH-000022,-0.0408823194109
ACH-000025,-0.038799606127300004
ACH-000028,-0.0979181805109
ACH-000030,-0.0372265328851
ACH-000035,0.245105749348
ACH-000036,0.010271512095299999
ACH-000037,-0.12436104318800001
ACH-000039,-0.06137067304140001
ACH-000040,-0.167853879303
ACH-000041,0.07631725406489999
ACH-000042,0.0240168082062
ACH-000045,-0.16805962085499998
ACH-000047,-0.24361260171799998
ACH-000052,0.18976108202199998
ACH-000053,0.00144004576126
ACH-000054,-0.11713081110200001
ACH-000055,-0.11268753498299999
ACH-000060,-0.039819343629
ACH-000067,0.026526829666300003
ACH-000070,0.155537023513
ACH-000075,-0.08753932238769999
ACH-000078,-0.269509661719
ACH-000082,-0.0257316320441
ACH-000085,-0.0274365851143
ACH-000086,-0.0646967418607
ACH-000087,0.171310974909
ACH-000092,-0.00218796309091
ACH-000095,-0.022882308031900004
ACH-000097,0.0475075029025
ACH-000098,-0.139816070162
ACH-000099,-0.134326574297
ACH-000108,-0.17700494633299999
ACH-000113,0.05455402436390001
ACH-000115,-0.142053269646
ACH-000116,-0.00518834733478
ACH-000118,0.0765551545016
ACH-000120,0.101138582256
ACH-000123,0.0372821116191
ACH-000127,-0.111083316601
ACH-000128,-0.0661432091116
ACH-000132,-0.0282139391703
ACH-000133,-0.0350098932065
ACH-000137,0.11959506905999999
ACH-000138,-0.211714592615
ACH-000142,-0.104610923939
ACH-000143,-0.0938048462877
ACH-000146,-0.07354410277630001
ACH-000148,-0.056893970720699995
ACH-000150,-0.20645840149300002
ACH-000152,0.08532612965880002
ACH-000153,0.0281176270967
ACH-000159,-0.20601040217900002
ACH-000160,-0.136177237501
ACH-000163,0.104782273901
ACH-000167,-0.298274157919
ACH-000168,-0.12400353740900001
ACH-000169,-0.0149312441732
ACH-000178,-0.00846646954769
ACH-000182,-0.215169798829
ACH-000183,0.0335441556404
ACH-000188,-0.0250876861949
ACH-000189,0.07998888672889999
ACH-000190,0.118905383358
ACH-000198,0.06333721804409999
ACH-000204,-0.0524970508411
ACH-000206,0.08537626111580002
ACH-000207,0.167351175392
ACH-000211,-0.0772297475396
ACH-000215,-0.0477612983482
ACH-000221,-0.152116081992
ACH-000222,0.167106699856
ACH-000223,0.0204149970315
ACH-000226,-0.09054180297560001
ACH-000227,-0.111942171496
ACH-000228,0.118324470065
ACH-000231,-0.0185561366589
ACH-000232,-0.10405158626800001
ACH-000233,-0.07100728571050001
ACH-000234,0.05821091574580001
ACH-000235,-0.010419636757900001
ACH-000237,0.00944063514762
ACH-000238,0.0468917799878
ACH-000243,-0.09777063532430001
ACH-000244,0.22531507716999996
ACH-000246,-0.06464299090919999
ACH-000248,0.172704913765
ACH-000250,-0.203500926516
ACH-000251,0.11052330707800001
ACH-000253,-0.0476446742208
ACH-000255,-0.000733451491042
ACH-000256,0.05378792652890001
ACH-000257,-0.072513844346
ACH-000258,0.160623719989
ACH-000259,-0.0135004267926
ACH-000260,-0.110919657652
ACH-000261,-0.142587812382
ACH-000262,-0.240317001134
ACH-000263,-0.15341048311
ACH-000264,-0.051785179936800006
ACH-000265,0.11030930225600001
ACH-000266,-0.111883169674
ACH-000272,-0.025151185672400003
ACH-000273,-0.012985009205799999
ACH-000274,-0.07575374050410001
ACH-000277,0.00521754194538
ACH-000278,-0.0476352593894
ACH-000279,-0.045446326628199994
ACH-000280,0.0293748771819
ACH-000281,-0.027580796310400002
ACH-000288,-0.0534403086874
ACH-000291,-0.164815177588
ACH-000293,-0.210142370298
ACH-000294,-0.05799783753980001
ACH-000295,0.142335466872
ACH-000296,0.0610076541591
ACH-000302,-0.07637857400550001
ACH-000304,-0.387987919915
ACH-000307,-0.212115157819
ACH-000308,-0.11972143736199999
ACH-000310,-0.22995586582400002
ACH-000311,0.022477775062199997
ACH-000312,-0.149476335208
ACH-000315,0.121591128287
ACH-000316,-0.012942731138299999
ACH-000317,0.11904618661699999
ACH-000318,-0.08487888249560001
ACH-000319,-0.047515885242
ACH-000320,0.0992428724714
ACH-000322,-0.211425466599
ACH-000323,0.0269690669126
ACH-000324,0.023960572382900003
ACH-000329,-0.0359507481878
ACH-000330,0.047100506767499994
ACH-000331,-0.073645516517
ACH-000332,0.0316461599272
ACH-000334,-0.0726393364751
ACH-000335,-0.127177189118
ACH-000336,0.0635753281827
ACH-000337,-0.243490939597
ACH-000339,-0.0631166914887
ACH-000341,-0.215403386
ACH-000348,-0.136079569
ACH-000350,-0.398561992012
ACH-000352,-0.134657486104
ACH-000356,-0.0628697041735
ACH-000361,-0.09998456594730001
ACH-000362,-0.101663491392
ACH-000363,-0.076635767346
ACH-000364,-0.0535809351179
ACH-000365,0.046576779874300006
ACH-000366,-0.05124962342540001
ACH-000368,0.0871514449474
ACH-000374,-0.14922957969200001
ACH-000375,0.09653071816549999
ACH-000376,-0.0727567151637
ACH-000381,-0.0718505367957
ACH-000383,-0.0578254148274
ACH-000387,-0.08600688942469999
ACH-000389,0.0493069608684
ACH-000390,-0.143226371796
ACH-000393,-0.245815261855
ACH-000395,-0.37648191307400003
ACH-000397,-0.269681415723
ACH-000401,-0.260017738371
ACH-000402,-0.13367477707699998
ACH-000403,-0.178370105128
ACH-000404,-0.255973616531
ACH-000406,-0.0806706081553
ACH-000407,-0.0348145036228
ACH-000408,0.0629623316506
ACH-000410,0.00982418154824
ACH-000411,-0.147066067596
ACH-000414,0.0804036459225
ACH-000415,-0.0463912534369
ACH-000416,0.0146236997127
ACH-000420,-0.0878550976357
ACH-000421,-0.06830185597459999
ACH-000424,-0.0258575967624
ACH-000425,-0.15319207580299998
ACH-000426,0.08860210111360001
ACH-000427,-0.0625177136792
ACH-000433,-0.251056602821
ACH-000436,-0.07128621736839999
ACH-000444,-0.251083258009
ACH-000445,-0.0628236935754
ACH-000448,-0.00929917976886
ACH-000450,-0.342484023727
ACH-000452,0.03981081261680001
ACH-000454,-0.0780950039396
ACH-000458,-0.0389197538288
ACH-000459,0.12337579314899999
ACH-000460,-0.183695505964
ACH-000461,-0.012710050818799999
ACH-000463,-0.323682905706
ACH-000464,-0.269335316763
ACH-000466,-0.17327515529100002
ACH-000467,-0.0705128169138
ACH-000468,0.028995232927200004
ACH-000469,-0.00185332160393
ACH-000470,-0.0212061089194
ACH-000471,-0.07258288536589999
ACH-000472,-0.055827954409800006
ACH-000473,-0.0131819054125
ACH-000475,0.0129789610534
ACH-000476,-0.21779644759300001
ACH-000477,0.0990534153744
ACH-000480,-0.16830077171900001
ACH-000481,0.105499658599
ACH-000483,-0.0675963481194
ACH-000484,-0.164681234576
ACH-000485,-0.0044308755449700005
ACH-000486,0.056614130212699995
ACH-000487,-0.0598495366999
ACH-000488,-0.0891010884022
ACH-000490,-0.12298309185100001
ACH-000491,0.0325653973942
ACH-000495,-0.0542063317519
ACH-000496,0.0752692123588
ACH-000499,0.0065382004170599995
ACH-000500,-0.45477862888899995
ACH-000502,0.019682501165900004
ACH-000503,-0.10013376746099999
ACH-000505,-0.09893691164830001
ACH-000507,-0.206695546198
