,DepMap_ID
19296,ACH-000059
19297,ACH-000059
22091,ACH-000065
59060,ACH-000196
88772,ACH-000290
142002,ACH-000432
162301,ACH-000484
200714,ACH-000577
204399,ACH-000585
225521,ACH-000631
240549,ACH-000660
242720,ACH-000664
250662,ACH-000678
259518,ACH-000696
259519,ACH-000696
265884,ACH-000706
298178,ACH-000766
321895,ACH-000786
321896,ACH-000786
321897,ACH-000786
321898,ACH-000786
321899,ACH-000786
321900,ACH-000786
321901,ACH-000786
321902,ACH-000786
351853,ACH-000791
352603,ACH-000792
394678,ACH-000847
399756,ACH-000853
402070,ACH-000856
402071,ACH-000856
437553,ACH-000889
443835,ACH-000895
455181,ACH-000906
478593,ACH-000920
481702,ACH-000921
483603,ACH-000922
488208,ACH-000925
488209,ACH-000925
493125,ACH-000928
495682,ACH-000929
504280,ACH-000933
511695,ACH-000937
529706,ACH-000943
548877,ACH-000950
554589,ACH-000952
565261,ACH-000955
568696,ACH-000956
584066,ACH-000961
591217,ACH-000963
591218,ACH-000963
597464,ACH-000965
601014,ACH-000966
601015,ACH-000966
612161,ACH-000969
620583,ACH-000971
646491,ACH-000978
660673,ACH-000981
660674,ACH-000981
666622,ACH-000982
666623,ACH-000982
690673,ACH-000986
690674,ACH-000986
690675,ACH-000986
705320,ACH-000988
721162,ACH-000990
721163,ACH-000990
721164,ACH-000990
733312,ACH-000991
758497,ACH-000992
758498,ACH-000992
758499,ACH-000992
758500,ACH-000992
758501,ACH-000992
758502,ACH-000992
758503,ACH-000992
758504,ACH-000992
758505,ACH-000992
758506,ACH-000992
758507,ACH-000992
758508,ACH-000992
758509,ACH-000992
758510,ACH-000992
758511,ACH-000992
758512,ACH-000992
758513,ACH-000992
758514,ACH-000992
758515,ACH-000992
758516,ACH-000992
758517,ACH-000992
758518,ACH-000992
758519,ACH-000992
758520,ACH-000992
758521,ACH-000992
758522,ACH-000992
758523,ACH-000992
758524,ACH-000992
758525,ACH-000992
758526,ACH-000992
758527,ACH-000992
758528,ACH-000992
758529,ACH-000992
758530,ACH-000992
758531,ACH-000992
758532,ACH-000992
808466,ACH-000993
816991,ACH-000994
835310,ACH-000996
835311,ACH-000996
846306,ACH-000997
856762,ACH-000998
856763,ACH-000998
856764,ACH-000998
871344,ACH-000999
871345,ACH-000999
871346,ACH-000999
871347,ACH-000999
911262,ACH-001081
925414,ACH-001127
931359,ACH-001132
941108,ACH-001184
945314,ACH-001199
962559,ACH-001333
965893,ACH-001338
969373,ACH-001345
980931,ACH-001366
982825,ACH-001369
986366,ACH-001377
986367,ACH-001377
990943,ACH-001396
1017822,ACH-001522
1017823,ACH-001522
1019392,ACH-001525
1028625,ACH-001550
1041976,ACH-001570
1043191,ACH-001591
1057481,ACH-001650
1061918,ACH-001656
1065206,ACH-001709
1065207,ACH-001709
1068964,ACH-001737
1070532,ACH-001738
1078173,ACH-001856
1094542,ACH-002098
1098788,ACH-002111
1106460,ACH-002144
1120413,ACH-002169
1138342,ACH-002213
1139139,ACH-002215
1139140,ACH-002215
1143342,ACH-002222
1148272,ACH-002228
1153900,ACH-002238
1172794,ACH-002262
1174276,ACH-002265
1179435,ACH-002274
1186481,ACH-002287
1190202,ACH-002293
1190786,ACH-002295
1192991,ACH-002302
1196763,ACH-002309
1210293,ACH-002344
1216556,ACH-002374
