,PIM1 (5292)
ACH-000004,0.0962719666667
ACH-000007,0.106905580989
ACH-000009,0.143229326929
ACH-000011,0.223813764614
ACH-000012,0.18388946014899998
ACH-000013,0.12163082222999999
ACH-000014,0.13968247112999999
ACH-000015,0.136734800667
ACH-000017,0.10369152382
ACH-000018,0.170216453061
ACH-000019,0.126648238271
ACH-000021,0.307156966153
ACH-000022,0.0751006031199
ACH-000025,0.0290011824811
ACH-000028,0.288263189371
ACH-000030,0.138911756813
ACH-000035,0.0346818502503
ACH-000036,0.034710720921
ACH-000037,0.113560538857
ACH-000039,-0.12618647181700002
ACH-000040,0.173453180491
ACH-000041,0.19473266153000002
ACH-000042,-0.006071114176520001
ACH-000045,0.110766629363
ACH-000047,0.0861067095153
ACH-000052,0.107761781396
ACH-000053,0.0727889871276
ACH-000054,0.0709629621304
ACH-000055,0.30695600223700004
ACH-000060,-0.110840642859
ACH-000067,-0.155065899826
ACH-000070,0.22220179666200002
ACH-000075,-0.0380601959447
ACH-000078,0.116822142003
ACH-000082,0.09877015936200001
ACH-000085,0.279132553259
ACH-000086,0.0726763707793
ACH-000087,0.267823202518
ACH-000092,0.0958905742692
ACH-000095,-0.0792084798195
ACH-000097,0.133060314313
ACH-000098,-0.13159364152699998
ACH-000099,-0.00512167762907
ACH-000108,0.197276159898
ACH-000113,0.049969792146199996
ACH-000115,-0.224305074958
ACH-000116,0.040249417292199996
ACH-000118,0.19105840095100002
ACH-000120,0.187704782095
ACH-000123,-0.323226161305
ACH-000127,0.06885718868530001
ACH-000128,-0.0169960502776
ACH-000132,0.157577224644
ACH-000133,-0.0393320690836
ACH-000137,0.009875592047719999
ACH-000138,0.21107669719900002
ACH-000142,-0.053398691747199994
ACH-000143,0.158764526186
ACH-000146,0.23430638786999997
ACH-000148,0.18676835642
ACH-000150,0.38398368664300003
ACH-000152,0.259868361294
ACH-000153,-0.112784140014
ACH-000159,0.0246140656555
ACH-000160,0.524575344949
ACH-000163,0.157241228861
ACH-000167,0.712986678785
ACH-000168,-0.18608125927400002
ACH-000169,-0.035087225967699996
ACH-000178,0.0959180552667
ACH-000182,0.23362328006900002
ACH-000183,0.0885984848077
ACH-000188,0.23004997635699997
ACH-000189,0.0812219422392
ACH-000190,0.39407731880999997
ACH-000198,-0.533659620269
ACH-000204,0.0437125056509
ACH-000206,0.187682822489
ACH-000207,0.0204200222205
ACH-000211,0.14768739195900002
ACH-000215,0.0406853343229
ACH-000221,0.20088297924600002
ACH-000222,0.103091491664
ACH-000223,0.19961333967
ACH-000226,0.325951997655
ACH-000227,0.0330005005797
ACH-000228,0.17729024305399999
ACH-000231,0.000625213172481
ACH-000232,0.13347952360999998
ACH-000233,0.20214980155099999
ACH-000234,0.19758552422200001
ACH-000235,0.147572931805
ACH-000237,0.266535851642
ACH-000238,0.124904299879
ACH-000243,0.226823431883
ACH-000244,0.013036384678499999
ACH-000246,0.130660286195
ACH-000248,0.157947890354
ACH-000250,0.138976671063
ACH-000251,0.327560597973
ACH-000253,0.10442599729499999
ACH-000255,0.177941621022
ACH-000256,0.053278436707699994
ACH-000257,0.142964622398
ACH-000258,0.100293324614
ACH-000259,-0.0369240031309
ACH-000260,0.08228171889380001
ACH-000261,0.07667210839329999
ACH-000262,-0.490548001898
ACH-000263,0.0708011280053
ACH-000264,0.0386728491925
ACH-000265,0.186609703884
ACH-000266,0.15649461602700002
ACH-000272,-0.21292134247400002
ACH-000273,0.143722077378
ACH-000274,0.141186956446
ACH-000277,0.057334277183
ACH-000278,0.108120939666
ACH-000279,0.14648667337000001
ACH-000280,-0.13223436043
ACH-000281,0.11048104831599999
ACH-000288,0.102508414558
ACH-000291,0.0405715084968
ACH-000293,0.126396756335
ACH-000294,0.265652889279
ACH-000295,-0.39488693710699996
ACH-000296,-0.0011690592503299999
ACH-000302,0.0014920460799700002
ACH-000304,0.15392546596200002
ACH-000307,0.129688880531
ACH-000308,0.21588338295200002
ACH-000310,0.20579641127599999
ACH-000311,0.16606217395700001
ACH-000312,-0.165276919582
ACH-000315,0.007685790272699999
ACH-000316,0.203884392021
ACH-000317,-0.11633051540400001
ACH-000318,0.366856877113
ACH-000319,0.22162019860999999
ACH-000320,0.319285270803
ACH-000322,0.169500627711
ACH-000323,0.252852470181
ACH-000324,0.0655304857061
ACH-000329,0.235768905984
ACH-000330,0.381525831955
ACH-000331,0.0410230413942
ACH-000332,0.0747401751845
ACH-000334,0.00861741465863
ACH-000335,0.018432065969700002
ACH-000336,-0.104540487422
ACH-000337,-0.123018856756
ACH-000339,0.21379557153
ACH-000341,-0.20970910364999998
ACH-000348,0.19609235035999997
ACH-000350,-0.00838296739763
ACH-000352,0.0477946720742
ACH-000356,0.00797734791266
ACH-000361,0.21650358720899998
ACH-000362,-0.186465067217
ACH-000363,-0.0603162895641
ACH-000364,0.010529472871299999
ACH-000365,0.045666317255600004
ACH-000366,-0.442752351212
ACH-000368,0.0764296988221
ACH-000374,0.06404326838999999
ACH-000375,-0.0372935203126
ACH-000376,0.180679649815
ACH-000381,0.151497722103
ACH-000383,0.159380419686
ACH-000387,-0.000307112564321
ACH-000389,0.0294871380883
ACH-000390,-0.0181445716464
ACH-000393,-0.116320394337
ACH-000395,-0.279534754481
ACH-000397,0.013314707815
ACH-000401,0.133517849694
ACH-000402,0.049959088621100003
ACH-000403,0.15245234773299998
ACH-000404,-0.126535828092
ACH-000406,0.15547171619300001
ACH-000407,0.06555967053180001
ACH-000408,0.219993373395
ACH-000410,0.0723569211525
ACH-000411,0.18133672066
ACH-000414,0.227174645502
ACH-000415,0.09910824320900001
ACH-000416,0.0646730710989
ACH-000420,-0.00228825002087
ACH-000421,0.17184881619399997
ACH-000424,0.07291679477639999
ACH-000425,0.166063923215
ACH-000426,-0.163876338349
ACH-000427,0.41550319530100005
ACH-000433,0.12132181341600001
ACH-000436,0.11275861330499999
ACH-000444,0.102047845373
ACH-000445,0.22881250306200002
ACH-000448,0.18049916979800001
ACH-000450,0.132843217752
ACH-000452,0.0348937116467
ACH-000454,-0.107314302897
ACH-000458,0.11623950380999999
ACH-000459,0.227447550474
ACH-000460,0.136983142687
ACH-000461,0.044543435501800004
ACH-000463,0.0719963590142
ACH-000464,0.0448041530246
ACH-000466,0.0804103335178
ACH-000467,0.12971500911800002
ACH-000468,0.0954071805449
ACH-000469,0.35909556519599994
ACH-000470,0.0794836943803
ACH-000471,0.058422056549800004
ACH-000472,0.199609278577
ACH-000473,-0.23010993710000002
ACH-000475,-0.0376261583061
ACH-000476,-0.10824189229
ACH-000477,-0.0276563675856
ACH-000480,0.177059545709
ACH-000481,0.073627328082
ACH-000483,0.06903148199739999
ACH-000484,0.270811742782
ACH-000485,-0.018526944184700002
ACH-000486,0.023063131767000002
ACH-000487,-0.218872077633
ACH-000488,0.09643690929530001
ACH-000490,0.0175610705722
ACH-000491,0.20633988141399998
ACH-000495,-0.022080525915900002
ACH-000496,0.120898278598
ACH-000499,0.150349423729
ACH-000500,0.23948179228100003
ACH-000502,0.103107319584
ACH-000503,0.284652311303
ACH-000505,0.12868993253799998
ACH-000507,0.184434916263
ACH-000510,0.127323939933
ACH-000511,0.033754648873999996
ACH-000512,0.00804719496326
ACH-000516,-0.0048506591635800005
ACH-000517,0.077775418828
ACH-000518,0.0966583434981
ACH-000520,0.24575082703099999
ACH-000521,0.0298489028957
ACH-000522,0.18157586470800002
ACH-000524,0.07181042666239999
ACH-000527,0.177158105315
ACH-000528,0.127935977882
ACH-000537,0.11969563857200001
ACH-000541,0.309128876919
ACH-000542,0.19862243178800001
ACH-000544,0.107914416536
ACH-000545,0.11576261287799999
ACH-000547,-0.0716883527852
ACH-000548,0.144789439765
ACH-000549,0.072656191368
ACH-000550,0.239639451915
ACH-000552,0.07135532718160001
ACH-000556,0.194344497471
ACH-000557,-0.0490444773026
ACH-000570,0.051799564388499995
ACH-000571,0.122061984991
ACH-000573,0.171919827958
ACH-000576,0.051062645774499996
ACH-000580,0.251389121815
ACH-000584,0.157054614093
ACH-000585,-0.048256550283300004
ACH-000588,-0.017174378833600002
ACH-000589,0.308644265156
ACH-000591,0.206505015235
ACH-000593,0.0856516347741
ACH-000600,-0.0761416473038
ACH-000601,0.269644567923
ACH-000604,0.08577949016799999
ACH-000605,0.146315616083
ACH-000606,0.06433760166069999
ACH-000608,-0.0171497402147
ACH-000614,0.27393354859
ACH-000616,0.20508780257599998
ACH-000618,0.23882282669500002
ACH-000619,0.189982183345
ACH-000620,0.150342566715
ACH-000621,0.047052727246
ACH-000622,0.0673958537254
ACH-000623,0.379191687023
ACH-000624,0.138667965831
ACH-000627,0.223970695376
ACH-000630,0.0160114820216
ACH-000632,0.21043233274599998
ACH-000633,0.15917479241
ACH-000637,-0.0174190452739
ACH-000638,0.293144369882
ACH-000646,0.027539794024400002
ACH-000647,0.07273503357260001
ACH-000648,0.17501091126899998
ACH-000649,0.00429546970807
ACH-000651,0.13045516472899998
ACH-000652,0.0774180946861
ACH-000653,0.23337409166900003
ACH-000657,0.06534398106980001
ACH-000658,0.036385776777699996
ACH-000661,0.332329695436
ACH-000662,0.206524176325
ACH-000663,-0.0621345352188
ACH-000665,0.057136949505099996
ACH-000671,-0.135249131945
ACH-000673,0.108833588351
ACH-000676,0.09176202273350001
ACH-000677,0.0929736493835
ACH-000681,0.03444468058880001
ACH-000682,0.0877154395795
ACH-000683,0.11482378410800001
ACH-000684,0.25970297501600004
ACH-000688,0.08907340103389999
ACH-000693,0.249814349227
ACH-000694,0.164182655981
ACH-000695,-0.206615310167
ACH-000696,0.182791516917
ACH-000697,-0.0997672615682
ACH-000699,0.279764001001
ACH-000701,0.0766599619559
ACH-000706,0.18126651639199998
ACH-000711,0.164507575166
ACH-000713,0.0540568482751
ACH-000714,0.288592579314
ACH-000718,0.18591206180300002
ACH-000720,-0.056489621757899997
ACH-000721,0.16038870522600002
ACH-000724,-0.157965559901
ACH-000725,0.325179248446
ACH-000732,0.10824266288899999
ACH-000734,0.161353852506
ACH-000735,0.20173827320999999
ACH-000736,0.15031576066
ACH-000738,0.129152852687
ACH-000746,0.0621321822798
ACH-000747,0.292761324933
ACH-000748,-0.0103051325129
ACH-000753,0.179562479907
ACH-000756,0.006340043959879999
ACH-000757,0.305395170638
ACH-000758,0.0828095689951
ACH-000760,0.13139410209799998
ACH-000763,-0.0636392188956
ACH-000764,0.304038710762
ACH-000765,0.170301462545
ACH-000766,0.114850319959
ACH-000767,-0.13726770025
ACH-000768,0.148618537869
ACH-000769,-0.083055462431
ACH-000770,0.0387517593339
ACH-000771,0.100648779186
ACH-000773,0.306521606458
ACH-000776,0.08963925039439999
ACH-000777,-0.102839440042
ACH-000778,0.26457860939399996
ACH-000781,0.0518275741041
ACH-000782,0.162454202227
ACH-000783,0.27589836726100003
ACH-000784,0.06451736875080001
ACH-000785,0.137751996373
ACH-000787,0.0303384016848
ACH-000788,0.133295030251
ACH-000791,0.00683957995287
ACH-000792,0.18721791889199998
