,DepMap_ID
437,ACH-000002
24956,ACH-000065
28491,ACH-000072
42010,ACH-000130
48163,ACH-000155
62009,ACH-000204
62953,ACH-000207
68244,ACH-000223
71883,ACH-000236
74401,ACH-000245
83228,ACH-000270
85064,ACH-000277
94310,ACH-000305
108037,ACH-000344
109694,ACH-000348
110971,ACH-000351
117679,ACH-000369
124476,ACH-000387
126619,ACH-000393
127124,ACH-000394
136330,ACH-000418
143024,ACH-000434
159616,ACH-000477
161737,ACH-000482
182451,ACH-000535
188124,ACH-000549
188125,ACH-000549
192881,ACH-000559
201300,ACH-000578
201834,ACH-000579
204637,ACH-000585
205249,ACH-000586
206865,ACH-000589
215356,ACH-000608
217884,ACH-000614
233375,ACH-000646
238042,ACH-000655
242448,ACH-000663
255676,ACH-000688
259303,ACH-000695
265480,ACH-000705
266191,ACH-000706
294951,ACH-000760
303893,ACH-000775
349568,ACH-000788
349569,ACH-000788
363394,ACH-000806
365576,ACH-000809
370599,ACH-000815
372162,ACH-000817
390356,ACH-000842
405741,ACH-000860
416327,ACH-000871
431895,ACH-000884
431896,ACH-000884
433476,ACH-000885
442535,ACH-000893
445477,ACH-000896
446575,ACH-000897
459914,ACH-000909
464488,ACH-000912
489193,ACH-000925
494348,ACH-000928
494349,ACH-000928
503168,ACH-000932
519873,ACH-000939
522862,ACH-000940
528042,ACH-000942
553323,ACH-000951
562993,ACH-000954
570139,ACH-000956
570140,ACH-000956
599161,ACH-000965
599162,ACH-000965
599163,ACH-000965
603021,ACH-000966
618461,ACH-000970
622680,ACH-000971
626711,ACH-000972
633918,ACH-000974
637363,ACH-000975
642886,ACH-000977
642887,ACH-000977
642888,ACH-000977
658574,ACH-000980
663283,ACH-000981
669889,ACH-000982
674353,ACH-000983
686656,ACH-000985
694070,ACH-000986
708827,ACH-000988
708828,ACH-000988
715938,ACH-000989
715939,ACH-000989
715940,ACH-000989
715941,ACH-000989
727721,ACH-000990
727722,ACH-000990
727723,ACH-000990
727724,ACH-000990
812172,ACH-000993
830668,ACH-000995
851580,ACH-000997
851581,ACH-000997
884344,ACH-000999
884345,ACH-000999
884346,ACH-000999
894635,ACH-001028
915066,ACH-001081
915067,ACH-001081
915068,ACH-001081
919807,ACH-001096
920254,ACH-001099
934391,ACH-001140
939582,ACH-001162
940447,ACH-001173
949357,ACH-001203
949358,ACH-001203
959262,ACH-001318
967001,ACH-001341
972860,ACH-001345
972861,ACH-001345
992748,ACH-001401
999390,ACH-001416
1000818,ACH-001433
1005139,ACH-001484
1006255,ACH-001485
1014793,ACH-001517
1018515,ACH-001523
1023604,ACH-001540
1031354,ACH-001550
1052325,ACH-001626
1052615,ACH-001628
1060509,ACH-001651
1076613,ACH-001848
1079138,ACH-001861
1087170,ACH-002058
1113255,ACH-002159
1113256,ACH-002159
1120248,ACH-002168
1146007,ACH-002222
1149020,ACH-002231
1150545,ACH-002232
1159238,ACH-002247
1175784,ACH-002269
1178521,ACH-002272
1179589,ACH-002274
1187885,ACH-002287
1194850,ACH-002307
1216775,ACH-002375
1217140,ACH-002377
1225708,ACH-002396
