,POLD2 (5425)
ACH-000004,-1.21904227821
ACH-000007,-0.863885663045
ACH-000009,-1.11297421574
ACH-000011,-0.776754804344
ACH-000012,-0.9362457725910001
ACH-000013,-0.9140702629240001
ACH-000014,-0.8245843666509999
ACH-000015,-0.8594786108779999
ACH-000017,-0.7516921464640001
ACH-000018,-0.957460475611
ACH-000019,-0.99476660059
ACH-000021,-0.793773231207
ACH-000022,-1.0932750894
ACH-000025,-1.0958926367
ACH-000028,-0.607264397478
ACH-000030,-0.840663490932
ACH-000035,-0.801460224019
ACH-000036,-0.743956270789
ACH-000037,-1.60059170882
ACH-000039,-0.988740120365
ACH-000040,-0.9825669775560001
ACH-000041,-0.933060391154
ACH-000042,-0.802356662319
ACH-000045,-1.0172147392200002
ACH-000047,-0.759884046101
ACH-000052,-1.16427784808
ACH-000053,-1.0583932585299998
ACH-000054,-0.8354903035979999
ACH-000055,-1.0165031822200001
ACH-000060,-0.986890474382
ACH-000067,-0.978066223484
ACH-000070,-0.8309238140880001
ACH-000075,-0.787568717091
ACH-000078,-0.942733132376
ACH-000082,-1.14661606524
ACH-000085,-0.705409274568
ACH-000086,-0.798552946975
ACH-000087,-0.731543705395
ACH-000092,-0.71683292317
ACH-000095,-0.989866727128
ACH-000097,-0.564058728415
ACH-000098,-0.908964021039
ACH-000099,-0.899078610679
ACH-000108,-0.701251206059
ACH-000113,-0.8329970337029999
ACH-000115,-0.8649193684100001
ACH-000116,-0.9516474606759999
ACH-000118,-0.872341356594
ACH-000120,-0.992475710222
ACH-000123,-0.91015454385
ACH-000127,-0.896276822334
ACH-000128,-1.30535128302
ACH-000132,-0.7613068352150001
ACH-000133,-0.937459665895
ACH-000137,-1.1344217115700002
ACH-000138,-0.680906554805
ACH-000142,-1.0484823458399999
ACH-000143,-0.933789284506
ACH-000146,-0.9018616584100001
ACH-000148,-0.756465564535
ACH-000150,-0.699369528045
ACH-000152,-1.06510564795
ACH-000153,-0.990416660638
ACH-000159,-0.757073936488
ACH-000160,-1.21860019557
ACH-000163,-0.852362040935
ACH-000167,-1.0014511653
ACH-000168,-1.15032838808
ACH-000169,-0.981669847059
ACH-000178,-0.9335702934729999
ACH-000182,-0.8642604292299999
ACH-000183,-0.71906728814
ACH-000188,-1.0469813267799999
ACH-000189,-0.991778667703
ACH-000190,-1.0118519128399999
ACH-000198,-0.767994777942
ACH-000204,-1.4726055483000002
ACH-000206,-0.9268171172149999
ACH-000207,-0.74465589534
ACH-000211,-0.734529641145
ACH-000215,-0.7858582975
ACH-000221,-1.3774545351899998
ACH-000222,-0.7182907025540001
ACH-000223,-1.1025108652200002
ACH-000226,-0.829979587002
ACH-000227,-1.46972164949
ACH-000228,-1.0308647371200002
ACH-000231,-0.987957215716
ACH-000232,-0.844829267224
ACH-000233,-0.8429765827
ACH-000234,-0.798925815809
ACH-000235,-0.877413883371
ACH-000237,-0.931813920425
ACH-000238,-0.7154030442370001
ACH-000243,-0.7829625766830001
ACH-000244,-0.9167389005200001
ACH-000246,-0.7495335519040001
ACH-000248,-0.743597341848
ACH-000250,-0.85039113013
ACH-000251,-0.967108954545
ACH-000253,-0.893695433405
ACH-000255,-0.9864379697660001
ACH-000256,-0.76254711242
ACH-000257,-0.9870497648790001
ACH-000258,-0.8273861270999999
ACH-000259,-0.647332341884
ACH-000260,-0.850319905517
ACH-000261,-0.806278353485
ACH-000262,-1.02518734518
ACH-000263,-1.02161282615
ACH-000264,-1.01089148233
ACH-000265,-0.6755640767569999
ACH-000266,-0.833903191537
ACH-000272,-0.7769979254739999
ACH-000273,-0.896626036902
ACH-000274,-0.9450284286280001
ACH-000277,-1.0961331927299998
ACH-000278,-0.9525533836839999
ACH-000279,-0.9197469114210001
ACH-000280,-1.02382857649
ACH-000281,-0.782965025906
ACH-000288,-0.875470388321
ACH-000291,-1.0704528989
ACH-000293,-1.06291918075
ACH-000294,-0.835966337019
ACH-000295,-0.880688380643
ACH-000296,-1.00617819299
ACH-000302,-0.9871385746729999
ACH-000304,-0.8078939672650001
ACH-000307,-1.1109859985500001
ACH-000308,-0.826097894372
ACH-000310,-1.0999463008900001
ACH-000311,-0.65605854497
ACH-000312,-1.05356818905
ACH-000315,-0.811918782309
ACH-000316,-0.9615373906200001
ACH-000317,-0.7030985988160001
ACH-000318,-1.1108415762100001
ACH-000319,-1.13656349035
ACH-000320,-0.504094503475
ACH-000322,-0.42758730247500004
ACH-000323,-0.933081692543
ACH-000324,-0.90553995029
ACH-000329,-1.07785160749
ACH-000330,-0.918427889505
ACH-000331,-0.933150447435
ACH-000332,-0.713835116908
ACH-000334,-0.6301995138440001
ACH-000335,-0.8551391298309999
ACH-000336,-0.818460016729
ACH-000337,-1.21312277699
ACH-000339,-0.836396387112
ACH-000341,-0.8768168521619999
ACH-000348,-0.9734862087720001
ACH-000350,-0.802861150382
ACH-000352,-0.752027569093
ACH-000356,-1.07940185049
ACH-000361,-1.04885382705
ACH-000362,-0.932073682745
ACH-000363,-0.7964399681209999
ACH-000364,-0.998336955959
ACH-000365,-0.760195455299
ACH-000366,-0.862132923247
ACH-000368,-0.727872421373
ACH-000374,-1.00959301184
ACH-000375,-0.929052415857
ACH-000376,-0.824734454877
ACH-000381,-0.726823783424
ACH-000383,-0.8777729201200001
ACH-000387,-1.06436006827
ACH-000389,-0.841553581357
ACH-000390,-0.8575649659569999
ACH-000393,-0.7900025319670001
ACH-000395,-0.9874799758730001
ACH-000397,-0.991701637608
ACH-000401,-0.81345827999
ACH-000402,-0.789588017512
ACH-000403,-0.632108040256
ACH-000404,-0.482152642278
ACH-000406,-0.699331493311
ACH-000407,-1.07662509438
ACH-000408,-1.00035851212
ACH-000410,-0.9802569684219999
ACH-000411,-0.814686110616
ACH-000414,-0.8467816256899999
ACH-000415,-0.9097192335590001
ACH-000416,-0.9836063453689999
ACH-000420,-1.00330499846
ACH-000421,-1.06402444618
ACH-000424,-0.9454567907070001
ACH-000425,-0.638656383877
ACH-000426,-0.898445756838
ACH-000427,-0.7333811325499999
ACH-000433,-1.07988876302
ACH-000436,-1.00419298703
ACH-000444,-0.680593722227
ACH-000445,-0.902530000469
ACH-000448,-0.7484633055419999
ACH-000450,-0.628837556518
ACH-000452,-0.869167757967
ACH-000454,-0.952089225546
ACH-000458,-0.9265133097849999
ACH-000459,-0.606077781618
ACH-000460,-0.730998797803
ACH-000461,-1.09727892476
ACH-000463,-0.831917502697
ACH-000464,-1.2222883180500002
ACH-000466,-0.861338769388
ACH-000467,-0.824381840748
ACH-000468,-0.916461442742
ACH-000469,-0.7625063142649999
ACH-000470,-1.1177449318200001
ACH-000471,-0.8790513196259999
ACH-000472,-0.8342215602590001
ACH-000473,-0.937162476133
ACH-000475,-0.8117222313369999
ACH-000476,-0.83236712219
ACH-000477,-0.529880190479
ACH-000480,-0.68587141882
ACH-000481,-1.06880492159
ACH-000483,-0.905025501878
ACH-000484,-0.820399913801
ACH-000485,-0.9743676373540001
ACH-000486,-0.781819109164
ACH-000487,-0.9328341736519999
ACH-000488,-1.01819605198
ACH-000490,-1.05244191376
