,PRDM1 (639)
ACH-000004,-0.274580739295
ACH-000007,0.150554590037
ACH-000009,-0.17078504769000002
ACH-000011,-0.07923711383030001
ACH-000012,-0.0034303737408800006
ACH-000013,-0.063099529577
ACH-000014,0.25879046761999996
ACH-000015,-0.018236784015099997
ACH-000017,-0.09295100393269999
ACH-000018,-0.221200223648
ACH-000019,-0.097940100298
ACH-000021,-0.281638917227
ACH-000022,-0.0643904699764
ACH-000025,-0.138290274306
ACH-000028,-0.10730569244100001
ACH-000030,-0.07110215652310001
ACH-000035,-0.012721385390399999
ACH-000036,0.374402254957
ACH-000037,-0.09436635531860002
ACH-000039,-0.265096782218
ACH-000040,-0.10731473827
ACH-000041,-0.142144727128
ACH-000042,0.0199102245836
ACH-000045,-0.0281594089055
ACH-000047,-0.0406560561893
ACH-000052,-0.28905733363
ACH-000053,-0.11928748292500001
ACH-000054,-0.210812530203
ACH-000055,-0.006708955213920001
ACH-000060,-0.0492781418195
ACH-000067,0.01326363433
ACH-000070,0.006546883365600001
ACH-000075,-0.182190346119
ACH-000078,-0.0784447092823
ACH-000082,-0.137766247133
ACH-000085,0.015112849069399999
ACH-000086,-0.0838085418597
ACH-000087,-0.0171443687625
ACH-000092,-0.189747887045
ACH-000095,-0.08101104940069999
ACH-000097,-0.05879870821119999
ACH-000098,-0.149000101023
ACH-000099,-0.0832861044801
ACH-000108,-0.17977288358899998
ACH-000113,-0.0971313030492
ACH-000115,-0.134060114276
ACH-000116,-0.0602616327379
ACH-000118,0.0300429411425
ACH-000120,0.069364388042
ACH-000123,-0.0690098312522
ACH-000127,-0.0656080513442
ACH-000128,0.0623478372604
ACH-000132,-0.240161258776
ACH-000133,-0.005754075187029999
ACH-000137,0.048104802153599996
ACH-000138,-0.0813437930986
ACH-000142,-0.23921890861499998
ACH-000143,-0.146978864778
ACH-000146,-0.042193204044599995
ACH-000148,-0.03338322616
ACH-000150,-0.0138350317734
ACH-000152,0.13962993017300002
ACH-000153,-0.08100346033610001
ACH-000159,-0.151818478729
ACH-000160,-0.21870509573000002
ACH-000163,0.00858183323502
ACH-000167,0.143764888191
ACH-000168,-0.043769340669099994
ACH-000169,-0.0855306337388
ACH-000178,0.17919862269099998
ACH-000182,-0.08551584997549999
ACH-000183,-1.1180821774299998
ACH-000188,0.0164668605964
ACH-000189,-0.200485556823
ACH-000190,-0.0634273610583
ACH-000198,0.217103202335
ACH-000204,-0.488574705347
ACH-000206,0.109917316041
ACH-000207,-0.149410306385
ACH-000211,0.00476985674608
ACH-000215,0.14603342498
ACH-000221,0.0394002275139
ACH-000222,0.0691173006926
ACH-000223,-0.107167363537
ACH-000226,-0.14694054161800002
ACH-000227,-0.257947269475
ACH-000228,-0.08982632295839998
ACH-000231,-0.133395952546
ACH-000232,0.0594194398149
ACH-000233,-0.075564558754
ACH-000234,-0.161827822147
ACH-000235,-0.00163737538598
ACH-000237,0.022900109583900003
ACH-000238,-0.026979725809
ACH-000243,0.00507024831545
ACH-000244,0.337078901763
ACH-000246,-0.0528853642419
ACH-000248,-0.055926077189
ACH-000250,-0.0424195214121
ACH-000251,0.0237212422713
ACH-000253,-0.0732902057984
ACH-000255,0.08311350180660002
ACH-000256,-0.0664248511249
ACH-000257,0.0858324078775
ACH-000258,0.25244768539
ACH-000259,-0.024619038737499998
ACH-000260,-0.101916855523
ACH-000261,-0.0280954465641
ACH-000262,-0.0912558881136
ACH-000263,-0.201787378717
ACH-000264,-0.119639935344
ACH-000265,-0.0304264641206
ACH-000266,-0.0739020466901
ACH-000272,-0.13136498017
ACH-000273,-0.169231989434
ACH-000274,-0.0882478474972
ACH-000277,-0.0332811380615
ACH-000278,-0.154437136885
ACH-000279,-0.10201727369300001
ACH-000280,0.0550439470754
ACH-000281,0.0545923442903
ACH-000288,0.0612875991367
ACH-000291,-0.11831900929000001
ACH-000293,0.0792735015633
ACH-000294,0.0049500131813100005
ACH-000295,0.0852754526298
ACH-000296,-0.076389673804
ACH-000302,-0.14872254527
ACH-000304,0.255201492284
ACH-000307,-0.0244724847562
ACH-000308,-0.137914985283
ACH-000310,-0.016304178299399997
ACH-000311,0.0343756000171
ACH-000312,-0.0714572108465
ACH-000315,-0.164784945887
ACH-000316,-0.0218809257774
ACH-000317,0.17479756960499998
ACH-000318,-0.11698090432
ACH-000319,-0.19730668513900002
ACH-000320,0.0984418991286
ACH-000322,0.179545151892
ACH-000323,-0.00101147432161
ACH-000324,0.0247291013348
ACH-000329,0.050733115259
ACH-000330,-0.138314312754
ACH-000331,-0.0446806846937
ACH-000332,0.024571814641800003
ACH-000334,-0.11124123946100001
ACH-000335,0.07053629237169999
ACH-000336,-0.107061994006
ACH-000337,0.05701858329869999
ACH-000339,-0.10717867717900001
ACH-000341,-0.0495597684241
ACH-000348,-0.0559183494317
ACH-000350,0.202943381199
ACH-000352,-0.0199026123419
ACH-000356,0.138757877133
ACH-000361,0.140457242556
ACH-000362,-0.062199401081
ACH-000363,-0.834771850334
ACH-000364,0.112408404504
ACH-000365,-0.2161467068
ACH-000366,0.0214350112207
ACH-000368,0.257382526637
ACH-000374,0.033623853409199995
ACH-000375,-0.12823061039699998
ACH-000376,0.113282253461
ACH-000381,-0.33387955403499997
ACH-000383,-0.101065542388
ACH-000387,-0.147387204006
ACH-000389,0.0193837327207
ACH-000390,-0.042948113627399996
ACH-000393,-0.149589775836
ACH-000395,0.377300836434
ACH-000397,-0.11782124311799999
ACH-000401,-0.031750552099000004
ACH-000402,-0.170627504667
ACH-000403,-0.172380384925
ACH-000404,-0.24790696919100003
ACH-000406,-0.00403137396231
ACH-000407,-0.0637593591144
ACH-000408,-0.08771170923810001
ACH-000410,-0.194871645009
ACH-000411,0.06097755977680001
ACH-000414,0.026503399110400002
ACH-000415,-0.11715737944
ACH-000416,-0.0507037539965
ACH-000420,-0.0827969131299
ACH-000421,-0.165121406713
ACH-000424,-0.310763063292
ACH-000425,0.024975195355000004
ACH-000426,-1.2700235586
ACH-000427,0.153013224359
ACH-000433,0.289527692844
ACH-000436,-1.1815631206100001
ACH-000444,-0.017594486427900003
ACH-000445,-0.312390263147
ACH-000448,-0.0263521774426
ACH-000450,0.151674020561
ACH-000452,-0.115353377499
ACH-000454,-0.0214053100697
ACH-000458,0.05203621873369999
ACH-000459,-0.31174681064800003
ACH-000460,-0.0968278711673
ACH-000461,-0.049962101262099996
ACH-000463,-0.009980260459049999
ACH-000464,0.18963210682700002
ACH-000466,-0.22202728178199999
ACH-000467,-0.08515468276219999
ACH-000468,-0.23594627018300002
ACH-000469,-0.0640794223133
ACH-000470,-0.177994528529
ACH-000471,-0.06677313228199999
ACH-000472,-0.138763578808
ACH-000473,0.022151829279400004
ACH-000475,-0.041366329281
ACH-000476,-0.17797358169799998
ACH-000477,-0.06346978871310001
ACH-000480,0.117623811832
ACH-000481,-0.0371328921684
ACH-000483,0.033372136951099994
ACH-000484,-0.0693253622837
ACH-000485,-0.0376284873116
ACH-000486,-0.08727208171919999
ACH-000487,-0.036353055568199996
ACH-000488,0.0243281902203
ACH-000490,-0.0765475522387
ACH-000491,-0.22573184168000002
ACH-000495,-0.0459404090095
ACH-000496,0.0283973257406
ACH-000499,-0.0830293459939
ACH-000500,-0.323479634675
ACH-000502,0.063311574738
ACH-000503,-0.014575033925000001
ACH-000505,0.0865437208092
ACH-000507,0.12770141050699998
ACH-000510,-0.021765088569400005
ACH-000511,0.024984860405200003
ACH-000512,-1.08384962719
ACH-000516,-0.176037563429
ACH-000517,-0.059091990415900006
ACH-000518,-0.07985444350160001
ACH-000520,-0.0264836489353
ACH-000521,0.07865023383280001
ACH-000522,-0.137432652161
ACH-000524,-0.09627597802989998
ACH-000527,-0.0663978846933
ACH-000528,-0.24784023798500002
ACH-000537,-0.131339896466
ACH-000541,-0.666192025593
ACH-000542,-0.0075150097570900005
ACH-000544,0.282521829625
ACH-000545,-0.10308234965600001
ACH-000547,0.211085218099
ACH-000548,0.018983975147
ACH-000549,-0.0400981436561
ACH-000550,-0.0635928781145
ACH-000552,-0.08616628866210001
ACH-000556,-0.116833805405
ACH-000557,0.0178137668082
ACH-000570,-0.0193267564402
ACH-000571,0.060483913813199994
ACH-000573,-0.019641243783099997
ACH-000576,-1.0651763434200001
ACH-000580,-0.18001741576299998
ACH-000584,-0.0873261292791
ACH-000585,0.142406087283
ACH-000588,-0.8640435277700002
ACH-000589,0.159932309847
ACH-000591,-0.0822923112927
ACH-000593,-0.00109061214774
ACH-000600,-0.107398718501
ACH-000601,-0.029078658564400003
ACH-000604,-0.0062286452833
ACH-000605,-0.135653211447
ACH-000606,0.0612242361306
ACH-000608,-0.0915970998944
ACH-000614,-0.39271420361500003
ACH-000616,0.037129558798
ACH-000618,-0.0253721243257
ACH-000619,-0.0423579338109
ACH-000620,-0.21326505732999998
ACH-000621,-0.12398551770300001
ACH-000622,-0.111346846213
ACH-000623,-0.150020955751
ACH-000624,0.0028312319862600003
ACH-000627,-0.073987670676
ACH-000630,-0.07685337950849999
ACH-000632,-0.054045397304699996
ACH-000633,-0.10221636967299999
ACH-000637,-0.011431053762999998
ACH-000638,-0.09496130515750001
ACH-000646,-0.223482333962
ACH-000647,-0.0282939400396
ACH-000648,-0.05638415585030001
ACH-000649,0.00628110460338
ACH-000651,-0.137285603534
ACH-000652,-0.215778603569
ACH-000653,-0.5022478674949999
ACH-000657,0.023202106101900002
ACH-000658,-1.5187166874200002
ACH-000661,-0.17668238599599997
ACH-000662,-0.46055417282399996
ACH-000663,-0.014291922005700002
ACH-000665,-0.09057076899939999
ACH-000671,0.423447984603
ACH-000673,-0.0308978368988
ACH-000676,0.00327834775607
ACH-000677,-0.0262816269016
ACH-000681,0.220107912331
ACH-000682,0.0632549095833
ACH-000683,-0.212482201448
ACH-000684,-0.216857434375
ACH-000688,-0.0453674390426
ACH-000693,-0.0185502523323
ACH-000694,-0.17974812426800002
ACH-000695,-0.0154385677535
ACH-000696,-0.03634898046
ACH-000697,-1.03896799087
ACH-000699,-0.0538609640885
ACH-000701,-0.108899566196
ACH-000706,0.0141170018623
ACH-000711,-0.0578328879216
ACH-000713,-0.027342768198199998
ACH-000714,-0.726704118221
ACH-000718,0.0672028127319
ACH-000720,-0.0978600381803
ACH-000721,-0.05619854909969999
ACH-000724,-0.181900412889
ACH-000725,-0.180420711078
ACH-000732,-0.08858321122929999
ACH-000734,-0.154113214189
ACH-000735,0.0699913077962
ACH-000736,-0.103386597564
ACH-000738,-0.231653824328
ACH-000746,-0.0977603361706
ACH-000747,-0.014040979367799999
ACH-000748,-0.11072554170299999
ACH-000753,0.026415955074
ACH-000756,0.0342961733152
ACH-000757,0.0974024674476
ACH-000758,-0.11703193280999999
ACH-000760,-0.036014850938400005
ACH-000763,-0.345626468703
ACH-000764,-0.252422384233
ACH-000765,-0.06916964181839999
ACH-000766,0.313117805762
ACH-000767,-0.205328567304
ACH-000768,0.10988894179099999
ACH-000769,0.22295980869000004
ACH-000770,-0.038851585956
ACH-000771,-0.09113440875590001
ACH-000773,-0.27837459752300003
ACH-000776,-0.142025312097
