,PRSS45 (377047)
ACH-000004,0.152163928222
ACH-000007,0.19777469007399998
ACH-000009,0.000714312692571
ACH-000011,0.0769413788498
ACH-000012,0.139402504992
ACH-000013,0.08677539182569999
ACH-000014,-0.0636670927281
ACH-000015,-0.09949379076789999
ACH-000017,0.0909605766416
ACH-000018,0.12569362524900002
ACH-000019,0.0397331421458
ACH-000021,0.125570854798
ACH-000022,-0.0109868207947
ACH-000025,0.0827901074688
ACH-000028,-0.010789788671600001
ACH-000030,0.0592121596258
ACH-000035,0.10625362622000001
ACH-000036,0.35365190977399996
ACH-000037,-0.0703107550266
ACH-000039,0.221006009403
ACH-000040,0.0843223240115
ACH-000041,0.0396546283984
ACH-000042,0.059146627927400004
ACH-000045,0.123357292568
ACH-000047,-0.0653372718986
ACH-000052,0.13226456932
ACH-000053,0.06667059575119999
ACH-000054,0.105445365404
ACH-000055,0.205977733344
ACH-000060,0.0822715141665
ACH-000067,-0.0951765968933
ACH-000070,0.008452438189939999
ACH-000075,0.15485836317399998
ACH-000078,0.130980806014
ACH-000082,0.0168363693958
ACH-000085,0.22272886894000002
ACH-000086,0.006041834386399999
ACH-000087,0.252729013569
ACH-000092,-0.019300975748700003
ACH-000095,0.111095818302
ACH-000097,0.220171688139
ACH-000098,-0.00454264014095
ACH-000099,0.173327268851
ACH-000108,0.17546965868099998
ACH-000113,0.05071920131180001
ACH-000115,-0.251673429938
ACH-000116,0.167662982817
ACH-000118,0.09946722420839998
ACH-000120,0.06464112443469999
ACH-000123,-0.123472088628
ACH-000127,0.241792266699
ACH-000128,0.0223994462898
ACH-000132,0.28800384139
ACH-000133,0.155447527182
ACH-000137,-0.181737697923
ACH-000138,0.120844840723
ACH-000142,0.147718206281
ACH-000143,0.198797146466
ACH-000146,0.053065562379700004
ACH-000148,-0.051932015120199994
ACH-000150,0.00971213285274
ACH-000152,0.14572903905600001
ACH-000153,-0.17554852525400003
ACH-000159,0.0404939255431
ACH-000160,0.01432790345
ACH-000163,0.10341568625700001
ACH-000167,0.152375728573
ACH-000168,0.051670401591999995
ACH-000169,0.114794177362
ACH-000178,0.136673084104
ACH-000182,0.0954780766753
ACH-000183,0.0836108464432
ACH-000188,-0.03841834763
ACH-000189,-0.508380351408
ACH-000190,0.22582156351399998
ACH-000198,0.061849341096900004
ACH-000204,0.227196228972
ACH-000206,0.040927871196400005
ACH-000207,0.09231962698999999
ACH-000211,0.049389911180999994
ACH-000215,0.07003503499149999
ACH-000221,0.14893851614
ACH-000222,0.0180541637941
ACH-000223,0.0671187012064
ACH-000226,0.30201576695099996
ACH-000227,0.175411352746
ACH-000228,0.154350700383
ACH-000231,0.0550913079316
ACH-000232,0.160529884364
ACH-000233,0.0315244274526
ACH-000234,0.237605202151
ACH-000235,0.00552236264753
ACH-000237,0.0319871411983
ACH-000238,-0.112219416605
ACH-000243,0.11153190981799999
ACH-000244,-0.227107964955
ACH-000246,0.162236690706
ACH-000248,0.0741423142236
ACH-000250,0.03509209609030001
ACH-000251,0.28895828575800003
ACH-000253,0.0852357978975
ACH-000255,-0.141565923114
ACH-000256,-0.143538436822
ACH-000257,-0.0455547516335
ACH-000258,0.0388095612629
ACH-000259,0.13098782209
ACH-000260,0.0297887457902
ACH-000261,0.089274745939
ACH-000262,-0.024592601313099996
ACH-000263,-0.195494896587
ACH-000264,0.163358554964
