,PSMD4 (5710)
ACH-000004,-1.5248862000799999
ACH-000007,-1.4020987809799998
ACH-000009,-1.69990426316
ACH-000011,-0.995694543794
ACH-000012,-1.5904504913600002
ACH-000013,-1.3373360404
ACH-000014,-1.65251488911
ACH-000015,-1.47125964395
ACH-000017,-1.5550314997999999
ACH-000018,-1.80035975625
ACH-000019,-1.31802992654
ACH-000021,-1.4866720552300001
ACH-000022,-1.34067245905
ACH-000025,-1.3879938366
ACH-000028,-1.31384158425
ACH-000030,-1.53138432721
ACH-000035,-1.2019843971100002
ACH-000036,-1.25800083441
ACH-000037,-2.23413166928
ACH-000039,-1.55917725552
ACH-000040,-1.7115237637
ACH-000041,-1.27600954168
ACH-000042,-1.56272212493
ACH-000045,-1.8023451040599998
ACH-000047,-1.2266119911700002
ACH-000052,-1.32748057348
ACH-000053,-1.38887190611
ACH-000054,-1.54299298639
ACH-000055,-1.4150363310299998
ACH-000060,-1.34272187089
ACH-000067,-1.5175150828600001
ACH-000070,-1.2830630025
ACH-000075,-1.4978533497400002
ACH-000078,-1.35463683783
ACH-000082,-1.60401095823
ACH-000085,-1.69949234944
ACH-000086,-1.4288833243099999
ACH-000087,-1.2642295245100001
ACH-000092,-1.51393183007
ACH-000095,-1.51997744868
ACH-000097,-1.30140507908
ACH-000098,-1.4169473325
ACH-000099,-1.53125490046
ACH-000108,-1.3637375497400002
ACH-000113,-1.53655850878
ACH-000115,-1.8156990448800001
ACH-000116,-1.1897536280399998
ACH-000118,-1.38485213399
ACH-000120,-1.35377517368
ACH-000123,-1.6172684262900001
ACH-000127,-1.56883722991
ACH-000128,-0.883327666411
ACH-000132,-1.48093742582
ACH-000133,-1.5811405618799999
ACH-000137,-1.23841505225
ACH-000138,-1.5031135463
ACH-000142,-1.37288497421
ACH-000143,-1.3456769171599998
ACH-000146,-1.0291606952399999
ACH-000148,-1.6956609580200002
ACH-000150,-1.43008343359
ACH-000152,-1.5533635187900001
ACH-000153,-1.64351421949
ACH-000159,-1.4295382365600002
ACH-000160,-1.69260926524
ACH-000163,-1.56138423204
ACH-000167,0.427190188192
ACH-000168,-1.43744626916
ACH-000169,-1.44441234177
ACH-000178,-1.26898745688
ACH-000182,-1.50473182326
ACH-000183,-1.2590386919499998
ACH-000188,-1.25450061723
ACH-000189,-1.55016915353
ACH-000190,-1.2393735358600002
ACH-000198,-1.5835116054299998
ACH-000204,-1.53767942561
ACH-000206,-1.16334531766
ACH-000207,-1.46125406561
ACH-000211,-1.4019115687
ACH-000215,-1.44070226632
ACH-000221,-1.4714357228600001
ACH-000222,-1.6694274200299999
ACH-000223,-1.3789350864399998
ACH-000226,-1.67169063832
ACH-000227,-1.13687956314
ACH-000228,-1.4254610508399999
ACH-000231,-1.3726912251499999
ACH-000232,-1.5037903736000002
ACH-000233,-1.55973589814
ACH-000234,-1.5844065501
ACH-000235,-1.36541130389
ACH-000237,-1.32498088308
ACH-000238,-1.44888932171
ACH-000243,-1.4104798900600002
ACH-000244,-1.35055144693
ACH-000246,-1.3606401654799998
ACH-000248,-1.37848153195
ACH-000250,-1.3529966216
ACH-000251,-1.48914096212
ACH-000253,-1.5982294214300001
ACH-000255,-1.21545303316
ACH-000256,-1.42235177194
ACH-000257,-1.6312672514500002
ACH-000258,-1.13041115987
ACH-000259,-1.2896400056100001
ACH-000260,-1.30141056304
ACH-000261,-1.37062402071
ACH-000262,-1.51678017403
ACH-000263,-1.43922347854
ACH-000264,-1.47113024407
ACH-000265,-1.42316363243
ACH-000266,-1.46977537118
ACH-000272,-1.30028534267
ACH-000273,-1.3960421941799999
ACH-000274,-1.6614495851100002
ACH-000277,-1.4314638767200003
ACH-000278,-1.1258335367
ACH-000279,-0.7999339063249999
ACH-000280,-1.25114258506
ACH-000281,-1.67389798936
ACH-000288,-1.4691759117200003
ACH-000291,-1.6504283909200002
ACH-000293,-1.36700514241
ACH-000294,-1.88622319678
ACH-000295,-1.25000261816
ACH-000296,-1.40049045194
ACH-000302,-1.31690670547
ACH-000304,-1.20404499329
ACH-000307,-1.34689663572
ACH-000308,-1.42251919324
ACH-000310,-1.68494679622
ACH-000311,-1.4334172520500001
ACH-000312,-1.5860322246399998
ACH-000315,-1.4876151286200001
ACH-000316,-1.51936726621
ACH-000317,-0.951245572517
ACH-000318,-0.778633421279
ACH-000319,-1.29316228552
ACH-000320,-1.65250242617
ACH-000322,-1.46752113979
ACH-000323,-1.36607825101
ACH-000324,-1.6592054166699999
ACH-000329,-1.3555380319600001
ACH-000330,-1.40760261218
ACH-000331,-1.3231730342
