,PSTPIP2 (9050)
ACH-000004,0.0332435665866
ACH-000007,0.310164204063
ACH-000009,0.19052402292999998
ACH-000011,0.27147319271299997
ACH-000012,0.22686471204199998
ACH-000013,0.0541274531747
ACH-000014,0.023149994462700003
ACH-000015,0.144320621397
ACH-000017,0.291384132408
ACH-000018,0.304349704856
ACH-000019,-0.07820451025780001
ACH-000021,0.282829250197
ACH-000022,0.17245894044100002
ACH-000025,0.0209811542698
ACH-000028,-0.027522018975400003
ACH-000030,0.0964279120418
ACH-000035,0.06423119521000001
ACH-000036,0.317189251305
ACH-000037,0.29811232083
ACH-000039,-0.08509863231920001
ACH-000040,0.0669993203653
ACH-000041,0.127296736957
ACH-000042,0.115236607521
ACH-000045,0.291427319201
ACH-000047,0.26549220319
ACH-000052,-0.0373490446166
ACH-000053,-0.0180808612866
ACH-000054,0.0151638556646
ACH-000055,0.330372732848
ACH-000060,-0.0275489685955
ACH-000067,0.261233934206
ACH-000070,0.267577239318
ACH-000075,0.08523076821429999
ACH-000078,0.217903878398
ACH-000082,0.167833520544
ACH-000085,0.181577080015
ACH-000086,0.19748869312
ACH-000087,0.040377875194900006
ACH-000092,0.201442034221
ACH-000095,0.24703276875500002
ACH-000097,0.175883052985
ACH-000098,0.18471260377
ACH-000099,0.0022529398229899997
ACH-000108,0.14064186562699998
ACH-000113,0.22615906952
ACH-000115,0.26682387506
ACH-000116,0.0354065524209
ACH-000118,0.13717828642000002
ACH-000120,0.238043257033
ACH-000123,0.040797240684899996
ACH-000127,0.07671029700130001
ACH-000128,0.11714003915799999
ACH-000132,-0.150665576635
ACH-000133,0.23157251009399998
ACH-000137,-0.058814515321199995
ACH-000138,-0.023087738493599998
ACH-000142,0.142439853708
ACH-000143,0.179511358367
ACH-000146,0.06036558763230001
ACH-000148,0.18766333076299999
ACH-000150,0.21685588147100002
ACH-000152,0.19248571712999998
ACH-000153,-0.0832550256385
ACH-000159,0.20217270457400002
ACH-000160,0.0753959169148
ACH-000163,0.147349552466
ACH-000167,0.131823761304
ACH-000168,0.0198086462172
ACH-000169,0.22352847309
ACH-000178,0.109316930615
ACH-000182,-0.0359100183464
ACH-000183,-0.0600036310325
ACH-000188,0.191446784549
ACH-000189,0.0644334432882
ACH-000190,0.18975750557100002
ACH-000198,0.061603024430499996
ACH-000204,0.16694903619
ACH-000206,0.490950279045
ACH-000207,0.162802553601
ACH-000211,0.047877358444
ACH-000215,0.102403210518
ACH-000221,0.08890580137430001
ACH-000222,-0.024650289714099997
ACH-000223,0.12024810591499999
ACH-000226,0.239395430515
ACH-000227,0.124595935474
ACH-000228,-0.0086202298401
ACH-000231,0.18768313635699999
ACH-000232,0.0993451793348
ACH-000233,0.041981037441499995
ACH-000234,0.24659275828899999
ACH-000235,0.21960344634
ACH-000237,0.185537213657
ACH-000238,0.0309601291403
ACH-000243,0.21158647357500002
ACH-000244,0.358693576508
ACH-000246,0.0238362455343
ACH-000248,0.344726474552
ACH-000250,0.163342004591
ACH-000251,0.20639236610300002
ACH-000253,0.0233588239775
ACH-000255,0.168887477295
ACH-000256,0.118717870909
ACH-000257,-0.21803725969999999
ACH-000258,0.180784999595
ACH-000259,0.11783782133500001
ACH-000260,0.195315971738
ACH-000261,0.162918685978
ACH-000262,-0.249586409266
ACH-000263,-0.059289219332
ACH-000264,0.019117300200700002
ACH-000265,0.212984093872
ACH-000266,0.162880326953
ACH-000272,0.0826898752613
ACH-000273,0.104330941332
ACH-000274,0.136628049106
ACH-000277,0.385603939903
ACH-000278,0.0900433594829
ACH-000279,0.235774431874
ACH-000280,0.198135074073
ACH-000281,0.126699799452
ACH-000288,0.191614256387
ACH-000291,0.00274679154219
ACH-000293,0.11610249127
ACH-000294,0.274505634223
ACH-000295,-0.059933802847800005
ACH-000296,-0.0894675080069
ACH-000302,0.0743927299735
ACH-000304,0.225515919133
ACH-000307,0.0517827354609
ACH-000308,0.09433609098069999
ACH-000310,0.11660591522399999
ACH-000311,0.349624662413
ACH-000312,0.26887811237500003
ACH-000315,0.331931045723
ACH-000316,0.20727641442000003
ACH-000317,0.332017073365
ACH-000318,0.35742314215899995
ACH-000319,0.141349054188
ACH-000320,0.102067827183
ACH-000322,0.102222438444
ACH-000323,0.0789616380193
ACH-000324,0.163965769742
ACH-000329,0.151481113852
ACH-000330,0.13474590025
ACH-000331,0.152706359562
ACH-000332,0.11959492369100001
ACH-000334,0.328130199589
ACH-000335,0.24119815198300001
ACH-000336,0.275000868899
ACH-000337,-0.0453252836169
ACH-000339,0.18112411530499997
ACH-000341,0.11513631046900001
ACH-000348,-0.07174242557260001
ACH-000350,0.214999155237
ACH-000352,0.256904365428
ACH-000356,0.219238915446
ACH-000361,0.20542534122
ACH-000362,0.12655114631300002
ACH-000363,-0.0616856398886
ACH-000364,-0.09520836081669999
ACH-000365,0.167403679432
ACH-000366,0.183726180121
ACH-000368,0.0150965347933
ACH-000374,0.293754509408
ACH-000375,0.20673206486200002
ACH-000376,0.167525710923
ACH-000381,-0.044592631301199996
ACH-000383,0.133674227028
ACH-000387,0.146681175573
ACH-000389,0.152705431883
