,DepMap_ID
30241,ACH-000080
30742,ACH-000083
33758,ACH-000097
37121,ACH-000110
38641,ACH-000116
66486,ACH-000219
70547,ACH-000232
90210,ACH-000294
90983,ACH-000296
128368,ACH-000397
150396,ACH-000453
153487,ACH-000462
155463,ACH-000467
167823,ACH-000499
181398,ACH-000532
204993,ACH-000586
207277,ACH-000590
235913,ACH-000651
238969,ACH-000657
241697,ACH-000662
246435,ACH-000670
277167,ACH-000728
285149,ACH-000744
302483,ACH-000773
302484,ACH-000773
328609,ACH-000786
328610,ACH-000786
328611,ACH-000786
377680,ACH-000824
405224,ACH-000860
456399,ACH-000907
491701,ACH-000927
506389,ACH-000934
601782,ACH-000966
609393,ACH-000968
647795,ACH-000978
647796,ACH-000978
647797,ACH-000978
653882,ACH-000979
667765,ACH-000982
673285,ACH-000983
673286,ACH-000983
673287,ACH-000983
691766,ACH-000986
713579,ACH-000989
734781,ACH-000991
734782,ACH-000991
771602,ACH-000992
771603,ACH-000992
771604,ACH-000992
809762,ACH-000993
809763,ACH-000993
848219,ACH-000997
848220,ACH-000997
848221,ACH-000997
919091,ACH-001091
933131,ACH-001137
940330,ACH-001173
950546,ACH-001208
950949,ACH-001211
956725,ACH-001301
960151,ACH-001322
970622,ACH-001345
990501,ACH-001392
1061199,ACH-001654
1070863,ACH-001738
1080346,ACH-002001
1081034,ACH-002002
1081731,ACH-002003
1117935,ACH-002166
1127297,ACH-002180
1132041,ACH-002194
1135216,ACH-002201
1171161,ACH-002258
1172543,ACH-002261
1177695,ACH-002272
1177696,ACH-002272
1177697,ACH-002272
1202333,ACH-002312
1211481,ACH-002349
