,RIN3 (79890)
ACH-000004,-0.160350071022
ACH-000007,0.12324150842800001
ACH-000009,-0.14245813967
ACH-000011,-0.152624589176
ACH-000012,-0.108729923553
ACH-000013,-0.0791519787479
ACH-000014,-0.140998602339
ACH-000015,-0.0922241269125
ACH-000017,-0.0770375509049
ACH-000018,-0.38105836335
ACH-000019,-0.30071031453
ACH-000021,-0.0900965653345
ACH-000022,-0.373968750449
ACH-000025,-0.09205681059139999
ACH-000028,-0.21297224269499998
ACH-000030,-0.12079271139799999
ACH-000035,0.034628187418
ACH-000036,-0.034457578854
ACH-000037,-0.288616515414
ACH-000039,0.06982830807080001
ACH-000040,-0.265915041298
ACH-000041,-0.168457824232
ACH-000042,-0.218308467331
ACH-000045,0.08606582176920001
ACH-000047,-0.0790143084035
ACH-000052,-0.420308299994
ACH-000053,-0.221410020608
ACH-000054,-0.0825632244174
ACH-000055,-0.325333774628
ACH-000060,-0.331999924174
ACH-000067,-0.203456058201
ACH-000070,-0.0298206115405
ACH-000075,0.0905765176443
ACH-000078,-0.110954167213
ACH-000082,-0.366394608803
ACH-000085,0.0701234286703
ACH-000086,-0.127303969998
ACH-000087,-0.363250735501
ACH-000092,-0.125887295364
ACH-000095,-0.252243621405
ACH-000097,-0.230562750224
ACH-000098,-0.18127408700599998
ACH-000099,-0.170238458202
ACH-000108,-0.07965034185719999
ACH-000113,-0.22736604126899998
ACH-000115,-0.29510278221700004
ACH-000116,-0.201788450227
ACH-000118,-0.118051863599
ACH-000120,0.012108528312099999
ACH-000123,-0.180887773693
ACH-000127,-0.165903961636
ACH-000128,-0.128966739746
ACH-000132,-0.0800253190689
ACH-000133,-0.0401617144454
ACH-000137,0.027011633959499997
ACH-000138,-0.0182050935647
ACH-000142,-0.088797044271
ACH-000143,-0.14230956252399998
ACH-000146,-0.296732599581
ACH-000148,-0.11114229608699999
ACH-000150,-0.08022817675860001
ACH-000152,-0.233329747892
ACH-000153,-0.0182395287722
ACH-000159,-0.08989045931369999
ACH-000160,-0.22939311164099999
ACH-000163,0.0408671658965
ACH-000167,-0.04327634996040001
ACH-000168,-0.09812466726630001
ACH-000169,-0.060104383982499995
ACH-000178,-0.16616007033
ACH-000182,-0.10978030878900001
ACH-000183,-0.131163675798
ACH-000188,-0.129768534247
ACH-000189,-0.11231261003200001
ACH-000190,0.0213285375637
ACH-000198,-0.108713171177
ACH-000204,-0.149678560322
ACH-000206,-0.38470012677599996
ACH-000207,-0.28827984504299997
ACH-000211,-0.277525106644
ACH-000215,-0.24338641384799997
ACH-000221,-0.011744381867599999
ACH-000222,-0.14629278945000002
ACH-000223,-0.0381904998614
ACH-000226,-0.110671855543
ACH-000227,-0.219897555266
ACH-000228,-0.0996798450306
ACH-000231,-0.21453515987500002
ACH-000232,-0.125155130161
ACH-000233,-0.049700064656
ACH-000234,-0.0396885661535
ACH-000235,-0.09437317733850001
ACH-000237,0.0019257735642
