,RNF145 (153830)
ACH-000004,-0.323084431296
ACH-000007,-0.453500154318
ACH-000009,-0.7012340472840001
ACH-000011,-0.342565287824
ACH-000012,-0.24190111584399998
ACH-000013,-0.027018468683099997
ACH-000014,-0.077486681389
ACH-000015,-0.32425682146699997
ACH-000017,-0.140677347618
ACH-000018,-0.17785234967099997
ACH-000019,-0.25755939927
ACH-000021,-0.12435502939099999
ACH-000022,-0.07428150040860002
ACH-000025,0.19156495434
ACH-000028,-0.0316211666309
ACH-000030,-0.247839559212
ACH-000035,-0.275791401286
ACH-000036,-0.139472396326
ACH-000037,0.052041767969500004
ACH-000039,-0.229828851624
ACH-000040,-0.09576378163560001
ACH-000041,-0.301881102189
ACH-000042,0.0642483683184
ACH-000045,-0.329601976267
ACH-000047,-0.26367450434
ACH-000052,-0.0683027817079
ACH-000053,-0.228412104464
ACH-000054,-0.130848673431
ACH-000055,0.101762720384
ACH-000060,-0.233000153484
ACH-000067,0.11999147940400001
ACH-000070,-0.284375904906
ACH-000075,0.193162400506
ACH-000078,-0.12211152337000002
ACH-000082,-0.0130223257094
ACH-000085,-0.367958201161
ACH-000086,-0.146633488486
ACH-000087,-0.335609032141
ACH-000092,-0.315966299569
ACH-000095,-0.423208281338
ACH-000097,-0.0981873519197
ACH-000098,-0.138644833419
ACH-000099,0.125720821028
ACH-000108,-0.114881026798
ACH-000113,-0.457525252981
ACH-000115,-0.236230619536
ACH-000116,-0.263304419447
ACH-000118,-0.398440002083
ACH-000120,-0.0561661398823
ACH-000123,-0.189827489445
ACH-000127,-0.188103356281
ACH-000128,-0.469432925172
ACH-000132,-0.563156195552
ACH-000133,-0.191858757911
ACH-000137,-0.126280038104
ACH-000138,-0.0973983541791
ACH-000142,0.131932657545
ACH-000143,-0.0611174837687
ACH-000146,-0.216747449847
ACH-000148,-0.162334081269
ACH-000150,-0.027295767025599996
ACH-000152,-0.11024594651599999
ACH-000153,-0.14244528156199998
ACH-000159,-0.08314834288110001
ACH-000160,-0.260080907332
ACH-000163,-0.215244786582
ACH-000167,-0.673203184994
ACH-000168,-0.340371188798
ACH-000169,-0.11179263642300001
ACH-000178,-0.267816762354
ACH-000182,-0.21090960889199997
ACH-000183,-0.301645537953
ACH-000188,-0.223033616637
ACH-000189,-0.122910684079
ACH-000190,-0.184208760236
ACH-000198,-0.470555291851
ACH-000204,-0.0681545698263
ACH-000206,-0.287027642288
ACH-000207,-0.36811680213299997
ACH-000211,-0.422508916623
ACH-000215,-0.130876688305
ACH-000221,-0.414683512803
ACH-000222,-0.206120887448
ACH-000223,-0.453668488884
ACH-000226,-0.47032657754199997
ACH-000227,-0.12509409625700002
ACH-000228,-0.10826271345899999
ACH-000231,-0.134660435408
ACH-000232,-0.396114338909
ACH-000233,-0.28996639258900003
ACH-000234,-0.202264753372
ACH-000235,-0.113166846173
ACH-000237,-0.228019441613
ACH-000238,0.0335417152587
ACH-000243,-0.22844666256299997
ACH-000244,-0.0897208917028
ACH-000246,-0.00449571314003
