,DepMap_ID
4869,ACH-000015
84311,ACH-000275
91891,ACH-000298
122191,ACH-000381
248549,ACH-000674
308227,ACH-000780
395007,ACH-000847
476758,ACH-000919
490493,ACH-000926
525334,ACH-000941
575882,ACH-000958
636841,ACH-000975
778960,ACH-000992
778961,ACH-000992
778962,ACH-000992
778963,ACH-000992
778964,ACH-000992
778965,ACH-000992
778966,ACH-000992
778967,ACH-000992
778968,ACH-000992
778969,ACH-000992
913678,ACH-001081
934736,ACH-001143
971667,ACH-001345
993555,ACH-001402
1013853,ACH-001517
1020482,ACH-001528
1115982,ACH-002164
1205158,ACH-002336
