,SAMSN1 (64092)
ACH-000004,0.0291066384635
ACH-000007,0.0225375300372
ACH-000009,-0.0271745173813
ACH-000011,0.161184268773
ACH-000012,0.06369809759180001
ACH-000013,0.20323535765200001
ACH-000014,0.34330286155100004
ACH-000015,0.13926052135
ACH-000017,0.194602498272
ACH-000018,0.18770607663
ACH-000019,-0.08129626123019999
ACH-000021,0.214640563204
ACH-000022,0.136550432578
ACH-000025,0.283525654764
ACH-000028,0.0162122153339
ACH-000030,0.050729936330399995
ACH-000035,0.152844426913
ACH-000036,0.0790608275553
ACH-000037,0.149525493256
ACH-000039,0.035435974200800004
ACH-000040,0.152151760214
ACH-000041,0.338564210115
ACH-000042,0.131322549466
ACH-000045,0.197816067145
ACH-000047,0.0592644061794
ACH-000052,0.30017974843
ACH-000053,0.187932761116
ACH-000054,0.0714439442664
ACH-000055,0.111447967843
ACH-000060,-0.0829772238104
ACH-000067,0.020912618039
ACH-000070,0.210940344094
ACH-000075,0.265012790084
ACH-000078,-0.06273469477030001
ACH-000082,0.056302537657
ACH-000085,0.301299252488
ACH-000086,0.12868526271
ACH-000087,-0.011810934754899999
ACH-000092,0.129681853185
ACH-000095,0.0689791945131
ACH-000097,0.134972539721
ACH-000098,0.13113434667999999
ACH-000099,0.149894132009
ACH-000108,0.241775150513
ACH-000113,0.163116971707
ACH-000115,0.21544151650600002
ACH-000116,0.232592723063
ACH-000118,0.176958500647
ACH-000120,0.008876801385110001
ACH-000123,0.183580427289
ACH-000127,0.132183088762
ACH-000128,0.136881214748
ACH-000132,-0.107773734864
ACH-000133,0.0283532979054
ACH-000137,0.10795302155
ACH-000138,0.21443828004299997
ACH-000142,0.196290929657
ACH-000143,0.222529153231
ACH-000146,0.07728955749630001
ACH-000148,0.260704216006
ACH-000150,0.025561545834300002
ACH-000152,0.11465316012599999
ACH-000153,0.0656053276566
ACH-000159,0.237043556397
ACH-000160,-0.0267307024858
ACH-000163,0.30287078325399996
ACH-000167,0.0499150440577
ACH-000168,0.0799116609119
ACH-000169,0.014937873186099999
ACH-000178,0.191082187838
ACH-000182,0.24703115928599997
ACH-000183,0.0475845593306
ACH-000188,-0.00995992534726
ACH-000189,0.150007466803
ACH-000190,0.09143076830260001
ACH-000198,0.00109722948396
ACH-000204,0.316241337769
ACH-000206,0.0637067213258
ACH-000207,0.10701608992100001
ACH-000211,0.138554336823
ACH-000215,-0.035081040018000005
ACH-000221,0.212844807115
ACH-000222,0.0826902192345
ACH-000223,0.15769550692
ACH-000226,-0.0414550690793
ACH-000227,0.017874935387099996
ACH-000228,-0.00712696852143
ACH-000231,0.21200271078699998
ACH-000232,-0.480766507001
ACH-000233,0.257481942863
ACH-000234,0.224254372951
ACH-000235,0.013502922904700001
ACH-000237,0.18621755177000002
ACH-000238,0.156303751098
ACH-000243,0.0423444277202
ACH-000244,0.0991545921399
ACH-000246,0.132412045344
ACH-000248,0.110336094003
ACH-000250,0.0691674208956
ACH-000251,-0.240471556997
ACH-000253,0.246591363389
ACH-000255,-0.0394309773341
ACH-000256,0.303577832557
ACH-000257,-0.0862112506347
ACH-000258,-0.0181434327001
ACH-000259,0.119424578081
ACH-000260,0.014474674328100002
ACH-000261,0.186500793397
ACH-000262,0.25676133794
ACH-000263,0.142422375844
ACH-000264,-0.0915892297061
ACH-000265,-0.0681181623879
ACH-000266,0.0762482475072
ACH-000272,0.250283588698
ACH-000273,0.21809897146200002
ACH-000274,0.09507798181129999
ACH-000277,0.150056348235
ACH-000278,0.115655377837
ACH-000279,0.09760846820560001
ACH-000280,0.239183726068
ACH-000281,0.14137343785700002
ACH-000288,0.0479916655261
ACH-000291,0.150920015411
ACH-000293,0.41397090181199997
ACH-000294,0.0794057598827
ACH-000295,0.0598811358029
ACH-000296,-0.0592272146309
ACH-000302,0.0992275061946
ACH-000304,0.417531821758
ACH-000307,0.152440511798
ACH-000308,0.07818412225810001
ACH-000310,-0.0184804277855
ACH-000311,0.118334927016
ACH-000312,-0.0452298502527
ACH-000315,0.143027570759
ACH-000316,0.217719000238
ACH-000317,0.0681712573959
ACH-000318,0.11103430133199998
ACH-000319,0.175428652018
ACH-000320,0.147164320312
ACH-000322,0.20451670503199998
ACH-000323,0.0757543728488
ACH-000324,0.030501198056200003
ACH-000329,0.174268077498
ACH-000330,0.213215366648
ACH-000331,0.173542365632
ACH-000332,0.158096771128
ACH-000334,0.0693776198017
ACH-000335,0.0204624060031
ACH-000336,0.274071463768
ACH-000337,0.399642057517
ACH-000339,0.005714240962800001
ACH-000341,0.163056338741
ACH-000348,0.154923440842
ACH-000350,0.047835554823900006
ACH-000352,0.357822828135
ACH-000356,0.325813855386
ACH-000361,0.0276391031704
ACH-000362,0.08215174518160001
ACH-000363,0.00397686795129
ACH-000364,0.186751713763
ACH-000365,0.155070362631
ACH-000366,0.08603785363029999
ACH-000368,0.107757787417
ACH-000374,0.27082654426999997
ACH-000375,0.336629599904
ACH-000376,0.240861638235
ACH-000381,-0.193713597095
ACH-000383,0.0705752905934
ACH-000387,0.0504129330151
ACH-000389,0.260328085462
ACH-000390,-0.024851177412400005
ACH-000393,0.231156725812
ACH-000395,0.2817874617
ACH-000397,0.18550228171900002
ACH-000401,0.20113104766399997
ACH-000402,0.222472633134
ACH-000403,0.22786457046599998
ACH-000404,0.241281457861
ACH-000406,0.11831309720899999
ACH-000407,0.023221771858099996
ACH-000408,0.195334977293
ACH-000410,0.166364269102
ACH-000411,0.145009953403
ACH-000414,0.0693842083265
ACH-000415,0.0624227553154
ACH-000416,0.204243373832
ACH-000420,0.0990273758055
ACH-000421,0.283561591955
ACH-000424,0.24509476804299998
ACH-000425,0.110200931513
ACH-000426,0.101300696141
ACH-000427,0.0968235571985
ACH-000433,0.10752499599000001
ACH-000436,0.389903913572
ACH-000444,0.18130398519000002
ACH-000445,0.014305182972299999
ACH-000448,0.20100384163899998
ACH-000450,0.205931709824
ACH-000452,0.0382158069639
ACH-000454,-0.154372153884
ACH-000458,-0.00334469411465
ACH-000459,0.148883373202
ACH-000460,0.214707874974
ACH-000461,0.18303965197799998
ACH-000463,0.19484732631999999
ACH-000464,0.23204488905
ACH-000466,0.288764685991
ACH-000467,0.170406671697
ACH-000468,0.214267767701
ACH-000469,0.197833853647
ACH-000470,0.0481429793334
ACH-000471,0.28231994481899997
ACH-000472,0.1487847108
ACH-000473,0.256441109298
ACH-000475,0.0921029880562
ACH-000476,0.13178562589099999
ACH-000477,0.106133458692
ACH-000480,0.119403250337
ACH-000481,0.11127659920999998
ACH-000483,-0.0878428342574
ACH-000484,0.0768901276641
ACH-000485,0.22749438070500003
ACH-000486,0.039350329036800004
ACH-000487,-0.278672810408
ACH-000488,0.24110219618700002
ACH-000490,0.189096604162
ACH-000491,0.08710803114869999
ACH-000495,0.30170955035
ACH-000496,0.016584479944799998
ACH-000499,0.283502590346
ACH-000500,0.011343063904999999
ACH-000502,0.124469656403
ACH-000503,0.0802891592016
ACH-000505,0.224574948758
ACH-000507,0.245977465435
ACH-000510,0.160736987159
ACH-000511,0.0818758691688
ACH-000512,0.0892921016491
ACH-000516,0.18285465793900002
ACH-000517,0.167794414687
ACH-000518,0.0341378668602
ACH-000520,0.0750294467979
ACH-000521,0.0206441629548
ACH-000522,-0.0718961018049
ACH-000524,-0.13631414123299998
ACH-000527,0.127996442169
ACH-000528,0.07455058019489999
ACH-000537,0.0132109507804
ACH-000541,0.41185273217
ACH-000542,0.10090453591600002
ACH-000544,0.207889517478
ACH-000545,-0.0425287050464
ACH-000547,0.129150330455
ACH-000548,0.131840403221
ACH-000549,-0.035679664303
ACH-000550,0.180952523516
ACH-000552,0.103807136863
ACH-000556,0.151459883245
ACH-000557,0.223785026109
ACH-000570,0.0810660035073
ACH-000571,0.186746878794
ACH-000573,0.154827888476
ACH-000576,0.05082723464930001
ACH-000580,0.0335607806291
ACH-000584,0.141182895087
ACH-000585,0.08312930411519999
ACH-000588,0.20225190619199998
ACH-000589,0.056309935111600005
ACH-000591,0.107798258366
ACH-000593,0.20732491130300001
ACH-000600,0.080213165307
ACH-000601,0.174271067245
ACH-000604,-0.365223765362
ACH-000605,0.162998428001
ACH-000606,-0.035645279844
ACH-000608,0.176034694507
ACH-000614,0.000904326365754
ACH-000616,0.0766610350567
ACH-000618,0.173181669797
ACH-000619,0.08826408393139999
ACH-000620,-0.00531082329779
ACH-000621,0.0461789948078
ACH-000622,0.10118515517200001
ACH-000623,0.135446963093
ACH-000624,-0.05015042066000001
ACH-000627,-0.0014394474441500001
ACH-000630,0.12445566086899999
ACH-000632,0.10868581757000001
ACH-000633,0.055375397225400004
ACH-000637,0.115475960649
ACH-000638,0.0591529601519
ACH-000646,0.12862228536599998
ACH-000647,0.165608166249
ACH-000648,0.167358830384
ACH-000649,0.17687391355
ACH-000651,0.13686503773199998
ACH-000652,0.21008218117400002
ACH-000653,0.201423366693
ACH-000657,0.126483052925
ACH-000658,0.0489318119216
ACH-000661,0.12860750075
ACH-000662,-0.031327248818900005
ACH-000663,0.1366009225
ACH-000665,0.122839812058
ACH-000671,0.100505994704
ACH-000673,0.146985823991
ACH-000676,0.21596460006999998
ACH-000677,0.168668566109
ACH-000681,0.109959747776
ACH-000682,0.14156869015
ACH-000683,0.222922025125
ACH-000684,0.34426723682
ACH-000688,0.155827881916
ACH-000693,0.0725696649583
ACH-000694,0.104459641059
ACH-000695,0.509789368407
ACH-000696,0.161836433029
ACH-000697,0.13202767673000002
ACH-000699,0.08625685596260001
ACH-000701,0.296627216401
ACH-000706,0.178936509578
ACH-000711,0.201608525213
ACH-000713,-0.024410382276599998
ACH-000714,0.23731153379500003
ACH-000718,-0.0566013885673
ACH-000720,0.078995974472
ACH-000721,0.085429460052
ACH-000724,0.361328136214
ACH-000725,0.160747369997
ACH-000732,0.165785480763
ACH-000734,0.186621987962
ACH-000735,0.18286120574499998
ACH-000736,0.327604965982
ACH-000738,0.029530334427
ACH-000746,0.221854413074
ACH-000747,0.303789030787
ACH-000748,0.042125304560699996
ACH-000753,0.22213391079
ACH-000756,0.17153328535
ACH-000757,0.026601257599999997
ACH-000758,0.264283929175
ACH-000760,0.0887862383781
ACH-000763,0.20064741548
ACH-000764,0.140012494144
ACH-000765,0.412221869265
ACH-000766,0.0023489653330300004
ACH-000767,0.212913855962
ACH-000768,0.208771923354
ACH-000769,0.130737347337
ACH-000770,-0.0467002266009
ACH-000771,0.312471938491
ACH-000773,0.07070522823910001
ACH-000776,0.146385245444
ACH-000777,0.12952742151799998
ACH-000778,0.12103266271
ACH-000781,0.13216396472300002
ACH-000782,0.269391027335
ACH-000783,0.17985965970400003
ACH-000784,0.136350537654
ACH-000785,0.046482928240099995
ACH-000787,0.12432900391200001
ACH-000788,0.0670692163134
ACH-000791,-0.00496852739874
ACH-000792,0.236538938031
ACH-000794,0.310309118961
ACH-000796,0.09913974286800001
ACH-000799,0.14352374417400002
ACH-000800,0.17007843057100003
ACH-000802,0.065971808224
ACH-000804,0.11213901002599999
ACH-000805,0.39138811859399997
ACH-000809,0.219001680115
ACH-000810,0.12996655775000002
ACH-000811,0.07388334901869999
ACH-000817,0.0874703448174
ACH-000819,0.147906621589
ACH-000820,-0.00165520108286
ACH-000821,0.116581087432
ACH-000822,0.168445254692
ACH-000823,0.18374197522100003
ACH-000824,0.142084862886
ACH-000827,0.15529118189000002
ACH-000829,0.0889977899809
ACH-000831,0.0674043226401
ACH-000832,0.17017743711199998
ACH-000833,0.19694112871
ACH-000834,0.20947956130800002
ACH-000835,0.0277482320637
ACH-000836,0.149229965008
ACH-000837,0.192299282084
ACH-000838,0.0733361139024
ACH-000839,0.10575524648199999
ACH-000840,-0.014415786362700002
ACH-000841,0.320230960919
ACH-000843,0.403613968591
ACH-000846,0.14939347582100002
ACH-000847,0.13904532318399998
ACH-000848,0.289749959793
ACH-000849,0.024631130169500002
ACH-000851,-0.0112880257241
ACH-000855,0.288121770484
ACH-000856,0.115066043696
ACH-000858,0.159222892814
ACH-000859,0.42395928864200005
ACH-000861,0.0638557175813
ACH-000862,0.00967044111642
ACH-000865,0.15517340882000002
ACH-000866,0.211023624227
ACH-000867,0.14940916071799998
ACH-000869,0.06879900722849999
ACH-000872,0.172053733013
ACH-000873,0.30835802416200003
ACH-000876,0.16802576362500002
ACH-000878,0.0514493387532
ACH-000880,0.141067315985
ACH-000881,0.120543847215
ACH-000882,0.176330181745
ACH-000884,0.184611875728
ACH-000885,0.08315529588460001
ACH-000887,0.0700236065121
ACH-000888,0.116816706718
ACH-000889,0.153253322026
ACH-000890,0.268701624963
ACH-000896,0.179640650259
ACH-000898,0.198624537359
ACH-000900,0.0906407204611
ACH-000901,-0.0215709372384
ACH-000905,0.0910512444427
ACH-000906,0.138288340858
ACH-000907,0.262926842425
ACH-000910,0.174464484292
ACH-000911,0.13794099512
