,SCNN1A (6337)
ACH-000004,-0.198302033215
ACH-000007,0.135142436382
ACH-000009,-0.0672121780083
ACH-000011,-0.0606872394781
ACH-000012,0.143212504148
ACH-000013,0.143451545562
ACH-000014,-0.11550789014900001
ACH-000015,-0.0409634109359
ACH-000017,-0.107017488656
ACH-000018,0.241753999869
ACH-000019,0.34246553016000003
ACH-000021,-0.0800024367517
ACH-000022,0.0375555274065
ACH-000025,0.00275302511311
ACH-000028,0.265755846197
ACH-000030,0.0230540967038
ACH-000035,0.042873848686
ACH-000036,-0.0250595265605
ACH-000037,0.196493769018
ACH-000039,-0.0920329170383
ACH-000040,0.262321289284
ACH-000041,-0.160203722247
ACH-000042,0.030987512199
ACH-000045,-0.0124976251645
ACH-000047,0.174480312425
ACH-000052,-0.10420112389399999
ACH-000053,0.123253166818
ACH-000054,-0.0328479063382
ACH-000055,0.042715456153300004
ACH-000060,0.190960261229
ACH-000067,-0.07627946512789999
ACH-000070,-0.0519008705737
ACH-000075,0.175048416102
ACH-000078,-0.28638933419
ACH-000082,-0.17292274925099999
ACH-000085,0.0166165474062
ACH-000086,0.10795063994899999
ACH-000087,0.053218183147999996
ACH-000092,0.05604637830130001
ACH-000095,0.0828829050247
ACH-000097,-0.026222557100499998
ACH-000098,0.0407389182365
ACH-000099,-0.0626261446861
ACH-000108,0.048313503790999995
ACH-000113,0.191050833592
ACH-000115,-0.00293168754007
ACH-000116,-0.00615111007198
ACH-000118,0.005201299450149999
ACH-000120,-0.21828946049000003
ACH-000123,-0.0400337667331
ACH-000127,-0.028135685008299997
ACH-000128,0.196702183748
ACH-000132,0.040815435206
ACH-000133,-0.106371414313
ACH-000137,0.0178802837444
ACH-000138,-0.206612407643
ACH-000142,-0.09065980611369999
ACH-000143,0.009907030488490001
ACH-000146,0.0423379211795
ACH-000148,-0.042379145318599994
ACH-000150,-0.16905198317899997
ACH-000152,0.138660608534
ACH-000153,0.220291005844
ACH-000159,-0.101056820723
ACH-000160,0.05340217273490001
ACH-000163,0.0310497225728
ACH-000167,-0.18637382340999997
ACH-000168,-0.104856974021
ACH-000169,0.04541375872819999
ACH-000178,-0.09709398718969998
ACH-000182,0.0625954400241
ACH-000183,-0.026419226194
ACH-000188,0.039326859276800005
ACH-000189,0.0330092040221
ACH-000190,0.262474390151
ACH-000198,-0.132597110656
ACH-000204,0.054882513231600004
ACH-000206,0.206352694969
ACH-000207,0.160377573529
ACH-000211,-0.018618759321
ACH-000215,-0.170668383033
ACH-000221,0.0619693676725
ACH-000222,-0.11363291771400001
ACH-000223,-0.055848956232
ACH-000226,0.0372368111978
ACH-000227,0.0823679349005
ACH-000228,-0.114465546649
ACH-000231,0.145931646667
ACH-000232,0.0244051555731
ACH-000233,-0.0371952856604
ACH-000234,-0.08429981739039999
ACH-000235,-0.0477238057391
ACH-000237,0.012049697326
ACH-000238,-0.0602892199556
ACH-000243,-0.0663118721504
ACH-000244,-0.148174973972
ACH-000246,0.0162038631618
ACH-000248,0.182356270546
ACH-000250,-0.0243504724347
ACH-000251,0.12734757013
ACH-000253,0.0048532541632200004
ACH-000255,-0.15195964647399998
ACH-000256,-0.302435346151
ACH-000257,0.574009213249
ACH-000258,-0.10301682813799999
ACH-000259,0.011832729722899999
ACH-000260,0.0420165263222
ACH-000261,0.0795468658765
ACH-000262,0.019270381620799998
ACH-000263,0.050341332211600004
ACH-000264,0.0110832558499
ACH-000265,-0.006658552487989999
ACH-000266,-0.144019033647
ACH-000272,-0.00257271347818
ACH-000273,0.03816133842469999
ACH-000274,0.00215966371864
ACH-000277,0.0784485755863
ACH-000278,-0.130061026458
ACH-000279,-0.287348580402
ACH-000280,-0.130656065389
ACH-000281,-0.08697718282500001
ACH-000288,-0.133079699056
ACH-000291,-0.0458317890508
ACH-000293,0.069090859373
ACH-000294,0.125863358028
ACH-000295,0.11306267882000001
ACH-000296,0.123713039224
ACH-000302,0.018327000057
ACH-000304,0.237822735267
ACH-000307,-0.068269289986
ACH-000308,-0.12848885896099999
ACH-000310,0.0385440964583
ACH-000311,-0.276003067999
ACH-000312,-0.0899472637987
ACH-000315,0.242767664101
ACH-000316,-0.16286615232999999
ACH-000317,-0.29086900957600004
ACH-000318,-0.209951031712
ACH-000319,0.12832538497
ACH-000320,-0.305733095415
ACH-000322,-0.139632468521
ACH-000323,-0.106873756041
ACH-000324,-0.13354631220000002
ACH-000329,-0.219946902449
ACH-000330,-0.0227599327925
ACH-000331,0.254538709618
ACH-000332,-0.187914682097
ACH-000334,0.273641355413
ACH-000335,-0.23648481785999997
ACH-000336,0.221355726914
ACH-000337,0.310349269733
ACH-000339,-0.019259560542200002
ACH-000341,-0.005850852480220001
ACH-000348,0.0607242451057
ACH-000350,0.138776956398
ACH-000352,-0.08370875909350001
ACH-000356,-0.0601335139171
ACH-000361,-0.0373271693376
ACH-000362,-0.159429695923
ACH-000363,0.192391496917
ACH-000364,0.0413000408077
ACH-000365,-0.173792634562
ACH-000366,0.032613108533400006
ACH-000368,0.136541329318
ACH-000374,0.158759121827
ACH-000375,0.0069050852231400004
ACH-000376,-0.079912271393
ACH-000381,-0.0279449013805
ACH-000383,0.03947337147880001
ACH-000387,0.04775717943419999
ACH-000389,-0.0197834945812
ACH-000390,-0.176586168718
ACH-000393,-0.11486174420999998
ACH-000395,-0.185952221572
ACH-000397,-0.019992372122799997
ACH-000401,0.00709562958105
ACH-000402,-0.6267820205
ACH-000403,0.0608479986974
ACH-000404,0.0794049938775
ACH-000406,-0.00611560197711
ACH-000407,-0.08464415819
ACH-000408,-0.0431662768341
ACH-000410,0.00912927720351
ACH-000411,0.09231821720899999
ACH-000414,-0.292949881346
ACH-000415,0.07021614632539999
ACH-000416,-0.007175569030520001
ACH-000420,-0.188190569047
ACH-000421,-0.0761389696481
ACH-000424,0.183347710548
ACH-000425,-0.0594383094802
ACH-000426,0.0334095755207
ACH-000427,0.152308413627
ACH-000433,0.014471581621
ACH-000436,0.0425701704683
ACH-000444,0.0806552735074
ACH-000445,-0.0761433132322
ACH-000448,-0.08034754518239999
ACH-000450,0.251816008011
ACH-000452,-0.074661916039
ACH-000454,-0.042603631350999996
ACH-000458,0.00600425969378
ACH-000459,0.24228284834000002
ACH-000460,-0.0152462763949
ACH-000461,0.0252318214927
ACH-000463,0.033280113611699996
ACH-000464,-0.363862834274
ACH-000466,0.0725632966817
ACH-000467,0.0180004653938
ACH-000468,-0.24444790528000002
ACH-000469,0.039604285902400005
ACH-000470,0.0177041550298
ACH-000471,-0.140737546841
ACH-000472,-0.00821914427502
ACH-000473,0.125019402624
ACH-000475,0.15231429720200002
ACH-000476,-0.0902741695213
ACH-000477,0.0109123224605
ACH-000480,0.0865821031418
ACH-000481,-0.124154649169
ACH-000483,-0.0823580275964
ACH-000484,0.18118456133400002
ACH-000485,0.0510091058512
ACH-000486,0.023688888994299998
ACH-000487,0.07044208556460001
ACH-000488,0.0309462092938
ACH-000490,0.16581878628799998
ACH-000491,-0.07957910607339999
ACH-000495,0.205189846294
ACH-000496,-0.187401938748
ACH-000499,-0.00201837682806
ACH-000500,0.204231583932
ACH-000502,0.00853068093776
ACH-000503,-0.506104887284
ACH-000505,-0.289061744571
ACH-000507,0.011680014504200002
ACH-000510,0.0530724791039
ACH-000511,0.08684389407029999
ACH-000512,-0.123586648696
ACH-000516,0.0790692335122
ACH-000517,-0.0322833565749
ACH-000518,-0.012666526803299999
ACH-000520,0.0107780502726
ACH-000521,-0.151538378346
ACH-000522,-0.08784629907239999
ACH-000524,-0.0190011769525
ACH-000527,-0.000111476455563
ACH-000528,0.0577640524785
ACH-000537,0.11855939232200001
ACH-000541,-0.0683349763489
ACH-000542,0.057883285484
ACH-000544,-0.030232863449699998
ACH-000545,0.0298030272489
ACH-000547,-0.0573249660068
ACH-000548,-0.0570421605071
ACH-000549,-0.09826295214689999
ACH-000550,-0.22416240866
ACH-000552,-0.0441336129279
ACH-000556,0.035717547821
ACH-000557,-0.145484671233
ACH-000570,0.109263992292
ACH-000571,0.020781370031099998
ACH-000573,0.013723462179299997
ACH-000576,0.06082961883330001
ACH-000580,0.171848482139
ACH-000584,-0.07991268142039999
ACH-000585,-0.057514250050499996
ACH-000588,-0.18524368000500002
ACH-000589,-0.22293245567699999
ACH-000591,0.17244407557
ACH-000593,0.115394681138
ACH-000600,-0.039697031742599996
ACH-000601,0.00455945962603
ACH-000604,-0.10620862680500001
ACH-000605,-0.013364491077000001
ACH-000606,0.0146316412893
ACH-000608,-0.0414836572623
ACH-000614,0.00161349114522
ACH-000616,0.181088705396
ACH-000618,-0.05180967266
ACH-000619,-0.056645287240900004
ACH-000620,-0.0281427967245
ACH-000621,-0.0722915932799
ACH-000622,-0.24286968881299997
ACH-000623,-0.0844598452176
ACH-000624,-0.0179962157189
ACH-000627,-0.03214762063
ACH-000630,0.013093508125
ACH-000632,-0.101138986442
ACH-000633,-0.17693663106600002
ACH-000637,0.06307273545969999
ACH-000638,0.091412512931
ACH-000646,0.07912259831389999
ACH-000647,0.0202159065034
ACH-000648,-0.13764687877499998
ACH-000649,-0.0876057274569
ACH-000651,-0.06456511970430001
ACH-000652,-0.102480948385
ACH-000653,0.226491316206
ACH-000657,0.07673656254269999
ACH-000658,0.07304413651160001
ACH-000661,0.104339121176
ACH-000662,-0.128886555276
ACH-000663,0.117948667807
ACH-000665,0.149211571245
ACH-000671,0.0964369560826
ACH-000673,-0.0820566483253
ACH-000676,-0.206345625709
ACH-000677,-0.252826625804
ACH-000681,-0.028695707533200002
ACH-000682,-0.021755922671300002
ACH-000683,-0.045373080378300006
ACH-000684,-0.0132010758186
ACH-000688,0.0387493199121
ACH-000693,-0.0115614466035
ACH-000694,-0.0336953835542
ACH-000695,-0.13935889418400002
ACH-000696,0.0395771866293
ACH-000697,-0.0051365493768100005
ACH-000699,0.0702235926371
ACH-000701,-0.0502843311071
ACH-000706,0.11081799943
ACH-000711,-0.0235795081844
ACH-000713,0.352271742831
ACH-000714,-0.018341488877400003
ACH-000718,-0.056928503456899995
ACH-000720,0.0225096362916
ACH-000721,-0.00873041745177
ACH-000724,0.250977226292
ACH-000725,-0.08521231074060001
ACH-000732,0.12477778118499999
ACH-000734,-0.15308627289100002
ACH-000735,-0.0805206631009
ACH-000736,-0.036768642224199996
ACH-000738,-0.0552858059137
ACH-000746,-0.312022495417
ACH-000747,0.167868134661
ACH-000748,0.0681402584728
ACH-000753,-0.100323645215
ACH-000756,-0.0642213830716
ACH-000757,-0.156015341346
ACH-000758,0.09513844957939999
ACH-000760,-0.0465339996759
ACH-000763,0.0658248693241
ACH-000764,-0.16082124134
ACH-000765,0.0653055795576
ACH-000766,0.0332152791323
ACH-000767,0.21715411380999997
ACH-000768,0.029530526121700002
ACH-000769,0.298254560519
ACH-000770,-0.052219911150699995
ACH-000771,0.00414917213029
ACH-000773,-0.09198929395260001
ACH-000776,-0.010685027380500001
ACH-000777,0.047973015267099996
ACH-000778,-0.162233020878
ACH-000781,-0.0676015422219
ACH-000782,-0.127156467132
ACH-000783,0.033552933881599994
ACH-000784,0.0462641320287
ACH-000785,0.0456365590204
