,DepMap_ID
43947,ACH-000138
44889,ACH-000142
98265,ACH-000314
109734,ACH-000348
153322,ACH-000461
153616,ACH-000462
166438,ACH-000493
183912,ACH-000539
205840,ACH-000587
243095,ACH-000664
255399,ACH-000687
263797,ACH-000702
308507,ACH-000780
342077,ACH-000786
355326,ACH-000795
379359,ACH-000826
391578,ACH-000843
392645,ACH-000844
397963,ACH-000851
404430,ACH-000859
411257,ACH-000866
421485,ACH-000875
422595,ACH-000876
422596,ACH-000876
454158,ACH-000904
454881,ACH-000905
456960,ACH-000907
472060,ACH-000916
484589,ACH-000922
501162,ACH-000931
528289,ACH-000942
537037,ACH-000945
547832,ACH-000949
567403,ACH-000955
570467,ACH-000956
579985,ACH-000959
586258,ACH-000961
586259,ACH-000961
643592,ACH-000977
650903,ACH-000978
695162,ACH-000986
695163,ACH-000986
702556,ACH-000987
709577,ACH-000988
709578,ACH-000988
729315,ACH-000990
729316,ACH-000990
738971,ACH-000991
796630,ACH-000992
796631,ACH-000992
796632,ACH-000992
796633,ACH-000992
796634,ACH-000992
796635,ACH-000992
796636,ACH-000992
796637,ACH-000992
796638,ACH-000992
796639,ACH-000992
796640,ACH-000992
796641,ACH-000992
796642,ACH-000992
796643,ACH-000992
796644,ACH-000992
796645,ACH-000992
796646,ACH-000992
796647,ACH-000992
796648,ACH-000992
796649,ACH-000992
842163,ACH-000996
842164,ACH-000996
852847,ACH-000997
863272,ACH-000998
887382,ACH-000999
887383,ACH-000999
894183,ACH-001024
894184,ACH-001024
896906,ACH-001041
916199,ACH-001081
921895,ACH-001111
952791,ACH-001233
978426,ACH-001362
990030,ACH-001390
1010135,ACH-001498
1015420,ACH-001517
1026388,ACH-001548
1032040,ACH-001550
1059785,ACH-001650
1064074,ACH-001680
1071643,ACH-001738
1071644,ACH-001738
1119317,ACH-002166
1123007,ACH-002174
1135827,ACH-002202
1135828,ACH-002202
1136887,ACH-002207
1141478,ACH-002220
1156228,ACH-002238
1162237,ACH-002254
1191004,ACH-002295
1192779,ACH-002301
1200595,ACH-002309
1216134,ACH-002371
