,SERPINI1 (5274)
ACH-000004,-0.030466584439999996
ACH-000007,0.0650680882314
ACH-000009,0.0229780591219
ACH-000011,0.103277004305
ACH-000012,0.017397478141
ACH-000013,0.17726804536899998
ACH-000014,0.05966941588880001
ACH-000015,0.0507155094481
ACH-000017,0.175360043698
ACH-000018,-0.165207578087
ACH-000019,-0.0772294178659
ACH-000021,-0.026378997843400004
ACH-000022,0.23071635515099997
ACH-000025,-0.064548337575
ACH-000028,-0.106406683682
ACH-000030,0.0534311836077
ACH-000035,-0.00345658066865
ACH-000036,0.07880330892239999
ACH-000037,0.177297656604
ACH-000039,-0.0342659078237
ACH-000040,0.125765393439
ACH-000041,0.0182239065333
ACH-000042,-0.0693403559607
ACH-000045,-0.0347681454226
ACH-000047,-0.0443471355767
ACH-000052,0.15303379969699998
ACH-000053,0.0382485074919
ACH-000054,-0.081558093867
ACH-000055,0.0840369130747
ACH-000060,-0.00948722630704
ACH-000067,-0.0113694710651
ACH-000070,0.200143869169
ACH-000075,0.196724356708
ACH-000078,-0.10551356226500001
ACH-000082,0.105245912873
ACH-000085,0.026886448045099997
ACH-000086,0.15725661053099999
ACH-000087,0.163402471872
ACH-000092,-0.0942326289239
ACH-000095,0.0852002676599
ACH-000097,0.07500044849719999
ACH-000098,0.114309618308
ACH-000099,-0.0110112413509
ACH-000108,0.012968740440799998
ACH-000113,-0.09256201530269999
ACH-000115,-0.131162185178
ACH-000116,0.0298057165509
ACH-000118,0.049593464879700004
ACH-000120,-0.00170741438525
ACH-000123,0.0322293938895
ACH-000127,0.0608653876432
ACH-000128,-0.115789265802
ACH-000132,-0.060840405366199994
ACH-000133,0.037107455459500005
ACH-000137,0.208211450451
ACH-000138,-0.0850295986248
ACH-000142,0.160848987015
ACH-000143,0.0417715526851
ACH-000146,-0.032337302091999996
ACH-000148,0.0037030566770700005
ACH-000150,0.245428513383
ACH-000152,0.0788570845797
ACH-000153,0.43252622788500006
ACH-000159,0.0517531350037
ACH-000160,0.042148262676800004
ACH-000163,-0.0298534252845
ACH-000167,0.12224307942299999
ACH-000168,-0.126263028115
ACH-000169,0.021834715326
ACH-000178,-0.0133742684907
ACH-000182,-0.0750708748037
ACH-000183,0.0850340658045
ACH-000188,0.198910305997
ACH-000189,0.234099923629
ACH-000190,-0.11955709592599999
ACH-000198,0.09785515362460001
ACH-000204,-0.075537377763
ACH-000206,0.18833246715500002
ACH-000207,0.026575322400599996
ACH-000211,-0.0301664957479
ACH-000215,0.0772865428469
