,DepMap_ID
11109,ACH-000036
15674,ACH-000043
16271,ACH-000046
18240,ACH-000055
38825,ACH-000117
39721,ACH-000121
40693,ACH-000126
41867,ACH-000130
44429,ACH-000141
47084,ACH-000151
49092,ACH-000158
49093,ACH-000158
52732,ACH-000172
53426,ACH-000175
54823,ACH-000180
58664,ACH-000195
59524,ACH-000197
59525,ACH-000197
62819,ACH-000207
65399,ACH-000217
77316,ACH-000253
77974,ACH-000255
78935,ACH-000258
86886,ACH-000283
87579,ACH-000286
89132,ACH-000291
94634,ACH-000307
94967,ACH-000308
101961,ACH-000325
103836,ACH-000331
110287,ACH-000350
110775,ACH-000351
117189,ACH-000368
119377,ACH-000374
124661,ACH-000388
126403,ACH-000393
127453,ACH-000395
127939,ACH-000396
132725,ACH-000409
132726,ACH-000409
133473,ACH-000411
133474,ACH-000411
133753,ACH-000412
139276,ACH-000426
139277,ACH-000426
154963,ACH-000466
164934,ACH-000490
168115,ACH-000500
185085,ACH-000543
185394,ACH-000544
191380,ACH-000556
193776,ACH-000561
211069,ACH-000599
213160,ACH-000604
218647,ACH-000616
220523,ACH-000620
230582,ACH-000640
237869,ACH-000655
239888,ACH-000659
241043,ACH-000661
242201,ACH-000663
244593,ACH-000667
248974,ACH-000675
250651,ACH-000678
253032,ACH-000682
253523,ACH-000683
254436,ACH-000685
257112,ACH-000692
260983,ACH-000698
264095,ACH-000703
277035,ACH-000728
283269,ACH-000740
288075,ACH-000749
292199,ACH-000756
292827,ACH-000757
294664,ACH-000760
300133,ACH-000769
311125,ACH-000784
311126,ACH-000784
321662,ACH-000786
321663,ACH-000786
350901,ACH-000790
364248,ACH-000808
367776,ACH-000812
376447,ACH-000823
382806,ACH-000831
383510,ACH-000832
390899,ACH-000843
393059,ACH-000845
402056,ACH-000856
407024,ACH-000862
408381,ACH-000864
410528,ACH-000866
424689,ACH-000879
424690,ACH-000879
427175,ACH-000881
428491,ACH-000882
431013,ACH-000884
434225,ACH-000886
435909,ACH-000888
437540,ACH-000889
456117,ACH-000907
461899,ACH-000911
