,DepMap_ID
6208,ACH-000019
9161,ACH-000028
14746,ACH-000038
15871,ACH-000044
20516,ACH-000064
40742,ACH-000126
49168,ACH-000158
56281,ACH-000186
95053,ACH-000308
115455,ACH-000363
261921,ACH-000699
282354,ACH-000738
329126,ACH-000786
408599,ACH-000864
453709,ACH-000904
453710,ACH-000904
479332,ACH-000920
502411,ACH-000932
509384,ACH-000936
519166,ACH-000939
521987,ACH-000940
538759,ACH-000946
569331,ACH-000956
592040,ACH-000963
592041,ACH-000963
598182,ACH-000965
609459,ACH-000968
613155,ACH-000969
617323,ACH-000970
625526,ACH-000972
661871,ACH-000981
684601,ACH-000985
684602,ACH-000985
723948,ACH-000990
723949,ACH-000990
723950,ACH-000990
734946,ACH-000991
828438,ACH-000995
858857,ACH-000998
876708,ACH-000999
876709,ACH-000999
876710,ACH-000999
902576,ACH-001066
942503,ACH-001190
965507,ACH-001336
1009565,ACH-001498
1029665,ACH-001550
1037460,ACH-001563
1131521,ACH-002193
1173322,ACH-002263
1180410,ACH-002275
1194162,ACH-002305
1197934,ACH-002309
1201972,ACH-002311
