,DepMap_ID
58699,ACH-000195
65438,ACH-000217
217674,ACH-000614
264168,ACH-000703
294737,ACH-000760
325799,ACH-000786
325800,ACH-000786
325801,ACH-000786
325802,ACH-000786
325803,ACH-000786
325804,ACH-000786
325805,ACH-000786
354601,ACH-000795
407757,ACH-000863
533439,ACH-000944
538490,ACH-000946
571893,ACH-000957
601448,ACH-000966
628750,ACH-000973
765356,ACH-000992
836429,ACH-000996
873965,ACH-000999
873966,ACH-000999
873967,ACH-000999
904573,ACH-001067
904574,ACH-001067
975990,ACH-001355
1047296,ACH-001610
1090240,ACH-002077
1128497,ACH-002183
1175582,ACH-002269
1182733,ACH-002280
