,DepMap_ID
17668,ACH-000052
27425,ACH-000067
35108,ACH-000102
67881,ACH-000222
71527,ACH-000235
110012,ACH-000349
113093,ACH-000356
158206,ACH-000473
164633,ACH-000489
182096,ACH-000534
232613,ACH-000644
247070,ACH-000671
297740,ACH-000765
359142,ACH-000801
359143,ACH-000801
396794,ACH-000849
402423,ACH-000856
405470,ACH-000860
423919,ACH-000878
431567,ACH-000884
433220,ACH-000885
469576,ACH-000915
490507,ACH-000926
541753,ACH-000947
557932,ACH-000953
575912,ACH-000958
585304,ACH-000961
609869,ACH-000968
613751,ACH-000969
622024,ACH-000971
622025,ACH-000971
622026,ACH-000971
626084,ACH-000972
629457,ACH-000973
642019,ACH-000977
654463,ACH-000979
668789,ACH-000982
692897,ACH-000986
714758,ACH-000989
725631,ACH-000990
736207,ACH-000991
810901,ACH-000993
838824,ACH-000996
838825,ACH-000996
838826,ACH-000996
880029,ACH-000999
894820,ACH-001029
895899,ACH-001034
913738,ACH-001081
938568,ACH-001147
940849,ACH-001183
942663,ACH-001190
949045,ACH-001203
967440,ACH-001344
971702,ACH-001345
994649,ACH-001407
1035537,ACH-001554
1053766,ACH-001638
1077504,ACH-001853
1084207,ACH-002029
1100393,ACH-002118
1102441,ACH-002123
1106620,ACH-002144
1112972,ACH-002159
1122472,ACH-002173
1145261,ACH-002222
1167492,ACH-002256
1174387,ACH-002265
1174388,ACH-002265
1187436,ACH-002287
1198779,ACH-002309
1208796,ACH-002341
