,SLC25A22 (79751)
ACH-000004,0.284875139314
ACH-000007,-0.5222626196710001
ACH-000009,-0.278267081307
ACH-000011,-0.48945652610600004
ACH-000012,-0.245004590644
ACH-000013,-0.22088400589499999
ACH-000014,-0.356430248492
ACH-000015,-0.419140835428
ACH-000017,-0.650292961145
ACH-000018,-0.49434796414300003
ACH-000019,-0.48999821575499997
ACH-000021,-0.37070624865
ACH-000022,-0.49302142783
ACH-000025,-0.40760934344800004
ACH-000028,-0.562375604271
ACH-000030,-0.21426551779199998
ACH-000035,-0.383258976465
ACH-000036,-0.505674300411
ACH-000037,-0.298304198964
ACH-000039,0.047364342518100004
ACH-000040,-0.41055265242399996
ACH-000041,-0.30448022814
ACH-000042,-0.35893848920000004
ACH-000045,-0.32691508690000004
ACH-000047,-0.33515047498100003
ACH-000052,-0.177878272515
ACH-000053,-0.385349253047
ACH-000054,-0.286738740815
ACH-000055,-0.415833659189
ACH-000060,-0.264466540753
ACH-000067,-0.399799033057
ACH-000070,-0.06607545524439999
ACH-000075,-0.382762714526
ACH-000078,-0.165510448617
ACH-000082,-0.425348712217
ACH-000085,-0.44828747874700003
ACH-000086,-0.332660210086
ACH-000087,-0.253116329688
ACH-000092,-0.28263742258900004
ACH-000095,-0.220453202699
ACH-000097,-0.295414601356
ACH-000098,-0.20345788485999997
ACH-000099,-0.259348634282
ACH-000108,-0.320340757729
ACH-000113,-0.548039286653
ACH-000115,-0.5211364649019999
ACH-000116,-0.237240157773
ACH-000118,-0.275616158961
ACH-000120,-0.223602543902
ACH-000123,-0.344542076277
ACH-000127,-0.16099521934900002
ACH-000128,-0.478061998935
ACH-000132,-0.257139753086
ACH-000133,-0.115028108348
ACH-000137,-0.374156931792
ACH-000138,-0.402898687908
ACH-000142,-0.49637783831200005
ACH-000143,-0.202243062848
ACH-000146,-0.253216672894
ACH-000148,-0.338740941286
ACH-000150,-0.428118051612
ACH-000152,-0.34416187112400004
ACH-000153,-0.167602762553
ACH-000159,-0.38206709522699994
ACH-000160,-0.213676328134
ACH-000163,-0.34656077345700004
ACH-000167,-0.554623140516
ACH-000168,-0.141882545407
ACH-000169,-0.396093418173
ACH-000178,-0.635536701154
ACH-000182,-0.199463130193
ACH-000183,-0.471269190037
ACH-000188,-0.273367698498
ACH-000189,-0.519676378505
ACH-000190,-0.353040194903
ACH-000198,-0.50452331876
ACH-000204,-0.061383437929300004
ACH-000206,-0.06886110194060001
ACH-000207,-0.373942723777
ACH-000211,-0.322926213059
ACH-000215,-0.5206623683380001
ACH-000221,0.17182778393599998
ACH-000222,-0.436376487977
ACH-000223,-0.139886878029
ACH-000226,-0.267355656868
ACH-000227,-0.100582450929
ACH-000228,-0.134221651084
ACH-000231,-0.298498895793
ACH-000232,-0.230670966862
ACH-000233,-0.36960897642499996
ACH-000234,-0.29248443938
ACH-000235,-0.425246212316
ACH-000237,-0.388404908123
ACH-000238,-0.317434961426
ACH-000243,-0.285424513206
ACH-000244,-0.6134862707600001
ACH-000246,-0.236581194716
ACH-000248,-0.41389878276000003
ACH-000250,-0.37607562168499997
ACH-000251,-0.0483366775715
ACH-000253,-0.641710210886
ACH-000255,-0.385437921668
ACH-000256,-0.552161182214
ACH-000257,-0.363960970337
ACH-000258,-0.15760401797499998
ACH-000259,-0.281997633061
ACH-000260,-0.372030394391
ACH-000261,-0.238899997871
ACH-000262,0.14480069598200002
ACH-000263,-0.311380385711
ACH-000264,-0.6160562677929999
ACH-000265,-0.20696200849100002
ACH-000266,-0.41881443475900004
ACH-000272,-0.42834450522
ACH-000273,-0.36082597327699995
ACH-000274,-0.31135116514600003
ACH-000277,-0.5726861548
ACH-000278,-0.5960194137979999
ACH-000279,-0.406022064713
ACH-000280,-0.349383349789
ACH-000281,-0.325130340383
ACH-000288,-0.40359738572400006
ACH-000291,-0.346042756149
