,SMYD5 (10322)
ACH-000004,0.197791819395
ACH-000007,-0.0462860848561
ACH-000009,-0.05687213981000001
ACH-000011,-0.106455396623
ACH-000012,-0.142489814017
ACH-000013,-0.0754699043898
ACH-000014,-0.0330569255716
ACH-000015,-0.22981450965599998
ACH-000017,-0.115151128629
ACH-000018,-0.346593912122
ACH-000019,0.063930166943
ACH-000021,-0.183437741258
ACH-000022,0.054104746935599995
ACH-000025,-0.105395522109
ACH-000028,-0.42325034931500005
ACH-000030,-0.216017864126
ACH-000035,-0.380001569621
ACH-000036,-0.22127468250799998
ACH-000037,-0.388777715586
ACH-000039,-0.147935137873
ACH-000040,-0.08899162852119999
ACH-000041,-0.0994277194458
ACH-000042,-0.05680314619580001
ACH-000045,-0.35576713347499994
ACH-000047,-0.123461245482
ACH-000052,-0.0388173321132
ACH-000053,-0.0977478104462
ACH-000054,-0.128505431905
ACH-000055,-0.42378769322300003
ACH-000060,-0.0959902156308
ACH-000067,-0.240011401999
ACH-000070,-0.13633309393100002
ACH-000075,-0.0365701480212
ACH-000078,0.201280693843
ACH-000082,-0.24231873540999999
ACH-000085,-0.220888174032
ACH-000086,0.09637415733169999
ACH-000087,-0.0551176229046
ACH-000092,-0.429032026355
ACH-000095,-0.053684978894499996
ACH-000097,-0.039687295893800004
ACH-000098,-0.0454458699505
ACH-000099,-0.0268221357348
ACH-000108,-0.0515937124411
ACH-000113,-0.0378860127674
ACH-000115,-0.20289722203
ACH-000116,-0.15043258820699998
ACH-000118,0.0746566708099
ACH-000120,0.0318927198654
ACH-000123,-0.10139445731699999
ACH-000127,-0.26773417274300004
ACH-000128,-0.184102723948
ACH-000132,-0.175289440669
ACH-000133,-0.112762603425
ACH-000137,-0.34237521810500005
ACH-000138,-0.171630518585
ACH-000142,-0.18988571789900002
ACH-000143,-0.145134196328
ACH-000146,0.023923891118099998
ACH-000148,-0.049198480626999996
ACH-000150,-0.119983158641
ACH-000152,-0.281059498766
ACH-000153,-0.07459914694280001
ACH-000159,-0.281283068785
ACH-000160,0.21427448981199998
ACH-000163,-0.08814206436110002
ACH-000167,0.381274754898
ACH-000168,-0.032056657599800004
ACH-000169,-0.121418883113
ACH-000178,-0.165862605524
ACH-000182,-0.244249513087
ACH-000183,0.00730306283328
ACH-000188,-0.170964456085
ACH-000189,-0.07939061072300001
ACH-000190,-0.138747377498
ACH-000198,-0.0898991239617
ACH-000204,-0.18176255264199997
ACH-000206,-0.274334412098
ACH-000207,-0.30740013928800003
ACH-000211,-0.0726995697647
ACH-000215,-0.109412310386
ACH-000221,0.10075546510299999
ACH-000222,-0.11282950615399999
ACH-000223,-0.142469085033
ACH-000226,-0.252075211338
ACH-000227,-0.057698150445499995
ACH-000228,-0.42884801324199995
ACH-000231,-0.20557027299800001
ACH-000232,-0.133047254646
ACH-000233,-0.1273020644
ACH-000234,-0.110105822781
ACH-000235,-0.042623274695
ACH-000237,-0.0842060755353
ACH-000238,-0.289050520165
ACH-000243,-0.28398161618
ACH-000244,-0.357637132623
ACH-000246,-0.121423210184
ACH-000248,-0.0811975467771
ACH-000250,-0.149275636874
ACH-000251,-0.134636075552
ACH-000253,-0.22299149857099998
ACH-000255,-0.441985437531
ACH-000256,0.062292851855600004
ACH-000257,-0.23025025602200003
ACH-000258,0.0796886450585
ACH-000259,-0.286700341199
ACH-000260,-0.140486046699
ACH-000261,-0.121152090493
ACH-000262,-0.193644778666
ACH-000263,-0.589736092693
ACH-000264,-0.28447059683000003
ACH-000265,-0.27971605399
ACH-000266,-0.0389518619758
ACH-000272,-0.227881727317
ACH-000273,-0.0481617348452
ACH-000274,-0.152382670827
