,SOBP (55084)
ACH-000004,0.0436201941847
ACH-000007,0.101125607522
ACH-000009,0.019824873584
ACH-000011,-0.308418910935
ACH-000012,0.027805247493500003
ACH-000013,0.12217465166500001
ACH-000014,-0.243275259278
ACH-000015,0.0204264707135
ACH-000017,0.0530156027833
ACH-000018,0.0318129901584
ACH-000019,-0.0154374720735
ACH-000021,-0.0594698247324
ACH-000022,-0.12867550248600002
ACH-000025,-0.0810634106092
ACH-000028,0.06662348525430001
ACH-000030,-0.04650056934169999
ACH-000035,0.08145276584819999
ACH-000036,0.026681307701699998
ACH-000037,0.297910197136
ACH-000039,-0.449485539603
ACH-000040,0.08276982088939999
ACH-000041,-0.259359837199
ACH-000042,-0.200792313125
ACH-000045,0.0119931421153
ACH-000047,-0.019368550133499998
ACH-000052,-0.119640709745
ACH-000053,0.119829448231
ACH-000054,-0.0094431516973
ACH-000055,0.13013956831100001
ACH-000060,-0.23111673482500003
ACH-000067,-0.142005097297
ACH-000070,-0.0111091006462
ACH-000075,0.267994976176
ACH-000078,-0.107179581969
ACH-000082,-0.0725076785045
ACH-000085,-0.266398673756
ACH-000086,-0.07048547963
ACH-000087,0.17384747649500001
ACH-000092,-0.030069253946199997
ACH-000095,-0.334282939685
ACH-000097,-0.0096747319234
ACH-000098,-0.17749738492400002
ACH-000099,-0.0400331491785
ACH-000108,0.029058875915299997
ACH-000113,-0.190407043143
ACH-000115,-0.218943577783
ACH-000116,-0.0713450173587
ACH-000118,-0.0821619826995
ACH-000120,0.10664028847200001
ACH-000123,-0.126382445726
ACH-000127,-0.168973574571
ACH-000128,0.0694969696769
ACH-000132,-0.08412562165889999
ACH-000133,-0.0669428872435
ACH-000137,-0.27372177802
ACH-000138,-0.197013895625
ACH-000142,0.0462215473151
ACH-000143,-0.0509505232684
ACH-000146,-0.06809742092280001
ACH-000148,-0.00140206864448
ACH-000150,-0.0610714870663
ACH-000152,0.07477940425639999
ACH-000153,-0.123566422316
ACH-000159,0.0042010539357199995
ACH-000160,-0.22253646989300002
ACH-000163,-0.028183781951500002
ACH-000167,0.0440515001595
ACH-000168,0.0807147573965
ACH-000169,-0.0270316239241
ACH-000178,-0.0214941316084
ACH-000182,-0.0942925757011
ACH-000183,-0.0713439505477
ACH-000188,-0.136107871822
ACH-000189,0.09788569449989999
ACH-000190,-0.18563525579
ACH-000198,-0.06939763741169999
ACH-000204,0.23475897566999998
ACH-000206,-0.025396446311900002
ACH-000207,-0.208773708152
ACH-000211,-0.025158628651600002
ACH-000215,0.0846810762211
ACH-000221,-0.058510628939800004
ACH-000222,0.00175836396092
ACH-000223,-0.102234132839
ACH-000226,-0.11883026647
ACH-000227,-0.25111067786200003
ACH-000228,-0.024518076608199997
ACH-000231,-0.14603496261499999
ACH-000232,-0.191412576195
ACH-000233,-0.07658933190719999
ACH-000234,-0.188449316313
ACH-000235,-0.09190081401080001
ACH-000237,-0.0505076737699
ACH-000238,-0.0805607062271
ACH-000243,-0.157010019078
ACH-000244,0.32757830512499997
ACH-000246,-0.07845227055760001
ACH-000248,-0.0214198964864
ACH-000250,-0.04554737538430001
ACH-000251,-0.191173871014
ACH-000253,-0.059303667829400004
ACH-000255,-0.0336627592182
ACH-000256,-0.183000239671
ACH-000257,-0.266555874393
ACH-000258,-0.24190043666799999
ACH-000259,-0.0853761563438
ACH-000260,-0.0384143777325
ACH-000261,-0.10797024473099999
ACH-000262,0.116994737635
ACH-000263,0.114584393564
ACH-000264,-0.0385676854155
ACH-000265,0.06724810180639999
ACH-000266,-0.0746794165428
ACH-000272,-0.07745482332060001
ACH-000273,-0.027722452505000002
ACH-000274,-0.129408400763
ACH-000277,-0.0372499355593
ACH-000278,-0.137882876465
ACH-000279,-0.109195743402
ACH-000280,-0.0341904056763
ACH-000281,0.0563336424594
ACH-000288,-0.0420736911936
ACH-000291,-0.029825847537799998
ACH-000293,0.0620979056336
ACH-000294,-0.209221255377
ACH-000295,-0.169725260364
ACH-000296,-0.272986613046
ACH-000302,-0.014543968994499999
ACH-000304,-0.178258904656
ACH-000307,-0.060536934206300005
ACH-000308,0.036631121518699995
ACH-000310,-0.321312729776
ACH-000311,-0.303566038596
ACH-000312,-0.15606732504100002
ACH-000315,-0.212315596767
ACH-000316,-0.191292819053
ACH-000317,-0.0585106718954
ACH-000318,0.048871882315
ACH-000319,-0.22505385152399998
ACH-000320,-0.093197276016
ACH-000322,0.131336247422
ACH-000323,0.038078891367900006
ACH-000324,-0.06860360483109999
ACH-000329,0.0404779308726
ACH-000330,-0.108175433585
ACH-000331,-0.09100582466360001
ACH-000332,-0.0650566622757
ACH-000334,0.012955898606
ACH-000335,-0.160280169546
ACH-000336,-0.0765471055995
ACH-000337,0.214757728922
ACH-000339,-0.0767058244145
ACH-000341,-0.231047087329
ACH-000348,0.0118776947035
ACH-000350,-0.07889025751960001
ACH-000352,0.09307067393179999
ACH-000356,0.124843064897
ACH-000361,-0.135214160677
ACH-000362,-0.0421269040973
ACH-000363,-0.155207683866
ACH-000364,-0.071722208356
ACH-000365,-0.019493484030400004
ACH-000366,-0.016131353585299997
ACH-000368,0.146100576498
ACH-000374,0.155093108364
ACH-000375,0.0165625444753
ACH-000376,0.0341720693256
ACH-000381,-0.133590227044
ACH-000383,-0.0694018624736
ACH-000387,-0.0425454314013
ACH-000389,-0.27236996383400003
ACH-000390,-0.0305230529391
ACH-000393,-0.0431851600033
ACH-000395,0.0980903495452
ACH-000397,-0.12397816530400001
ACH-000401,0.025875851367
ACH-000402,0.327199456039
ACH-000403,-0.044172047214599997
ACH-000404,0.22859721511
ACH-000406,-0.023518882007299995
ACH-000407,-0.06837178792000001
ACH-000408,0.0498892317861
ACH-000410,-0.21427554909200003
ACH-000411,-0.0954976520872
ACH-000414,-0.0585731967156
ACH-000415,-0.110172533839
ACH-000416,-0.0229234066528
ACH-000420,-0.17241183869100002
ACH-000421,0.013902444893200002
ACH-000424,-0.0824737949029
ACH-000425,-0.102061266218
ACH-000426,-0.0121069658742
ACH-000427,-0.22399527670400002
ACH-000433,0.18720538547
ACH-000436,0.00163783830082
ACH-000444,0.11125699776900001
ACH-000445,-0.00774713342749
ACH-000448,-0.015407363036700001
ACH-000450,0.36555757524800003
ACH-000452,-0.23050961206599999
ACH-000454,0.037657555547300006
ACH-000458,-0.0022571436984499997
ACH-000459,0.16257597342900001
ACH-000460,0.0010771285132299998
ACH-000461,0.0578903545787
ACH-000463,-0.229331245173
ACH-000464,0.00218271244354
ACH-000466,-0.186963088438
ACH-000467,-0.0188624737485
ACH-000468,-0.0811056929758
ACH-000469,-0.0432845230994
ACH-000470,-0.089182555624
ACH-000471,0.008939543277259999
ACH-000472,0.00104568939164
ACH-000473,0.081379859461
ACH-000475,-0.0494362853168
ACH-000476,-0.06793085486240001
ACH-000477,-0.213594336715
ACH-000480,0.299591734718
ACH-000481,-0.0781571709591
ACH-000483,-0.206070625517
ACH-000484,0.0117371747774
ACH-000485,-0.0437540268906
ACH-000486,0.194651839727
ACH-000487,-0.047786142486899996
ACH-000488,-0.0349515362869
ACH-000490,-0.166857057688
ACH-000491,-0.196254863187
ACH-000495,-0.00925731991949
ACH-000496,-0.129061582066
ACH-000499,0.012924617945399999
ACH-000500,0.368862828543
ACH-000502,0.09452245786380001
ACH-000503,0.110080034345
ACH-000505,0.0880959728493
ACH-000507,-0.0747158056901
ACH-000510,0.048581164219500005
ACH-000511,-0.190220158955
ACH-000512,-0.0809357915268
ACH-000516,-0.164503923351
ACH-000517,-0.028278452378199998
ACH-000518,-0.131134642216
ACH-000520,-0.0377428388435
ACH-000521,0.06908681403900001
ACH-000522,-0.153619491507
ACH-000524,-0.107626536546
ACH-000527,0.10677790243799999
ACH-000528,0.004360942646569999
ACH-000537,-0.122149144747
ACH-000541,0.15953779029
ACH-000542,0.0449895985706
ACH-000544,-0.11701961636199999
ACH-000545,-0.086795968884
ACH-000547,-0.0812099831115
ACH-000548,-0.0048990559951700005
ACH-000549,-0.157628798507
ACH-000550,-0.0998121650224
ACH-000552,0.00615584176004
ACH-000556,-0.047455145485199995
ACH-000557,-0.0646630259272
ACH-000570,-0.250047544194
ACH-000571,-0.0892039497674
ACH-000573,-0.025699207758299997
ACH-000576,0.130261403638
ACH-000580,0.0831347489685
ACH-000584,0.0739457566031
ACH-000585,0.0119339272944
ACH-000588,-0.09746745682739999
ACH-000589,-0.055206328708499994
ACH-000591,-0.159069100391
ACH-000593,-0.048873950832
ACH-000600,0.08718924348580001
ACH-000601,-0.03466539104019999
ACH-000604,-0.208858686455
ACH-000605,-0.0601474597732
ACH-000606,-0.112188232897
ACH-000608,0.26525781737799997
ACH-000614,-0.030416955617200002
ACH-000616,-0.08014946652419999
ACH-000618,0.059635944917
ACH-000619,-0.0156710080112
ACH-000620,0.043159441596099996
ACH-000621,0.0915391764061
ACH-000622,-0.12065672992000001
ACH-000623,-0.130463708482
ACH-000624,-0.07550528934610001
ACH-000627,0.082388925726
ACH-000630,-0.12008242737
ACH-000632,-0.229644548589
ACH-000633,0.140390434252
