,DepMap_ID
19536,ACH-000060
73424,ACH-000242
82257,ACH-000268
88499,ACH-000289
91779,ACH-000298
105325,ACH-000336
108615,ACH-000346
109908,ACH-000349
129317,ACH-000400
130165,ACH-000402
166160,ACH-000493
167079,ACH-000496
169985,ACH-000505
219284,ACH-000617
239916,ACH-000659
257643,ACH-000693
277058,ACH-000728
277059,ACH-000728
285028,ACH-000744
289375,ACH-000751
302374,ACH-000773
308906,ACH-000781
323035,ACH-000786
323036,ACH-000786
323037,ACH-000786
357882,ACH-000800
370143,ACH-000815
377522,ACH-000824
392088,ACH-000844
407051,ACH-000862
407728,ACH-000863
427211,ACH-000881
443876,ACH-000895
447227,ACH-000898
456159,ACH-000907
467036,ACH-000914
467037,ACH-000914
467038,ACH-000914
467039,ACH-000914
472721,ACH-000917
476029,ACH-000919
476030,ACH-000919
478676,ACH-000920
488267,ACH-000925
495734,ACH-000929
511794,ACH-000937
535290,ACH-000945
548951,ACH-000950
554638,ACH-000952
560547,ACH-000954
565324,ACH-000955
565325,ACH-000955
568773,ACH-000956
568774,ACH-000956
578339,ACH-000959
591314,ACH-000963
601123,ACH-000966
605230,ACH-000967
620685,ACH-000971
635941,ACH-000975
640385,ACH-000977
646678,ACH-000978
646679,ACH-000978
653184,ACH-000979
653185,ACH-000979
657197,ACH-000980
676839,ACH-000984
690860,ACH-000986
698248,ACH-000987
698249,ACH-000987
705464,ACH-000988
721565,ACH-000990
721566,ACH-000990
721567,ACH-000990
733553,ACH-000991
759948,ACH-000992
759949,ACH-000992
759950,ACH-000992
759951,ACH-000992
759952,ACH-000992
759953,ACH-000992
759954,ACH-000992
759955,ACH-000992
759956,ACH-000992
808714,ACH-000993
835619,ACH-000996
835620,ACH-000996
835621,ACH-000996
846555,ACH-000997
857051,ACH-000998
857052,ACH-000998
857053,ACH-000998
857054,ACH-000998
871978,ACH-000999
871979,ACH-000999
871980,ACH-000999
911501,ACH-001081
942287,ACH-001190
945384,ACH-001199
948344,ACH-001203
953944,ACH-001274
975163,ACH-001350
986402,ACH-001377
989087,ACH-001386
995446,ACH-001409
1034084,ACH-001552
1034085,ACH-001552
1046851,ACH-001610
1055433,ACH-001645
1062486,ACH-001673
1062919,ACH-001674
1072008,ACH-001740
1097323,ACH-002104
1113743,ACH-002160
1115003,ACH-002163
1128443,ACH-002183
1164763,ACH-002256
1171019,ACH-002258
1174957,ACH-002267
1186550,ACH-002287
1186551,ACH-002287
1196902,ACH-002309
1196903,ACH-002309
