,SP110 (3431)
ACH-000004,0.252441488278
ACH-000007,0.016643295439299998
ACH-000009,-0.0467282454021
ACH-000011,0.142749361549
ACH-000012,0.0550758774913
ACH-000013,0.149791551685
ACH-000014,0.30207223943399997
ACH-000015,0.0144111110253
ACH-000017,0.134475500639
ACH-000018,0.254737777128
ACH-000019,0.39815271699
ACH-000021,0.0257237030296
ACH-000022,0.13778248116900002
ACH-000025,0.042317201121699996
ACH-000028,0.07756803443860001
ACH-000030,0.043965747295199996
ACH-000035,-0.223517432553
ACH-000036,0.123909202337
ACH-000037,0.0959724617946
ACH-000039,0.09615808008230001
ACH-000040,0.0743181988652
ACH-000041,-0.0653435228448
ACH-000042,-0.158366069022
ACH-000045,0.0445724868848
ACH-000047,-0.014789809929200001
ACH-000052,0.0235470347218
ACH-000053,-0.657441257257
ACH-000054,-0.07315651144789999
ACH-000055,-0.10037347861
ACH-000060,0.00290109630318
ACH-000067,-0.20992323993
ACH-000070,0.0502354043045
ACH-000075,-0.22909721765500002
ACH-000078,0.0522155822497
ACH-000082,-0.0386683409031
ACH-000085,0.0073359430539700005
ACH-000086,0.03687924068369999
ACH-000087,0.029207877127900003
ACH-000092,-0.0298949399583
ACH-000095,0.07259159351139999
ACH-000097,0.183999072849
ACH-000098,-0.008071975155720001
ACH-000099,0.0289297279091
ACH-000108,-0.07440757983860001
ACH-000113,0.0346141051122
ACH-000115,0.0964871342265
ACH-000116,0.04943237254269999
ACH-000118,0.112519379987
ACH-000120,0.05521919065809999
ACH-000123,0.248704336029
ACH-000127,0.125814355795
ACH-000128,0.25699994277
ACH-000132,0.292234710379
ACH-000133,-0.10865116731699999
ACH-000137,-0.10788512561699999
ACH-000138,-0.0588312485645
ACH-000142,-0.013748902586
ACH-000143,0.09806778067
ACH-000146,0.177719640599
ACH-000148,0.09552979146289999
ACH-000150,0.0950208330448
ACH-000152,0.024099178267900003
ACH-000153,0.144843288726
ACH-000159,0.07279874987030001
ACH-000160,0.39444529014300006
ACH-000163,0.0687132558383
ACH-000167,0.43783265602
ACH-000168,-0.127378997555
ACH-000169,0.05408628413700001
ACH-000178,0.021169548059
ACH-000182,0.0127012549209
ACH-000183,0.151260073658
ACH-000188,0.081782674057
ACH-000189,0.17745545535
ACH-000190,0.256039989274
ACH-000198,-0.014765400223600001
ACH-000204,-0.0435729495774
ACH-000206,-0.10503071305299999
ACH-000207,0.114721071175
ACH-000211,-0.0162969864005
ACH-000215,0.132312894482
ACH-000221,0.16934896215
ACH-000222,0.100343495097
ACH-000223,-0.014561467589799999
ACH-000226,-0.533624820327
ACH-000227,0.0391103464061
ACH-000228,0.100563735183
ACH-000231,-0.0778431847195
ACH-000232,0.24091664469500002
ACH-000233,-0.46133588915
ACH-000234,-0.0649612041257
ACH-000235,0.17369954344
ACH-000237,0.0883955108337
ACH-000238,0.0515010865296
ACH-000243,-0.104696141169
ACH-000244,0.178882435419
ACH-000246,0.04224772752500001
