,DepMap_ID
5905,ACH-000018
8301,ACH-000024
19980,ACH-000061
28560,ACH-000072
52264,ACH-000169
58189,ACH-000192
85119,ACH-000277
86816,ACH-000282
109396,ACH-000347
133668,ACH-000411
135704,ACH-000416
143913,ACH-000437
149751,ACH-000451
159335,ACH-000476
174540,ACH-000514
175145,ACH-000515
203714,ACH-000583
216376,ACH-000610
226996,ACH-000633
226997,ACH-000633
232355,ACH-000643
240377,ACH-000659
261605,ACH-000698
278943,ACH-000730
291514,ACH-000754
292027,ACH-000755
304879,ACH-000776
312579,ACH-000785
363572,ACH-000806
379444,ACH-000826
392732,ACH-000844
406054,ACH-000860
406055,ACH-000860
415079,ACH-000870
424260,ACH-000878
434991,ACH-000886
439940,ACH-000890
477652,ACH-000919
487562,ACH-000924
532686,ACH-000943
537267,ACH-000945
547981,ACH-000949
651460,ACH-000978
651461,ACH-000978
656110,ACH-000979
656111,ACH-000979
656112,ACH-000979
671195,ACH-000982
695846,ACH-000986
739625,ACH-000991
864043,ACH-000998
864044,ACH-000998
864045,ACH-000998
864046,ACH-000998
938739,ACH-001147
941925,ACH-001189
943762,ACH-001193
974246,ACH-001345
1008073,ACH-001494
1020183,ACH-001526
1036643,ACH-001560
1043441,ACH-001591
1084900,ACH-002040
1086273,ACH-002051
1086274,ACH-002051
1110015,ACH-002152
1113591,ACH-002159
1124676,ACH-002176
1124677,ACH-002176
1132195,ACH-002194
1133485,ACH-002197
1140671,ACH-002217
1150936,ACH-002232
1179002,ACH-002272
1184163,ACH-002282
1185190,ACH-002285
1185654,ACH-002286
1193378,ACH-002302
1201099,ACH-002309
1214214,ACH-002362
1214566,ACH-002363
1215760,ACH-002369
1218232,ACH-002383
